,Date,start,end,INP,T
0,16100513391439,1339,1439,,-25.0
1,16100513391439,1339,1439,,-25.0
2,16100710411241,1041,1241,,-25.0
3,16100710411241,1041,1241,,-25.0
4,16101310411442,1041,1442,,-25.0
5,16101310411442,1041,1442,,-25.0
6,16101410391219,1039,1219,22.1551750363,-25.0
7,16101410391219,1039,1219,,-25.0
8,16101711461249,1146,1249,,-25.0
9,16101711461249,1146,1249,,-25.0
10,16103110171730,1017,1730,,-25.0
11,16103110171730,1017,1730,,-25.0
12,16100513391439,1339,1439,36.2808781153,-24.0
13,16100513391439,1339,1439,,-24.0
14,16100710411241,1041,1241,15.9193268484,-24.0
15,16100710411241,1041,1241,,-24.0
16,16101310411442,1041,1442,,-24.0
17,16101310411442,1041,1442,,-24.0
18,16101410391219,1039,1219,10.0367038172,-24.0
19,16101410391219,1039,1219,,-24.0
20,16101711461249,1146,1249,,-24.0
21,16101711461249,1146,1249,,-24.0
22,16103110171730,1017,1730,7.53168376209,-24.0
23,16103110171730,1017,1730,,-24.0
24,16100513391439,1339,1439,14.3443435497,-23.0
25,16100513391439,1339,1439,,-23.0
26,16100710411241,1041,1241,6.36179137607,-23.0
27,16100710411241,1041,1241,22.5096659525,-23.0
28,16101310411442,1041,1442,7.18986911326,-23.0
29,16101310411442,1041,1442,12.3203080316,-23.0
30,16101410391219,1039,1219,4.91016930068,-23.0
31,16101410391219,1039,1219,,-23.0
32,16101711461249,1146,1249,23.4327562472,-23.0
33,16101711461249,1146,1249,28.8737377395,-23.0
34,16103110171730,1017,1730,4.62625030417,-23.0
35,16103110171730,1017,1730,,-23.0
36,16100513391439,1339,1439,3.76009757259,-22.0
37,16100513391439,1339,1439,28.5909302717,-22.0
38,16100710411241,1041,1241,2.30311650957,-22.0
39,16100710411241,1041,1241,8.07899333343,-22.0
40,16101310411442,1041,1442,4.22845581643,-22.0
41,16101310411442,1041,1442,7.65903191078,-22.0
42,16101410391219,1039,1219,3.55479999849,-22.0
43,16101410391219,1039,1219,24.0203879876,-22.0
44,16101711461249,1146,1249,12.1361644384,-22.0
45,16101711461249,1146,1249,13.3258933999,-22.0
46,16103110171730,1017,1730,1.65010668909,-22.0
47,16103110171730,1017,1730,5.51735017468,-22.0
48,16100513391439,1339,1439,1.96852946605,-21.0
49,16100513391439,1339,1439,14.1915281013,-21.0
50,16100710411241,1041,1241,0.958168305905,-21.0
51,16100710411241,1041,1241,4.4063583445,-21.0
52,16101310411442,1041,1442,1.55424383751,-21.0
53,16101310411442,1041,1442,2.7241042039,-21.0
54,16101410391219,1039,1219,1.23613955967,-21.0
55,16101410391219,1039,1219,9.03655430249,-21.0
56,16101711461249,1146,1249,4.90505418997,-21.0
57,16101711461249,1146,1249,6.4382960737,-21.0
58,16103110171730,1017,1730,0.509428562619,-21.0
59,16103110171730,1017,1730,1.83733767105,-21.0
60,16100513391439,1339,1439,1.06343797542,-20.0
61,16100513391439,1339,1439,6.36049157752,-20.0
62,16100710411241,1041,1241,0.573656868517,-20.0
63,16100710411241,1041,1241,2.48636154657,-20.0
64,16101310411442,1041,1442,0.36507264309,-20.0
65,16101310411442,1041,1442,0.339456846932,-20.0
66,16101410391219,1039,1219,0.366746164533,-20.0
67,16101410391219,1039,1219,6.16700251566,-20.0
68,16101711461249,1146,1249,2.30039770783,-20.0
69,16101711461249,1146,1249,4.67443376411,-20.0
70,16103110171730,1017,1730,0.106833322347,-20.0
71,16103110171730,1017,1730,0.778391114273,-20.0
72,16100513391439,1339,1439,0.644719576837,-19.0
73,16100513391439,1339,1439,2.53656017071,-19.0
74,16100710411241,1041,1241,0.375190153795,-19.0
75,16100710411241,1041,1241,0.739863925661,-19.0
76,16101310411442,1041,1442,0.325295935618,-19.0
77,16101310411442,1041,1442,0.28012100649,-19.0
78,16101410391219,1039,1219,,-19.0
79,16101410391219,1039,1219,5.20352026073,-19.0
80,16101711461249,1146,1249,0.911868674703,-19.0
81,16101711461249,1146,1249,2.49643246206,-19.0
82,16103110171730,1017,1730,,-19.0
83,16103110171730,1017,1730,0.525580098213,-19.0
84,16100513391439,1339,1439,,-18.0
85,16100513391439,1339,1439,1.43737509913,-18.0
86,16100710411241,1041,1241,,-18.0
87,16100710411241,1041,1241,0.448697821747,-18.0
88,16101310411442,1041,1442,0.285519228147,-18.0
89,16101310411442,1041,1442,0.21841373267,-18.0
90,16101410391219,1039,1219,,-18.0
91,16101410391219,1039,1219,3.81070026023,-18.0
92,16101711461249,1146,1249,,-18.0
93,16101711461249,1146,1249,2.38058873738,-18.0
94,16103110171730,1017,1730,,-18.0
95,16103110171730,1017,1730,0.268601354143,-18.0
96,16100513391439,1339,1439,,-17.0
97,16100513391439,1339,1439,0.663928337717,-17.0
98,16100710411241,1041,1241,,-17.0
99,16100710411241,1041,1241,0.411450711649,-17.0
100,16101310411442,1041,1442,0.245742520676,-17.0
101,16101310411442,1041,1442,0.119554002603,-17.0
102,16101410391219,1039,1219,,-17.0
103,16101410391219,1039,1219,2.09536219807,-17.0
104,16101711461249,1146,1249,,-17.0
105,16101711461249,1146,1249,2.26474501271,-17.0
106,16103110171730,1017,1730,,-17.0
107,16103110171730,1017,1730,0.125209045486,-17.0
108,16100513391439,1339,1439,,-16.0
109,16100513391439,1339,1439,,-16.0
110,16100710411241,1041,1241,,-16.0
111,16100710411241,1041,1241,0.374203601551,-16.0
112,16101310411442,1041,1442,0.21590528427,-16.0
113,16101310411442,1041,1442,,-16.0
114,16101410391219,1039,1219,,-16.0
115,16101410391219,1039,1219,0.883889483781,-16.0
