,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,uncertainties,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,,,,,using a correction factor of 1,,,,,using a correction factor of 3,,,,,using a correction factor of 1,,,,,using a correction factor of 3,,,,
1,,,,,233.14999999999998,243.14999999999998,253.14999999999998,263.15,273.15,233.14999999999998,243.14999999999998,253.14999999999998,263.15,273.15,233.14999999999998,243.14999999999998,253.14999999999998,263.15,273.15,233.14999999999998,243.14999999999998,253.14999999999998,263.15,273.15
2,,,,,-40,-30,-20,-10,0,-40,-30,-20,-10,0,-40,-30,-20,-10,0,-40,-30,-20,-10,0
3,Filter,,n(d>0.5um/cm3),error in n(d>0.5um/cm3),n_inp (/m3),n_inp (/m3),n_inp (/m3),n_inp (/m3),n_inp (/m3),n_inp (/m3),n_inp (/m3),n_inp (/m3),n_inp (/m3),n_inp (/m3),n_inp (/m3),n_inp (/m3),n_inp (/m3),n_inp (/m3),n_inp (/m3),n_inp (/m3),n_inp (/m3),n_inp (/m3),n_inp (/m3),n_inp (/m3)
9,b920_08,,13.919651122723248,5.955397252421174,24251336.04438565,243770.4465060761,2450.340487675065,24.630420100535087,0.2475809371718999,72754008.13315696,731311.3395182283,7351.021463025195,73.89126030160527,0.7427428115156998,8391481.70066036,84349.79570913629,847.8702915616367,8.522652903532151,0.08566830709482962,25174445.101981077,253049.38712740885,2543.61087468491,25.567958710596457,0.2570049212844889
10,b921_02,,16.1178823373178,2.0326094412479017,29129646.06658232,292806.4175605968,2943.2420142937135,29.584985284384878,0.29738341258603823,87388938.19974695,878419.2526817903,8829.72604288114,88.75495585315463,0.8921502377581148,2189110.3519251104,22004.577684428194,221.18640051390184,2.223329366912477,0.022348541602424377,6567331.055775331,66013.73305328458,663.5592015417055,6.669988100737431,0.06704562480727312
11,b921_04,,1.3167788744697713,0.5289459543002447,1272305.1776531735,12789.00266281653,128.5529541043133,1.292193179143976,0.012988913587091117,3816915.532959521,38367.0079884496,385.65886231293996,3.8765795374319287,0.03896674076127336,406878.13879975665,4089.8722192973723,41.11072376491721,0.4132382426279519,0.00415380293829721,1220634.41639927,12269.616657892118,123.33217129475166,1.2397147278838558,0.01246140881489163
12,b921_06,,9.652876699758519,0.8459546449321117,15346918.261879018,154264.70155472518,1550.6434412230185,15.586813169667153,0.15667608576378567,46040754.78563706,462794.1046641756,4651.930323669057,46.760439509001465,0.47002825729135705,731785.973291639,7355.792403754362,73.9392170141623,0.7432248645131757,0.007470774259413985,2195357.919874917,22067.377211263083,221.81765104248683,2.2296745935395266,0.022412322778241955
13,b922_02,,7.575366912293511,8.422118230743566,11335869.103856917,113946.29425463626,1145.3694335572893,11.513065413041872,0.11572744244911883,34007607.311570756,341838.8827639088,3436.1083006718677,34.53919623912562,0.3471823273473565,12941270.018486464,130083.52055277696,1307.578181680181,13.14356110551582,0.13211691733219952,38823810.055459395,390250.56165833084,3922.734545040543,39.43068331654746,0.3963507519965986
14,b922_04,,1.5885679611269445,3.1117392657612974,1608634.877731548,16169.73356404622,162.5355058202812,1.6337802071764016,0.016422490285370604,4825904.633194643,48509.200692138664,487.60651746084363,4.901340621529204,0.04926747085611181,3727813.971225258,37471.37372530646,376.6560938125592,3.7860851872191406,0.03805710641711706,11183441.913675774,112414.12117591938,1129.9682814376777,11.35825556165742,0.11417131925135118
15,b924_02,,11.323245437457121,3.776302414971661,18735439.39065338,188325.5593583854,1893.017589186732,19.028301868207272,0.19126936487852372,56206318.17196014,564976.6780751562,5679.052767560196,57.084905604621824,0.5738080946355713,4748251.230468683,47728.64144292542,479.7604640987976,4.822473381890288,0.04847471031762877,14244753.691406047,143185.92432877625,1439.2813922963928,14.467420145670863,0.14542413095288628
16,b924_04,,156.69007525945617,15.124778931715529,500036944.80280733,5026289.235406221,50523.43379932326,507.85325780566575,5.1048575298396015,1500110834.4084218,15078867.70621866,151570.30139796977,1523.5597734169971,15.314572589518804,26903669.92320826,270431.2709959278,2718.3307162635588,27.324213859473435,0.2746585095666672,80711009.76962477,811293.8129877833,8154.992148790676,81.9726415784203,0.8239755287000016
17,b924_06,,210.00427951459378,18.695201661203473,721083258.8004227,7248210.475666946,72857.8211439366,732.354850850742,7.36151066753728,2163249776.401268,21744631.42700084,218573.4634318098,2197.064552552226,22.084532002611837,35064118.41123052,352458.7588000709,3542.8575502157396,35.61222216140352,0.3579682076678279,105192355.23369154,1057376.2764002127,10628.572650647218,106.83666648421055,1.0739046230034837
18,b924_08,,212.7208334450927,16.674555155577483,732761704.0406955,7365600.288974867,74037.80426540102,744.2158473691424,7.480735456307911,2198285112.1220865,22096800.8669246,222113.41279620305,2232.647542107427,22.44220636892373,30392613.857174713,305501.5623423943,3070.8515243946845,30.867695119372996,0.3102770011553649,91177841.57152416,916504.6870271829,9212.554573184054,92.603085358119,0.9308310034660947
19,b924_10,,23.284818442954894,4.3858056508718395,46136144.80961273,463752.94951685565,4661.568474632784,46.85732061937084,0.4710020902995477,138408434.4288382,1391258.848550567,13984.705423898353,140.5719618581125,1.413006270898643,5724821.633456769,57544.96672683229,578.4325534685231,5.8143090168145735,0.05844447920556203,17174464.900370307,172634.90018049686,1735.297660405569,17.442927050443718,0.17533343761668607
20,b925_02,,13.559337506899086,2.2305711872359746,23469201.852246195,235908.56207642864,2371.314116744956,23.836060000451152,0.2395961599237655,70407605.5567386,707725.686229286,7113.94235023487,71.50818000135347,0.7187884797712966,2458783.791711633,24715.290805852652,248.4340435612835,2.4972181992531644,0.02510162715740245,7376351.3751349,74145.87241755797,745.3021306838506,7.491654597759494,0.07530488147220736
21,b926_02,,11.016090537110756,1.7504297005249667,18102335.192743372,181961.69995175602,1829.0491197293525,18.385301320386084,0.1848060289881157,54307005.57823012,545885.0998552681,5487.147359188058,55.15590396115825,0.5544180869643471,1816063.682840305,18254.773841705057,183.49398821225302,1.8444514296372971,0.018540122809668685,5448191.048520915,54764.32152511517,550.4819646367591,5.533354288911892,0.055620368429006056
22,b927_02,,57.55361754357742,7.871712266846109,142985176.12641528,1437263.5043402275,14447.136667384426,145.2202447608212,1.4597300471312593,428955528.37924594,4311790.513020683,43341.41000215328,435.6607342824636,4.379190141393778,11892872.01762455,119545.19605311078,1201.6486747858887,12.078775101704364,0.12141386331870199,35678616.05287365,358635.58815933234,3604.946024357666,36.23632530511309,0.36424158995610595
23,b928_02,,15.470601493669529,0.547138643587994,27674783.411626857,278182.377121983,2796.2435618818886,28.107380986025877,0.28253077688336903,83024350.23488058,834547.1313659489,8388.730685645665,84.32214295807763,0.8475923306501072,424445.5340382247,4266.456790695511,42.88572287164782,0.43108024209567936,0.004333147786302645,1273336.602114674,12799.370372086532,128.65716861494346,1.2932407262870378,0.012999443358907934
