,Date,start,end,INP,T,INP_plus,INP_minus
203,2016-10-11 00:00:00,2016-10-11 10:40:00,2016-10-11 14:03:00,2.26431022465,-24.0,3.27111438728,1.44674744133
205,2016-10-11 00:00:00,2016-10-11 10:40:00,2016-10-11 14:03:00,8.02581546665,-24.0,9.79305237517,6.44410932217
206,2016-10-11 00:00:00,2016-10-11 14:10:00,2016-10-11 16:24:00,8.41275640915,-24.0,10.7046161488,6.4075832367
211,2016-10-17 00:00:00,2016-10-17 11:46:00,2016-10-17 14:49:00,8.92741173474,-24.0,11.2069988623,6.91022897874
212,2016-10-17 00:00:00,2016-10-17 15:10:00,2016-10-17 17:11:00,15.6621076236,-24.0,18.5448267676,13.0274256697
213,2016-10-18 00:00:00,2016-10-18 14:15:00,2016-10-18 16:10:00,11.3109231771,-24.0,14.1974023783,8.7584961499
216,2016-10-18 00:00:00,2016-10-18 10:55:00,2016-10-18 14:15:00,8.44585511345,-24.0,10.6845540147,6.48155621226
217,2016-10-18 00:00:00,2016-10-18 10:55:00,2016-10-18 16:10:00,7.30637770092,-24.0,8.71149376119,6.02570608508
219,2016-10-20 00:00:00,2016-10-20 11:45:00,2016-10-20 13:35:00,2.89503391926,-24.0,4.53422965839,1.65269768427
220,2016-10-20 00:00:00,2016-10-20 13:45:00,2016-10-20 16:00:00,3.41612758674,-24.0,5.27471629587,1.98438332205
222,2016-10-21 00:00:00,2016-10-21 14:42:00,2016-10-21 16:36:00,28.6584835939,-24.0,32.713927639,24.8986381945
223,2016-10-21 00:00:00,2016-10-21 14:42:00,2016-10-21 16:36:00,22.4830030832,-24.0,26.5427214136,18.7671444019
226,2016-10-27 00:00:00,2016-10-27 11:49:00,2016-10-27 15:58:00,10.3152199546,-24.0,11.9914876407,8.76933068367
227,2016-10-27 00:00:00,2016-10-27 11:49:00,2016-10-27 15:58:00,7.73714692061,-24.0,9.06224901295,6.51918449806
229,2016-10-31 00:00:00,2016-10-31 10:17:00,2016-10-31 17:30:00,2.43978224509,-24.0,3.01732731059,1.92413524072
230,2016-11-01 00:00:00,2016-11-01 11:10:00,2016-11-01 14:10:00,0.964797098342,-24.0,1.87982822179,0.369899308225
231,2016-11-02 00:00:00,2016-11-02 10:29:00,2016-11-02 15:29:00,6.60333822956,-24.0,7.82952233657,5.48754492715
232,2016-09-26 00:00:00,2016-09-26 12:00:00,2016-09-26 15:00:00,7.17292008718,-23.0,8.96428348101,5.59079416612
