,T,INP,start,end
71,-21.72,1.47442256799,2016-10-07 12:41:00,2016-10-07 10:41:00
72,-21.82,1.74767109152,2016-10-07 12:41:00,2016-10-07 10:41:00
73,-21.86,2.03018402215,2016-10-07 12:41:00,2016-10-07 10:41:00
74,-22.01,2.32261168724,2016-10-07 12:41:00,2016-10-07 10:41:00
75,-22.35,2.62567538867,2016-10-07 12:41:00,2016-10-07 10:41:00
76,-22.47,2.94017812186,2016-10-07 12:41:00,2016-10-07 10:41:00
77,-22.54,3.26701739813,2016-10-07 12:41:00,2016-10-07 10:41:00
78,-22.62,3.6072006858,2016-10-07 12:41:00,2016-10-07 10:41:00
79,-22.74,5.12654699242,2016-10-07 12:41:00,2016-10-07 10:41:00
80,-22.83,5.55399111231,2016-10-07 12:41:00,2016-10-07 10:41:00
81,-22.85,6.00455128957,2016-10-07 12:41:00,2016-10-07 10:41:00
82,-23.05,6.4808714049,2016-10-07 12:41:00,2016-10-07 10:41:00
83,-23.12,6.9860765867,2016-10-07 12:41:00,2016-10-07 10:41:00
84,-23.14,7.52389759618,2016-10-07 12:41:00,2016-10-07 10:41:00
85,-23.31,8.71640462652,2016-10-07 12:41:00,2016-10-07 10:41:00
86,-23.38,9.38342719047,2016-10-07 12:41:00,2016-10-07 10:41:00
87,-23.57,10.1085219987,2016-10-07 12:41:00,2016-10-07 10:41:00
88,-23.65,10.9027734971,2016-10-07 12:41:00,2016-10-07 10:41:00
89,-23.66,11.7807777942,2016-10-07 12:41:00,2016-10-07 10:41:00
90,-23.8,13.8750646966,2016-10-07 12:41:00,2016-10-07 10:41:00
91,-23.93,15.1596536951,2016-10-07 12:41:00,2016-10-07 10:41:00
92,-24.07,16.6790000018,2016-10-07 12:41:00,2016-10-07 10:41:00
93,-24.25,18.538529596,2016-10-07 12:41:00,2016-10-07 10:41:00
94,-24.34,24.3147561007,2016-10-07 12:41:00,2016-10-07 10:41:00
95,-24.35,30.0909826054,2016-10-07 12:41:00,2016-10-07 10:41:00
96,,,2016-10-13 14:42:00,2016-10-13 10:41:00
97,-12.75,0.120280235989,2016-10-13 14:42:00,2016-10-13 10:41:00
98,-16.96,0.244151452377,2016-10-13 14:42:00,2016-10-13 10:41:00
99,-20.17,0.37183468336,2016-10-13 14:42:00,2016-10-13 10:41:00
100,-20.31,0.503572020765,2016-10-13 14:42:00,2016-10-13 10:41:00
101,-20.35,0.639629376877,2016-10-13 14:42:00,2016-10-13 10:41:00
102,-20.43,0.78029971578,2016-10-13 14:42:00,2016-10-13 10:41:00
103,-20.61,0.925906851926,2016-10-13 14:42:00,2016-10-13 10:41:00
104,-20.72,1.07680993977,2016-10-13 14:42:00,2016-10-13 10:41:00
105,-20.82,1.23340881107,2016-10-13 14:42:00,2016-10-13 10:41:00
106,-20.86,1.39615035942,2016-10-13 14:42:00,2016-10-13 10:41:00
107,-21.01,1.5655362288,2016-10-13 14:42:00,2016-10-13 10:41:00
108,-21.18,1.74213213925,2016-10-13 14:42:00,2016-10-13 10:41:00
109,-21.2,1.92657928685,2016-10-13 14:42:00,2016-10-13 10:41:00
110,-21.29,2.11960839737,2016-10-13 14:42:00,2016-10-13 10:41:00
111,-21.37,2.53489245777,2016-10-13 14:42:00,2016-10-13 10:41:00
112,-21.41,2.75923777425,2016-10-13 14:42:00,2016-10-13 10:41:00
113,-21.8,2.99640961591,2016-10-13 14:42:00,2016-10-13 10:41:00
114,-21.82,3.24796406328,2016-10-13 14:42:00,2016-10-13 10:41:00
115,-21.89,3.51575875679,2016-10-13 14:42:00,2016-10-13 10:41:00
116,-21.94,3.80203623184,2016-10-13 14:42:00,2016-10-13 10:41:00
117,-22.03,4.44166560872,2016-10-13 14:42:00,2016-10-13 10:41:00
118,-22.06,4.80270866677,2016-10-13 14:42:00,2016-10-13 10:41:00
119,-22.17,5.19818659127,2016-10-13 14:42:00,2016-10-13 10:41:00
120,-22.19,5.63536715416,2016-10-13 14:42:00,2016-10-13 10:41:00
121,-22.75,6.12409344319,2016-10-13 14:42:00,2016-10-13 10:41:00
122,-22.92,6.67816561176,2016-10-13 14:42:00,2016-10-13 10:41:00
123,-23.02,7.31779498864,2016-10-13 14:42:00,2016-10-13 10:41:00
124,-23.37,8.07431597118,2016-10-13 14:42:00,2016-10-13 10:41:00
125,-23.4,9.00022282311,2016-10-13 14:42:00,2016-10-13 10:41:00
126,-23.46,10.1939243686,2016-10-13 14:42:00,2016-10-13 10:41:00
127,-23.74,11.876352203,2016-10-13 14:42:00,2016-10-13 10:41:00
128,-23.8,14.7524815829,2016-10-13 14:42:00,2016-10-13 10:41:00
129,-18.15,0.256098881515,2016-10-13 16:47:00,2016-10-13 14:57:00
130,-20.99,0.519621944,2016-10-13 16:47:00,2016-10-13 14:57:00
131,-21.57,0.791012518088,2016-10-13 16:47:00,2016-10-13 14:57:00
132,-22.07,1.0707548696,2016-10-13 16:47:00,2016-10-13 14:57:00
133,-22.18,1.35937939974,2016-10-13 16:47:00,2016-10-13 14:57:00
134,-22.37,1.65746869813,2016-10-13 16:47:00,2016-10-13 14:57:00
135,-22.43,1.96566462245,2016-10-13 16:47:00,2016-10-13 14:57:00
136,-22.8,2.28467662074,2016-10-13 16:47:00,2016-10-13 14:57:00
137,-22.93,2.61529156774,2016-10-13 16:47:00,2016-10-13 14:57:00
138,-22.99,2.9583854585,2016-10-13 16:47:00,2016-10-13 14:57:00
139,-23.5,3.31493739625,2016-10-13 16:47:00,2016-10-13 14:57:00
140,-23.52,3.68604643735,2016-10-13 16:47:00,2016-10-13 14:57:00
141,-23.71,4.07295202297,2016-10-13 16:47:00,2016-10-13 14:57:00
142,-23.71,4.47705895543,2016-10-13 16:47:00,2016-10-13 14:57:00
143,-23.98,4.89996818848,2016-10-13 16:47:00,2016-10-13 14:57:00
144,-24.13,5.34351513547,2016-10-13 16:47:00,2016-10-13 14:57:00
145,-24.18,5.80981781172,2016-10-13 16:47:00,2016-10-13 14:57:00
146,-24.18,6.30133800509,2016-10-13 16:47:00,2016-10-13 14:57:00
147,-24.23,6.82095994909,2016-10-13 16:47:00,2016-10-13 14:57:00
148,-24.37,7.37209287469,2016-10-13 16:47:00,2016-10-13 14:57:00
149,-24.44,7.95880670322,2016-10-13 16:47:00,2016-10-13 14:57:00
150,-24.54,8.58601462583,2016-10-13 16:47:00,2016-10-13 14:57:00
151,-24.59,9.25972346359,2016-10-13 16:47:00,2016-10-13 14:57:00
