,T,INPs_perL,F,delta_INP_pos,delta_INP_neg
22,-18.96,3.23777643772,0.6,1.00543756292,0.869691979883
23,-19.01,3.41902482778,0.62,1.03132234253,0.895576759491
24,-19.08,3.61007507962,0.64,1.05787455566,0.922128972617
25,-19.12,4.0262695519,0.68,1.11338540052,0.977639817486
26,-19.15,4.49811192867,0.72,1.17295091213,1.0372053291
27,-19.21,4.75997755465,0.74,1.20466294666,1.06891736362
28,-19.25,5.04281397753,0.76,1.23794947579,1.10220389275
29,-19.36,6.05935840315,0.82,1.35047260384,1.2147270208
30,-19.53,6.47555287544,0.84,1.39378960684,1.2580440238
31,-19.57,6.9473952522,0.86,1.44124689868,1.30550131564
32,-19.78,7.49209730106,0.88,1.49406991416,1.35832433112
33,-19.88,8.13634308478,0.9,1.5541248804,1.41837929736
34,-19.94,9.94138062459,0.94,1.71073523804,1.574989655
35,-20.0,11.3741195225,0.96,1.82513571216,1.68939012912
36,-20.04,13.823402846,0.98,2.00512129335,1.86937571031
0,-16.79,0.379524151777,0.0232558139535,1.09975288131,0.379272761276
1,-20.45,0.768194338536,0.046511627907,1.41235103252,0.691870912492
2,-20.57,1.16646228354,0.0697674418605,1.65670670907,0.936226589041
3,-20.83,1.57481402522,0.093023255814,1.86664120043,1.1461610804
4,-21.21,1.99377348334,0.116279069767,2.05521743956,1.33473731953
5,-21.63,2.4239065008,0.139534883721,2.229130879,1.50865075897
6,-21.7,2.86582543931,0.162790697674,2.39236715078,1.67188703075
7,-21.97,3.32019442265,0.186046511628,2.54753705684,1.82705693681
8,-22.01,3.78773533996,0.209302325581,2.69647121826,1.97599109823
9,-22.03,4.2692347456,0.232558139535,2.84052180286,2.12004168283
10,-22.45,5.27762760014,0.279069767442,3.11792958816,2.39744946813
11,-22.58,5.80649571018,0.302325581395,3.25280457139,2.53232445136
12,-22.65,6.35329493076,0.325581395349,3.38593756449,2.66545744446
13,-23.15,6.91928395997,0.348837209302,3.51783615135,2.79735603132
14,-23.2,8.11457383342,0.395348837209,3.77971052472,3.05923040469
15,-23.44,8.74716598105,0.418604651163,3.91049616231,3.19001604228
16,-23.48,9.40558524751,0.441860465116,4.04169009718,3.32120997715
17,-23.55,10.0920306414,0.46511627907,4.17366567168,3.45318555165
18,-23.62,10.8089945538,0.488372093023,4.30679949667,3.58631937664
19,-23.68,11.5593173866,0.511627906977,4.44147967027,3.72099955024
20,-23.87,12.3462555184,0.53488372093,4.57811432505,3.85763420502
21,-24.09,13.1735667182,0.558139534884,4.71714100687,3.99666088684
22,-24.21,14.0456186742,0.581395348837,4.85903746115,4.13855734112
23,-24.27,14.9675285748,0.604651162791,5.00433454315,4.28385442312
24,-24.38,15.9453450557,0.627906976744,5.1536322033,4.43315208327
25,-24.74,16.986288945,0.651162790698,5.30761987118,4.58713975115
26,-25.12,18.0990771948,0.674418604651,5.46710314997,4.74662302994
27,-25.23,19.2943670683,0.697674418605,5.63303967715,4.91255955712
28,-25.33,20.5853784823,0.720930232558,5.80658855416,5.08610843413
29,-25.39,21.9887877886,0.744186046512,5.98918036264,5.26870024261
30,-25.42,23.5260487532,0.767441860465,6.18261937256,5.46213925253
31,-25.5,25.225411909,0.790697674419,6.38923795353,5.6687578335
32,-25.57,27.1251382905,0.813953488372,6.61213943403,5.891659314
33,-25.72,31.7651717172,0.860465116279,7.12576660738,6.40528648735
34,-26.01,34.7058419881,0.883720930233,7.43199644741,6.71151632738
35,-26.08,38.3049315254,0.906976744186,7.78963326042,7.06915314039
36,-26.39,42.944964952,0.93023255814,8.22675053205,7.50627041202
37,-26.51,49.4847247602,0.953488372093,8.80449970014,8.08401958011
38,-26.65,60.6645179951,0.976744186047,9.70984745355,8.98936733352
0,-16.11,0.140356061319,0.0208333333333,0.40704516284,0.140267385062
1,-17.45,0.283730762792,0.0416666666667,0.522472587815,0.255694810037
2,-19.15,0.430256807584,0.0625,0.612519257371,0.345741479593
3,-19.28,0.580075846598,0.0833333333333,0.689718548889,0.422940771111
4,-20.21,0.733339301429,0.104166666667,0.758910477952,0.492132700175
5,-20.49,1.05085962802,0.145833333333,0.88218258053,0.615404802752
6,-20.7,1.38426243185,0.1875,0.992796190966,0.726018413188
7,-21.08,1.55743234121,0.208333333333,1.04496811093,0.778190333151
8,-21.22,1.91788048301,0.25,1.14496972432,0.878191946538
9,-21.33,2.10568632946,0.270833333333,1.19334201962,0.926564241839
10,-21.39,2.29893657528,0.291666666667,1.24091332727,0.974135549491
11,-21.6,2.49795632961,0.3125,1.28785780454,1.02108002676
12,-21.66,2.70310072072,0.333333333333,1.33432785768,1.0675500799
13,-21.93,2.91475870948,0.354166666667,1.38045973794,1.11368196016
14,-21.96,3.1333575283,0.375,1.4263777971,1.15960001933
15,-22.13,3.35936787281,0.395833333333,1.47219783407,1.20542005629
16,-22.19,3.59331000488,0.416666666667,1.51802982283,1.25125204505
17,-22.38,3.83576096602,0.4375,1.56398022579,1.29720244801
18,-22.41,4.08736315258,0.458333333333,1.61015404206,1.34337626429
19,-22.5,4.3488345736,0.479166666667,1.65665670741,1.38987892963
20,-22.54,4.90471196652,0.520833333333,1.7510836432,1.48430586543
21,-22.57,5.20105705033,0.541666666667,1.79923788684,1.53246010906
22,-22.73,5.5111904879,0.5625,1.84818517491,1.58140739713
