,0,1,2,3,4,5,6,7,8,start,end
0,,,,,,,,,,,
1,,,,,,,,,,2016-09-26 12:00:00,2016-09-26 15:00:00
2,-15.12,0.11001459609,0.0196078431373,19.8026272962,0.0198026272962,0.42919882855,6.78363966416e-05,0.31918423246,0.109946759693,2016-09-26 12:00:00,2016-09-26 15:00:00
3,-17.09,0.222251858965,0.0392156862745,40.0053346137,0.0400053346137,0.63184081451,0.0219003761874,0.409588955545,0.200351482778,2016-09-26 12:00:00,2016-09-26 15:00:00
4,-18.5,0.336803454536,0.0588235294118,60.6246218164,0.0606246218164,0.816847026662,0.0659973551765,0.480043572126,0.270806099359,2016-09-26 12:00:00,2016-09-26 15:00:00
5,-18.57,0.453766838968,0.078431372549,81.6780310143,0.0816780310143,0.994149333852,0.122621816851,0.540382494884,0.331145022117,2016-09-26 12:00:00,2016-09-26 15:00:00
6,-19.86,0.573245756862,0.0980392156863,103.184236235,0.103184236235,1.16764912641,0.188079860085,0.594403369544,0.385165896777,2016-09-26 12:00:00,2016-09-26 15:00:00
7,-20.31,0.695350794189,0.117647058824,125.163142954,0.125163142954,1.33940153345,0.260537527698,0.644050739258,0.434813266491,2016-09-26 12:00:00,2016-09-26 15:00:00
8,-20.35,0.820199993367,0.137254901961,147.635998806,0.147635998806,1.51067976067,0.33895769883,0.690479767304,0.481242294537,2016-09-26 12:00:00,2016-09-26 15:00:00
9,-20.42,0.94791953906,0.156862745098,170.625517031,0.170625517031,1.68236410651,0.422712444377,0.73444456745,0.525207094683,2016-09-26 12:00:00,2016-09-26 15:00:00
10,-20.8,1.07864452467,0.176470588235,194.156014441,0.194156014441,1.8551157067,0.511410815415,0.776471182023,0.567233709257,2016-09-26 12:00:00,2016-09-26 15:00:00
11,-21.01,1.21251981122,0.196078431373,218.25356602,0.21825356602,2.02946513139,0.604811963826,0.816945320164,0.607707847397,2016-09-26 12:00:00,2016-09-26 15:00:00
12,-21.03,1.34970099228,0.21568627451,242.94617861,0.24294617861,2.20586217539,0.702777281937,0.85616118311,0.646923710343,2016-09-26 12:00:00,2016-09-26 15:00:00
13,-21.07,1.49035548108,0.235294117647,268.263986595,0.268263986595,2.38470608891,0.805242346023,0.894350607826,0.685113135059,2016-09-26 12:00:00,2016-09-26 15:00:00
14,-21.11,1.63466373888,0.254901960784,294.239472998,0.294239472998,2.56636519125,0.912199759269,0.931701452375,0.722463979609,2016-09-26 12:00:00,2016-09-26 15:00:00
15,-21.25,1.93503719038,0.294117647059,348.306694268,0.348306694268,2.93952512995,1.13978672357,1.00448793957,0.795250466806,2016-09-26 12:00:00,2016-09-26 15:00:00
16,-21.3,2.09154206242,0.313725490196,376.477571235,0.376477571235,3.13171301576,1.26060858184,1.04017095334,0.830933480573,2016-09-26 12:00:00,2016-09-26 15:00:00
17,-21.31,2.25258393393,0.333333333333,405.465108108,0.405465108108,3.32810428174,1.38630105889,1.07552034781,0.866282875039,2016-09-26 12:00:00,2016-09-26 15:00:00
18,-21.46,2.41843372921,0.352941176471,435.318071258,0.435318071258,3.52906137366,1.51704355753,1.11062764445,0.901390171683,2016-09-26 12:00:00,2016-09-26 15:00:00
19,-21.51,2.58938738847,0.372549019608,466.089729925,0.466089729925,3.73496421544,1.65304803427,1.14557682697,0.936339354202,2016-09-26 12:00:00,2016-09-26 15:00:00
20,-21.53,2.76576904577,0.392156862745,497.838428239,0.497838428239,3.94621539418,1.79456017013,1.18044634841,0.971208875639,2016-09-26 12:00:00,2016-09-26 15:00:00
21,-21.66,2.94793472812,0.411764705882,530.628251062,0.530628251062,4.16324551219,1.94186141682,1.21531078407,1.0060733113,2016-09-26 12:00:00,2016-09-26 15:00:00
22,-21.68,3.13627668188,0.43137254902,564.529802738,0.564529802738,4.38651892257,2.09527191395,1.25024224069,1.04100476793,2016-09-26 12:00:00,2016-09-26 15:00:00
23,-21.73,3.33122845861,0.450980392157,599.621122549,0.599621122549,4.61654006266,2.25515432732,1.28531160406,1.07607413129,2016-09-26 12:00:00,2016-09-26 15:00:00
24,-21.85,3.53327092622,0.470588235294,635.98876672,0.63598876672,4.85386061555,2.42191870966,1.32058968933,1.11135221656,2016-09-26 12:00:00,2016-09-26 15:00:00
25,-21.91,3.74293941502,0.490196078431,673.729094703,0.673729094703,5.09908776265,2.59602854015,1.35614834763,1.14691087487,2016-09-26 12:00:00,2016-09-26 15:00:00
26,-21.95,3.96083226587,0.509803921569,712.949807856,0.712949807856,5.35289384243,2.77800816207,1.39206157656,1.1828241038,2016-09-26 12:00:00,2016-09-26 15:00:00
27,-21.96,4.18762112431,0.529411764706,753.771802376,0.753771802376,5.61602780516,2.96845191623,1.42840668085,1.21916920808,2016-09-26 12:00:00,2016-09-26 15:00:00
28,-21.97,4.42406342664,0.549019607843,796.331416795,0.796331416795,5.8893289583,3.16803536775,1.46526553166,1.25602805889,2016-09-26 12:00:00,2016-09-26 15:00:00
29,-22.05,4.67101766314,0.56862745098,840.783179366,0.840783179366,6.17374364226,3.3775291568,1.50272597911,1.29348850635,2016-09-26 12:00:00,2016-09-26 15:00:00
30,-22.08,4.92946219445,0.588235294118,887.303195001,0.887303195001,6.47034567778,3.59781618388,1.54088348333,1.33164601057,2016-09-26 12:00:00,2016-09-26 15:00:00
31,-22.25,5.20051866206,0.607843137255,936.09335917,0.93609335917,6.78036170811,3.82991308877,1.57984304606,1.37060557329,2016-09-26 12:00:00,2016-09-26 15:00:00
