,T,inp_air
31,-19.73,8099.68820406
32,-19.92,8402.87124204
33,-19.96,8730.92068831
34,-20.07,9054.32759572
35,-20.14,9388.67561481
36,-20.32,9711.49781573
37,-20.32,10067.8695795
38,-20.44,10411.0435418
39,-20.51,10768.3216236
40,-20.53,11140.5574141
41,-20.54,11521.3769094
42,-20.69,11884.6589753
43,-20.71,12278.1321613
44,-20.74,12677.4525224
45,-20.76,13086.5872993
46,-20.79,13502.1645878
47,-20.85,13920.6492355
48,-20.87,14355.7093456
49,-20.87,14804.0543785
50,-20.97,15242.6041326
51,-20.97,15711.1011636
52,-20.97,16190.3691794
53,-21.01,16672.8539859
54,-21.01,17175.2214395
55,-21.03,17685.9197521
56,-21.06,18207.5588598
57,-21.16,18728.0281437
58,-21.16,19283.9875048
59,-21.28,19828.8970024
60,-21.3,20411.6894607
61,-21.3,21015.9996139
62,-21.31,21636.0930034
63,-21.31,22277.5971727
64,-21.33,22934.9283101
65,-21.34,23616.2224746
66,-21.35,24320.6848433
67,-21.38,25045.3177805
68,-21.4,25798.8247154
69,-21.67,26519.3093091
70,-21.67,27336.9529495
71,-21.75,28167.0590731
72,-21.77,29048.9843509
73,-21.77,29975.6809367
74,-21.77,30945.4948915
75,-21.81,31951.8684097
76,-21.81,33021.1920547
77,-21.86,34134.6650042
78,-21.86,35326.2602051
79,-21.86,36590.1162774
80,-21.95,37910.3111303
81,-22.07,39313.6435876
82,-22.19,40822.0598645
83,-22.22,42481.3463429
84,-22.22,44295.2934468
85,-22.33,46246.9584638
86,-22.47,48396.4413642
87,-22.5,50841.5092844
88,-22.54,53611.2494099
89,-22.54,56824.8657082
90,-22.61,60600.7368768
91,-22.68,65226.9920404
92,-22.77,71190.3925777
93,-23.18,79473.638786
94,-23.18,93923.8447733
0,-12.7,68.4930387082
1,-13.34,145.035159928
2,-13.77,222.912700185
3,-13.86,303.265517929
4,-14.05,383.941716062
5,-14.35,464.776101363
6,-14.46,547.656630979
7,-14.56,631.543671336
8,-14.58,716.95948001
9,-15.41,796.791830239
10,-15.79,880.569209141
11,-15.87,968.360019601
12,-16.04,1056.16842844
13,-16.1,1146.32136221
14,-16.12,1238.09090649
15,-16.21,1330.16367632
16,-16.63,1418.85922861
17,-16.83,1511.45004885
18,-17.03,1605.08010717
19,-17.21,1700.12793386
20,-17.25,1798.92505586
21,-17.25,1899.82074148
22,-17.4,1999.31040122
23,-17.56,2099.89008868
24,-17.64,2203.48160517
25,-17.7,2308.99266724
26,-17.78,2415.61663105
27,-17.83,2524.49899128
28,-17.99,2632.46448605
29,-17.99,2745.87483894
30,-18.0,2860.83195738
31,-18.0,2977.87159401
32,-18.1,3094.37320058
33,-18.1,3215.28208948
34,-18.1,3338.22315543
35,-18.16,3461.75820426
36,-18.23,3587.17487465
37,-18.27,3715.594417
38,-18.37,3844.70488668
39,-18.37,3978.92555584
40,-18.37,4115.65516731
41,-18.56,4249.59892638
42,-18.58,4391.04949157
43,-18.77,4530.08632294
44,-18.77,4677.86551542
45,-18.8,4827.73652775
46,-18.8,4981.7384524
47,-18.84,5137.76241239
48,-18.89,5296.89510259
49,-18.94,5459.61102465
50,-18.96,5627.09914132
51,-19.01,5797.50871782
52,-19.01,5973.7779998
53,-19.06,6152.65699597
54,-19.06,6337.85223542
55,-19.2,6522.80661432
56,-19.3,6714.11184963
57,-19.32,6913.76030591
58,-19.4,7116.6883359
59,-19.5,7324.67601518
60,-19.58,7539.69714099
61,-19.6,7763.93408301
62,-19.62,7995.31170684
63,-19.65,8233.86405405
64,-19.67,8480.9737467
65,-19.72,8735.44736426
66,-19.75,9000.12296895
67,-19.85,9271.58894117
68,-19.91,9555.64187223
69,-20.22,9838.55293212
70,-20.26,10147.7125624
71,-20.27,10472.3252807
72,-20.37,10807.0614756
73,-20.39,11162.818629
74,-20.42,11536.303184
75,-20.57,11922.926507
76,-20.72,12331.666797
77,-20.77,12771.8893476
78,-20.77,13243.9770924
79,-20.79,13747.3368486
80,-20.86,14284.7603286
81,-20.91,14866.854606
82,-20.91,15503.3272741
83,-20.93,16199.1253399
84,-21.03,16962.7727201
85,-21.23,17809.4544043
86,-21.27,18783.1052485
87,-21.44,19896.9700273
88,-21.78,21200.5138823
89,-21.86,22825.1307954
90,-22.09,24906.24125
91,-22.12,27868.9706919
92,-22.41,32906.6795753
0,-9.47,177.901622723
1,-13.37,346.0224039
2,-14.11,527.352966654
3,-14.51,713.717966999
4,-15.29,895.829671912
5,-15.74,1083.95179543
6,-16.3,1270.68371078
7,-17.14,1448.46343051
8,-17.82,1627.62395315
9,-18.14,1821.19859434
10,-18.59,2008.86650848
11,-18.83,2209.14404341
12,-19.05,2412.80345968
13,-19.09,2631.42256757
14,-19.17,2850.75058988
15,-19.28,3071.3886778
16,-19.31,3301.48920713
17,-19.48,3524.72949348
18,-19.53,3761.01041222
19,-19.58,4001.39735355
20,-19.8,4231.47248668
21,-19.84,4481.15124803
22,-19.84,4739.03590451
23,-19.94,4992.61482087
24,-20.03,5251.82347337
25,-20.03,5524.73145511
26,-20.06,5800.14825298
27,-20.09,6081.15630593
28,-20.17,6362.98324662
29,-20.17,6658.874585
30,-20.19,6959.10261542
31,-20.26,7260.78990524
32,-20.33,7569.23436777
33,-20.39,7885.84597869
34,-20.44,8211.03375985
35,-20.44,8549.70844771
36,-20.52,8887.708326
37,-20.52,9243.53288719
38,-20.52,9608.60067097
39,-20.54,9981.10407115
40,-20.61,10357.9933247
41,-20.64,10750.3441602
42,-20.66,11155.341525
43,-20.86,11549.8963982
44,-20.89,11978.4613684
45,-21.2,12381.6820244
46,-21.27,12832.1287554
47,-21.34,13297.9335598
48,-21.37,13786.4670034
49,-21.42,14289.724475
50,-21.48,14810.5113536
51,-21.58,15345.2137834
52,-21.61,15913.8660811
53,-21.63,16508.5997451
54,-21.68,17124.6983206
55,-21.68,17778.5054811
56,-21.72,18457.1920595
57,-21.81,19161.8992531
58,-21.84,19916.2640347
59,-21.88,20712.141989
60,-22.04,21533.3001344
61,-22.18,22411.8196413
62,-22.18,23381.467497
63,-22.2,24418.8103212
64,-22.3,25522.3233537
65,-22.35,26734.1983771
66,-22.35,28073.7180909
67,-22.41,29541.0100296
68,-22.41,31196.3704385
69,-22.55,33040.452268
70,-22.67,35177.6377183
71,-22.67,37740.0431201
72,-22.72,40863.5862179
73,-22.76,44896.5266134
74,-22.76,50595.0627686
75,-22.93,60291.583557
0,-13.43,481.236517397
1,-15.74,951.123508228
2,-16.29,1480.40919841
3,-16.34,2047.51950843
4,-16.98,2579.26190521
5,-17.03,3163.69622475
6,-17.04,3761.0581496
7,-17.22,4353.31335293
8,-17.37,4957.61867893
9,-17.43,5580.68720506
10,-17.48,6215.5665047
11,-17.54,6860.66142884
12,-17.79,7496.83731629
13,-17.95,8153.48074416
14,-18.16,8815.31543194
15,-18.22,9508.3350922
16,-18.31,10210.7682198
17,-18.37,10931.1107585
18,-18.46,11661.7434968
19,-18.46,12420.3115667
20,-18.73,13154.4620811
21,-18.78,13937.7371775
22,-18.99,14711.442073
23,-18.99,15538.2015396
24,-19.06,16371.7396579
25,-19.31,17191.1169496
26,-19.39,18061.9279646
27,-19.39,18970.3506123
28,-19.49,19881.4732998
29,-19.51,20832.942951
30,-19.53,21809.868619
31,-19.59,22805.1360523
32,-19.88,23775.9934756
33,-19.88,24842.4231578
34,-19.9,25935.9135895
35,-20.08,27023.3892877
36,-20.1,28186.2639041
37,-20.22,29360.9673523
38,-20.35,30572.3518036
39,-20.4,31849.1000897
40,-20.41,33184.1603446
41,-20.42,34569.710174
42,-20.63,35949.4755367
43,-20.68,37435.5335651
44,-20.72,38988.4610453
45,-21.01,40525.1884595
46,-21.09,42207.5487298
47,-21.12,43991.3798463
48,-21.16,45863.4027759
49,-21.2,47837.2574795
50,-21.38,49868.707198
51,-21.45,52070.0087904
52,-21.45,54444.3324483
53,-21.6,56917.7836533
54,-21.62,59635.2590947
55,-21.64,62571.0043573
56,-21.67,65758.5166251
57,-21.71,69246.5813552
58,-21.76,73099.4330391
59,-21.76,77432.5823448
60,-22.1,82175.1044767
61,-22.31,87730.2558714
62,-22.45,94355.397664
63,-22.75,102373.568744
64,-22.99,112788.628388
65,-23.1,127623.105522
66,-23.23,153021.912961
0,-15.39,73.9782084581
1,-16.83,162.136411691
2,-16.92,277.329914592
3,-17.3,385.452333962
4,-18.33,468.230476905
5,-18.48,582.71746009
6,-18.48,705.127389174
7,-18.64,821.325122218
8,-18.66,945.384125325
9,-18.69,1070.29691369
10,-18.74,1195.57708733
11,-18.84,1319.6512151
12,-18.86,1449.22545622
13,-18.86,1581.31772508
14,-18.9,1712.81268469
15,-18.94,1845.82149888
16,-19.05,1976.50804311
17,-19.13,2110.30668054
18,-19.31,2239.58473813
19,-19.44,2373.09274001
20,-19.57,2507.94499799
21,-19.6,2651.12547063
22,-19.63,2796.11040212
23,-19.68,2941.54410716
24,-19.71,3090.26335538
25,-19.71,3243.07653024
26,-19.78,3392.87175012
27,-19.87,3543.11433339
28,-19.87,3702.16496935
29,-19.9,3861.13639616
30,-20.06,4012.08747763
31,-20.27,4160.29454227
32,-20.3,4325.87248294
33,-20.35,4492.09087001
34,-20.37,4663.48034259
35,-20.52,4825.35441833
36,-20.66,4990.14097733
37,-20.74,5163.24522055
38,-20.74,5347.34416567
39,-20.82,5526.00944706
40,-20.92,5705.27454364
41,-20.97,5892.94365299
42,-20.98,6088.29562163
43,-21.01,6284.73393475
44,-21.1,6477.63117911
45,-21.15,6678.60681252
46,-21.17,6886.84041261
47,-21.24,7092.79216458
48,-21.32,7301.26319743
49,-21.42,7510.97079263
50,-21.42,7737.96902044
51,-21.46,7964.14313963
52,-21.49,8196.27324396
53,-21.49,8437.31356524
54,-21.49,8683.42879062
55,-21.55,8926.62371163
56,-21.7,9162.22709073
57,-21.73,9420.5288478
58,-21.73,9689.27726788
59,-21.79,9955.39125248
60,-21.83,10231.0113469
61,-21.87,10513.49909
62,-21.87,10809.4653138
63,-21.97,11097.2987031
64,-21.97,11409.0516158
65,-21.97,11729.3467587
66,-21.97,12058.6654771
67,-22.16,12365.8474294
68,-22.22,12704.3634962
69,-22.33,13044.2971098
70,-22.37,13408.0474575
71,-22.37,13791.3618442
72,-22.55,14153.0463217
73,-22.66,14540.9677894
74,-22.76,14945.0520428
75,-22.76,15386.2380398
76,-22.92,15809.4166103
77,-22.98,16272.8490288
78,-23.13,16734.589424
79,-23.21,17234.339
80,-23.25,17767.9952299
81,-23.27,18333.216505
82,-23.33,18917.1990142
83,-23.4,19530.568242
84,-23.44,20187.8645473
85,-23.61,20848.4965532
86,-23.63,21597.1021327
87,-23.65,22397.7367549
88,-23.65,23264.0620183
89,-23.67,24193.8268774
90,-23.95,25123.1927015
91,-24.02,26213.9972608
92,-24.16,27397.1013876
93,-24.23,28748.7695324
94,-24.42,30237.9931022
95,-24.56,31983.8948079
96,-24.74,34038.7737132
97,-25.02,36518.0282942
98,-25.17,39806.1943398
99,-25.19,44535.8079311
100,-25.42,52514.8789678
101,-25.61,
0,-13.38,96.0147364789
1,-15.28,193.381864435
2,-15.62,307.542683129
3,-15.9,423.291544263
4,-16.95,520.625040066
5,-17.01,642.17342796
6,-17.16,762.192744789
7,-17.25,885.11671304
8,-18.55,959.701983477
9,-18.6,1085.42488754
10,-19.09,1187.43170599
11,-19.25,1308.24452941
12,-19.33,1435.26337638
13,-19.36,1566.94426169
14,-19.68,1679.09929098
15,-19.76,1809.51993831
16,-19.78,1946.03427269
17,-19.88,2077.61726151
18,-19.98,2210.46443428
19,-19.98,2353.23082587
20,-20.0,2495.92762075
21,-20.08,2635.06561395
22,-20.08,2782.84146489
23,-20.08,2932.36618305
24,-20.1,3081.91773939
25,-20.13,3232.39746222
26,-20.15,3385.63017748
27,-20.17,3540.77572347
28,-20.17,3699.70475261
29,-20.31,3847.62106844
30,-20.42,3999.93456346
31,-20.45,4162.09867033
32,-20.49,4325.40026706
33,-20.52,4491.92149792
34,-20.52,4663.82471053
35,-20.54,4836.03080337
36,-20.6,5006.44728278
37,-20.73,5171.54785565
38,-20.75,5351.11358746
39,-20.75,5535.56491037
40,-20.79,5718.23716848
41,-20.79,5908.23610563
42,-20.82,6097.70896518
43,-20.84,6291.2942006
44,-20.88,6485.60873694
45,-20.9,6685.41214822
46,-20.9,6890.85880855
47,-20.92,7097.32836593
48,-20.94,7307.29081527
49,-20.95,7522.07205085
50,-21.01,7734.50943105
51,-21.05,7953.18137737
52,-21.08,8177.07471634
53,-21.15,8399.96507576
54,-21.15,8636.13440467
55,-21.22,8867.62770549
56,-21.31,9100.82651114
57,-21.35,9345.50162034
58,-21.35,9600.75658916
59,-21.43,9849.98220683
60,-21.53,10101.4022
61,-21.6,10362.5996424
62,-21.68,10627.9347028
63,-21.75,10900.7584624
64,-21.91,11164.7387574
65,-21.94,11456.900415
66,-22.0,11750.9188761
67,-22.08,12048.6160797
68,-22.08,12368.498766
69,-22.14,12685.7016362
70,-22.15,13020.7918374
71,-22.2,13357.5937616
72,-22.2,13713.5240936
73,-22.2,14079.7726713
74,-22.2,14456.9556428
75,-22.26,14834.2690958
76,-22.35,15217.7147455
77,-22.35,15632.0040322
78,-22.42,16046.1775334
79,-22.6,16451.4382998
80,-22.63,16904.3362916
81,-22.71,17363.230433
82,-23.02,17784.1233795
83,-23.07,18287.0530168
84,-23.09,18819.5777371
85,-23.15,19365.3756493
86,-23.23,19931.4846394
87,-23.26,20539.6489463
88,-23.26,21187.7238827
89,-23.34,21848.3102894
90,-23.51,22520.3782508
91,-23.8,23193.4233066
92,-23.87,23984.9177038
93,-23.94,24832.0777179
94,-24.03,25735.9258121
95,-24.39,26606.195836
96,-24.46,27675.9342029
97,-24.5,28862.8813001
98,-24.68,30113.2066203
99,-24.7,31592.043701
100,-24.91,33177.1826711
101,-25.24,34948.0537163
102,-25.42,37145.9333948
103,-25.58,39865.3747297
104,-25.94,43253.0445339
105,-26.65,47783.3496575
106,-26.67,56522.052493
107,-26.67,
0,-15.87,145.852894575
1,-18.18,270.816361449
2,-18.75,458.594203184
3,-19.01,668.418472262
4,-19.12,892.999152932
5,-19.16,1126.71008192
6,-19.4,1344.1696303
7,-19.85,1538.92182043
8,-20.33,1724.12247811
9,-20.52,1946.84815165
10,-20.54,2197.55996329
11,-21.25,2332.51076618
12,-21.28,2587.53923726
13,-21.3,2848.25060285
14,-21.33,3110.78991764
15,-21.46,3356.54155729
16,-21.46,3633.15765696
17,-21.55,3894.71521052
18,-21.62,4164.47179232
19,-21.74,4426.76658242
20,-21.87,4690.04096273
21,-22.08,4935.80708887
22,-22.18,5212.9974077
23,-22.42,5453.58733401
24,-22.49,5746.88580828
25,-22.5,6063.73539396
26,-22.61,6354.85559706
