,T,inp_air
0,-7.71,38.1461848842
1,-10.85,75.3697159005
2,-11.94,113.578391274
3,-12.31,153.036606914
4,-12.72,192.615775323
5,-12.83,233.180920346
6,-13.04,273.798430646
7,-13.1,315.14382023
8,-13.32,356.357342463
9,-13.6,397.668142075
10,-13.68,439.958028044
11,-13.71,482.778806595
12,-13.77,525.860135975
13,-13.87,569.164307747
14,-14.03,612.603109956
15,-14.19,656.393604127
16,-14.24,701.016501983
17,-14.29,746.0376593
18,-14.32,791.551923284
19,-14.38,837.348482142
20,-14.4,883.744845317
21,-14.46,930.390596031
22,-14.46,977.749509452
23,-14.58,1024.99403579
24,-14.58,1073.2593536
25,-14.69,1121.45272987
26,-14.69,1170.65982478
27,-14.74,1220.09988221
28,-14.78,1270.08145767
29,-14.85,1320.40663282
30,-14.89,1371.39892457
31,-15.03,1422.3589142
32,-15.03,1474.62557076
33,-15.07,1527.21209971
34,-15.07,1580.58494932
35,-15.12,1634.23968455
36,-15.21,1688.23308407
37,-15.33,1742.61702677
38,-15.43,1797.70823797
39,-15.47,1853.80002809
40,-15.54,1910.32222247
41,-15.54,1967.96498956
42,-15.56,2026.13789961
43,-15.61,2084.78406584
44,-15.62,2144.40361662
45,-15.65,2204.59700185
46,-15.65,2265.73335308
47,-15.66,2327.54909359
48,-15.72,2389.77436797
49,-15.72,2453.21781105
50,-15.72,2517.46947259
51,-15.73,2582.47762697
52,-15.76,2648.18978447
53,-15.8,2714.6983935
54,-15.8,2782.39990963
55,-15.82,2850.87286218
56,-16.09,2918.31142034
57,-16.13,2988.51992379
58,-16.14,3059.97859713
59,-16.19,3132.12534486
60,-16.19,3205.75712296
61,-16.21,3280.30739746
62,-16.23,3355.98011123
63,-16.31,3432.2772203
64,-16.39,3509.74747532
65,-16.39,3589.17726212
66,-16.45,3669.31797512
67,-16.53,3750.56512276
68,-16.53,3833.9337518
69,-16.55,3918.50865301
70,-16.55,4004.72762811
71,-16.57,4092.24977631
72,-16.6,4181.22368696
73,-16.64,4271.70204813
74,-16.65,4364.14811744
75,-16.65,4458.42538986
76,-16.7,4553.98676205
77,-16.72,4651.71820137
78,-16.85,4750.21174383
79,-16.85,4852.10788058
80,-16.85,4956.10511597
81,-16.85,5062.29192693
82,-16.87,5170.5436267
83,-16.9,5281.067065
84,-16.95,5393.85291352
85,-17.04,5508.77058643
86,-17.06,5627.21660956
87,-17.08,5748.52097412
88,-17.08,5873.06278872
89,-17.08,6000.75789334
90,-17.11,6131.41268045
91,-17.11,6265.91897749
92,-17.11,6404.1108335
93,-17.21,6544.97604367
94,-17.23,6690.93079605
95,-17.28,6840.86856313
96,-17.28,6996.07118475
97,-17.29,7156.07406446
98,-17.32,7321.07002006
99,-17.34,7491.79940476
100,-17.37,7668.39635205
101,-17.39,7851.5592005
102,-17.39,8041.90961051
103,-17.47,8238.65060251
104,-17.49,8444.2700691
105,-17.53,8658.37366009
106,-17.55,8882.29453109
107,-17.55,9116.92693952
108,-17.57,9362.72731862
109,-17.58,9621.29291102
110,-17.72,9891.9518946
111,-17.81,10178.87456
112,-17.85,10484.0244304
113,-17.99,10807.2881454
114,-18.01,11154.9360127
115,-18.03,11528.3804473
116,-18.04,11931.9234247
117,-18.08,12370.105888
118,-18.13,12849.9621234
119,-18.29,13378.5136885
120,-18.31,13972.2059847
121,-18.37,14644.5749436
122,-18.39,15421.6834415
123,-18.56,16337.9189087
124,-18.63,17461.9501635
125,-18.9,18907.0401906
126,-18.96,20950.6908891
127,-19.29,24438.5089096
128,-20.18,
