,T,inp_air
0,-12.72,580.173758112
1,-16.46,957.083077599
2,-18.77,1095.44253111
3,-19.32,1585.41033402
4,-19.98,1972.77370229
5,-20.34,2479.68109433
6,-20.43,3149.68261554
7,-20.51,3830.96013606
8,-20.62,4496.16040212
9,-20.64,5229.89501031
10,-20.97,5735.60925852
11,-21.12,6373.79656183
12,-21.46,6836.67584079
13,-21.49,7583.57132634
14,-21.54,8317.83580987
15,-21.66,8987.63109238
16,-21.8,9638.10499665
17,-21.83,10411.2080848
18,-22.03,10998.1956157
19,-22.26,11538.1186444
20,-22.33,12277.3905609
21,-22.37,13062.7391173
22,-22.63,13547.288358
23,-22.68,14328.953479
24,-22.77,15057.188255
25,-22.95,15644.9223211
26,-23.05,16360.547915
27,-23.24,16918.3704023
28,-23.24,17819.8814752
29,-23.28,18657.94607
30,-23.46,19236.0855917
31,-23.52,20048.3256223
32,-23.54,20950.1739915
33,-23.61,21759.4418926
34,-23.99,21876.256364
35,-24.02,22779.5977243
36,-24.1,23570.6529453
37,-24.12,24519.49123
38,-24.14,25480.0731064
39,-24.17,26427.2703023
40,-24.17,27463.1713513
41,-24.22,28383.6005821
42,-24.28,29288.5920468
43,-24.31,30284.6525536
44,-24.39,31157.2532316
45,-24.39,32261.7589426
46,-24.41,33325.7334882
47,-24.53,34119.6071583
48,-24.53,35269.8179744
49,-24.56,36348.6081967
50,-24.58,37472.5816814
51,-24.58,38672.443563
52,-24.7,39527.5248871
53,-24.7,40762.9395138
54,-24.76,41829.79979
55,-24.89,42683.277154
56,-24.89,43976.1551769
57,-24.95,45088.9466905
58,-24.95,46423.1985481
59,-24.98,47677.2792621
60,-25.07,48743.3207627
61,-25.07,50144.8489145
62,-25.1,51463.9491175
63,-25.1,52914.2284909
64,-25.1,54390.1778543
65,-25.13,55785.1745813
66,-25.26,56835.5233665
67,-25.29,58280.2844179
68,-25.34,59675.9960809
69,-25.36,61217.1898253
70,-25.39,62750.355841
71,-25.41,64355.5535413
72,-25.42,66035.0157712
73,-25.58,67131.2413857
74,-25.66,68580.3314763
75,-25.66,70413.1296951
76,-25.66,72287.1178193
77,-25.7,74028.2720776
78,-25.7,75990.4558336
79,-25.74,77821.4437138
80,-25.74,79880.5350485
81,-25.76,81901.5466042
82,-25.81,83839.2035857
83,-25.81,86063.0410301
84,-25.84,88208.7695801
85,-25.93,90131.6095069
86,-25.93,92548.8501197
87,-25.96,94893.0452335
88,-26.0,97262.9773956
89,-26.09,99458.764881
90,-26.09,102193.074173
91,-26.09,105020.08938
92,-26.12,107792.4524
93,-26.15,110669.567801
94,-26.18,113659.452578
95,-26.21,116771.069314
96,-26.28,119797.493268
97,-26.35,122959.129274
98,-26.39,126440.119301
99,-26.41,130205.245765
100,-26.44,134101.057097
101,-26.68,136926.73506
102,-26.68,141435.344524
103,-26.77,145624.042568
104,-26.97,149326.355227
105,-26.97,154708.155518
106,-27.07,159747.233183
107,-27.09,165781.060248
108,-27.1,172382.361678
109,-27.2,178889.59485
110,-27.2,186837.411818
111,-27.23,195393.41753
112,-27.43,203617.118779
113,-27.48,214334.241084
114,-27.57,226417.130218
115,-27.8,239530.919711
116,-27.94,256778.766245
117,-28.37,276133.76746
118,-28.53,308028.065016
119,-28.66,364187.506022
120,-29.44,
