,T,inp_air
0,-14.24,64.3169069587
1,-14.58,152.133964348
2,-14.67,243.144097946
3,-14.82,334.185127879
4,-16.6,398.494042198
5,-16.63,492.122689729
6,-16.74,584.693695614
7,-16.92,676.244404692
8,-17.04,769.908223193
9,-17.11,865.623989127
10,-17.27,959.63313201
11,-17.49,1052.42398186
12,-17.64,1147.85789671
13,-17.69,1247.28801607
14,-17.78,1346.24849253
15,-18.16,1435.26701949
16,-18.71,1515.31419391
17,-18.71,1620.14079782
18,-18.92,1715.53413423
19,-19.07,1814.40714597
20,-19.19,1915.57282796
21,-19.25,2021.0054188
22,-19.39,2122.60957929
23,-19.39,2233.63292719
24,-19.41,2344.53530384
25,-19.64,2443.03851242
26,-19.77,2548.54609675
27,-19.82,2660.58933823
28,-19.88,2773.03803127
29,-19.9,2889.57337284
30,-19.91,3008.08513101
31,-19.91,3128.60797675
32,-19.95,3247.46427941
33,-19.99,3367.6087553
34,-19.99,3492.12691349
35,-20.12,3607.93815207
36,-20.14,3733.67418271
37,-20.18,3859.23445775
38,-20.2,3987.87962548
39,-20.23,4117.21070132
40,-20.32,4243.00073287
41,-20.32,4377.95777894
42,-20.32,4514.55070782
43,-20.34,4651.10374236
44,-20.34,4791.0903706
45,-20.4,4927.61499049
46,-20.46,5065.83075345
47,-20.48,5209.43129906
48,-20.5,5354.91951793
49,-20.64,5491.0747294
50,-20.78,5628.55277501
51,-20.82,5777.80392984
52,-20.84,5931.18167942
53,-20.89,6083.58362412
54,-20.93,6239.19406667
55,-20.95,6399.1979478
56,-20.95,6563.70858716
57,-21.07,6717.48856066
58,-21.07,6886.94707217
59,-21.18,7046.40961103
60,-21.23,7215.23556657
61,-21.27,7387.91320588
62,-21.34,7559.67156041
63,-21.44,7730.31767892
64,-21.48,7911.41776566
65,-21.51,8096.89039837
66,-21.51,8289.52378419
67,-21.51,8485.50748329
68,-21.56,8678.32630047
69,-21.63,8871.88161498
70,-21.68,9071.72587177
71,-21.71,9278.1459534
72,-21.73,9489.95869166
73,-21.77,9703.04053815
74,-21.81,9920.37208678
75,-21.83,10145.0902523
76,-21.83,10377.4444358
77,-21.91,10602.7087916
78,-21.91,10845.057458
79,-21.98,11081.9605084
80,-22.08,11319.3320208
81,-22.1,11575.1523099
82,-22.26,11813.5018301
83,-22.3,12078.1031878
84,-22.35,12347.5304028
85,-22.35,12632.8311771
86,-22.37,12921.9668794
87,-22.49,13200.4756219
88,-22.53,13501.6770827
89,-22.53,13819.1284598
90,-22.55,14141.9656632
91,-22.58,14472.5946655
92,-22.64,14807.6089945
93,-22.64,15165.3780485
94,-22.64,15534.8793042
95,-22.64,15916.9083862
96,-22.69,16302.3608408
97,-22.78,16693.7473636
98,-22.81,17112.7560549
99,-22.87,17541.9618804
100,-22.92,17991.1257892
101,-22.95,18464.1157654
102,-23.02,18949.3397661
103,-23.07,19462.1083706
104,-23.11,20002.5994464
105,-23.14,20573.5373754
106,-23.2,21168.4267758
107,-23.31,21785.3403724
108,-23.38,22450.6299058
109,-23.52,23140.7612569
110,-23.52,23918.2266547
111,-23.87,24651.8237114
112,-24.07,25489.763325
113,-24.1,26460.2627261
114,-24.17,27510.5024863
115,-24.17,28697.7868165
116,-24.17,30025.057775
117,-24.46,31424.5599833
118,-24.56,33122.7258869
119,-24.66,35136.9092615
120,-24.75,37613.872838
121,-24.86,40808.0594048
122,-25.13,45251.862273
123,-25.7,52754.4487926
124,-28.42,
