,T,inp_air
0,-11.88,203.989031116
1,-15.28,391.638185288
2,-15.88,604.974297921
3,-16.03,830.207383079
4,-16.1,1060.91433712
5,-16.7,1281.60470585
6,-17.13,1508.46566804
7,-17.62,1734.86877568
8,-17.95,1969.55336857
9,-17.98,2221.42676198
10,-18.07,2475.12811749
11,-18.19,2732.0394461
12,-18.42,2987.91567434
13,-18.46,3258.66331391
14,-18.59,3529.73479586
15,-18.79,3801.8434576
16,-18.83,4089.16375184
17,-19.02,4372.82310313
18,-19.28,4656.91710956
19,-19.37,4959.1204745
20,-19.48,5266.47649677
21,-19.54,5584.80622671
22,-19.67,5904.8090513
23,-19.72,6239.23157682
24,-19.72,6586.26944222
25,-19.78,6936.88883447
26,-19.93,7288.43849749
27,-19.99,7657.62654588
28,-20.05,8036.96123387
29,-20.14,8424.03787366
30,-20.22,8823.32951998
31,-20.35,9229.20544602
32,-20.42,9654.03915972
33,-20.47,10094.6679564
34,-20.53,10548.678993
35,-20.53,11025.1422301
36,-20.61,11508.9897539
37,-20.7,12009.2798896
38,-20.72,12537.2390533
39,-20.79,13079.7241025
40,-20.81,13650.9127299
41,-20.81,14249.0591466
42,-20.88,14864.7739422
43,-20.97,15506.6372907
44,-20.97,16192.349844
45,-21.07,16899.507129
46,-21.17,17645.1440879
47,-21.21,18442.6244519
48,-21.25,19288.7348552
49,-21.29,20189.7660537
50,-21.32,21154.8461093
51,-21.37,22188.6591911
52,-21.38,23312.0433314
53,-21.53,24510.8135902
54,-21.53,25850.333304
55,-21.71,27300.383514
56,-22.07,28887.9636348
57,-22.18,30742.1225703
58,-22.25,32893.7917194
59,-22.56,35385.8905694
60,-22.59,38514.7896476
61,-22.79,42507.695486
62,-23.02,48143.7409272
63,-23.08,57868.2775677
64,-23.15,
