,T,inp_air
0,-12.84,29.6483707654
1,-12.91,63.9695743825
2,-13.7,97.2868816391
3,-13.83,132.200685756
4,-14.15,167.027376679
5,-14.32,202.586258536
6,-14.36,238.90124034
7,-14.72,274.688168529
8,-14.86,311.522525807
9,-14.88,349.189549917
10,-14.88,387.380519955
11,-14.9,425.973061187
12,-14.92,465.045371137
13,-14.92,504.67754717
14,-15.1,544.184352927
15,-15.14,584.693605458
16,-15.29,625.314417142
17,-15.31,666.968610548
18,-15.52,708.409369885
19,-15.54,751.192414341
20,-15.92,792.92378879
21,-15.94,836.892806478
22,-15.97,881.436740467
23,-15.99,926.672124625
24,-16.1,972.108790365
25,-16.13,1018.63028691
26,-16.15,1065.90500078
27,-16.27,1113.35996952
28,-16.27,1162.2092651
29,-16.35,1211.37962738
30,-16.35,1261.79216608
31,-16.36,1312.96750841
32,-16.45,1364.52473949
33,-16.58,1416.69468791
34,-16.61,1470.36805838
35,-16.63,1525.03915201
36,-16.71,1580.29490671
37,-16.74,1636.87079363
38,-16.78,1694.41998764
39,-16.78,1753.31359863
40,-16.85,1812.8582328
41,-16.87,1873.90238883
42,-16.9,1936.08789882
43,-16.9,1999.74090112
44,-16.95,2064.35647529
45,-16.97,2130.54803467
46,-16.99,2198.1651965
47,-17.02,2267.19836383
48,-17.08,2337.56458802
49,-17.21,2409.01271058
50,-17.21,2483.15063587
51,-17.28,2558.52511616
52,-17.36,2635.67858771
53,-17.38,2715.28339234
54,-17.44,2796.62429743
55,-17.48,2880.3086376
56,-17.51,2966.376982
57,-17.59,3054.4334325
58,-17.74,3144.39266646
59,-17.74,3238.45088857
60,-17.83,3334.54383131
61,-17.85,3434.38007274
62,-17.94,3536.79677262
63,-17.97,3643.30617199
64,-18.02,3753.35360018
65,-18.02,3867.93773496
66,-18.05,3986.53308054
67,-18.16,4108.92652128
68,-18.21,4236.99301077
69,-18.21,4371.08628807
70,-18.24,4510.80513866
71,-18.24,4657.37651722
72,-18.24,4811.10049012
73,-18.26,4972.48504915
74,-18.31,5142.26315605
75,-18.31,5322.35311086
76,-18.38,5512.5451826
77,-18.45,5715.04783864
78,-18.47,5932.1809028
79,-18.59,6164.17299587
80,-18.66,6415.45865188
81,-18.68,6689.34366575
82,-18.79,6988.1570877
83,-18.88,7318.86107093
84,-18.98,7688.51635737
85,-19.07,8107.88933866
86,-19.16,8592.18328314
87,-19.19,9166.15294205
88,-19.22,9868.73595978
89,-19.22,10775.1405981
90,-19.65,12045.1767001
91,-19.76,14226.982052
92,-20.62,
