,T,inp_air
0,-12.53,72.0294788486
1,-13.67,150.539080126
2,-14.31,231.187146049
3,-14.55,315.202089951
4,-14.65,401.141818051
5,-14.77,487.674459954
6,-14.77,576.154603995
7,-14.86,664.61154778
8,-15.07,752.658072438
9,-15.1,843.408208643
10,-15.16,934.725383953
11,-15.21,1027.05510997
12,-15.31,1119.73541782
13,-15.41,1213.32635886
14,-15.51,1307.84593038
15,-15.79,1400.91601598
16,-15.93,1496.68624327
17,-15.95,1595.17544613
18,-16.05,1693.52759876
19,-16.12,1793.37185421
20,-16.12,1895.39019541
21,-16.17,1997.75393861
22,-16.22,2101.25589916
23,-16.27,2205.92186235
24,-16.36,2311.10726881
25,-16.52,2416.23854656
26,-16.57,2524.51259199
27,-16.67,2633.12529298
28,-16.71,2744.15623249
29,-16.71,2857.30410641
30,-16.79,2970.28318264
31,-16.89,3084.23136222
32,-16.89,3201.64907778
33,-16.92,3319.94500964
34,-16.92,3440.39294283
35,-17.04,3559.87690855
36,-17.37,3675.93885918
37,-17.37,3801.23718754
38,-17.39,3927.75138873
39,-17.39,4056.50633083
40,-17.46,4185.32275652
41,-17.48,4317.2253428
42,-17.48,4451.53824
43,-17.54,4586.27456789
44,-17.58,4723.52361294
45,-17.58,4863.89596203
46,-17.63,5005.0855193
47,-17.63,5149.81067113
48,-17.77,5292.97218186
49,-17.84,5440.3330678
50,-17.91,5590.07143935
51,-18.03,5740.73386104
52,-18.06,5896.68849839
53,-18.06,6056.25794484
54,-18.06,6218.60265082
55,-18.1,6382.56121993
56,-18.16,6548.83252295
57,-18.16,6720.11412315
58,-18.16,6894.59743331
59,-18.24,7069.77330415
60,-18.48,7242.66699023
61,-18.5,7426.78578673
62,-18.55,7613.5200962
63,-18.55,7805.99259156
64,-18.63,7999.48762242
65,-18.69,8197.9085266
66,-18.69,8403.0725063
67,-18.71,8612.05911899
68,-18.71,8826.65673801
69,-18.74,9045.11116311
70,-18.82,9266.80642258
71,-18.84,9496.47559111
72,-18.84,9732.80682951
73,-18.86,9974.44509414
74,-18.93,10220.4217963
75,-18.93,10476.1798581
76,-18.96,10737.8514723
77,-19.03,11005.3687285
78,-19.03,11284.0337597
79,-19.06,11569.9350028
80,-19.1,11864.4872661
81,-19.12,12169.6524675
82,-19.12,12486.1093937
83,-19.16,12811.8239547
84,-19.18,13150.3665744
85,-19.18,13502.6568855
86,-19.18,13868.7659782
87,-19.24,14246.9786949
88,-19.24,14644.2550463
89,-19.35,15053.8173638
90,-19.35,15488.0624182
91,-19.36,15942.998907
92,-19.42,16418.7655311
93,-19.6,16913.9501347
94,-19.6,17447.5002247
95,-19.64,18011.2070589
96,-19.74,18608.0089723
97,-19.89,19243.1793508
98,-19.89,19934.9465387
99,-19.98,20676.5671996
100,-20.32,21466.1276592
101,-20.34,22354.3872642
102,-20.38,23335.0101483
103,-20.71,24409.1008849
104,-20.71,25655.5610605
105,-20.99,27070.4652245
106,-21.03,28768.7256771
107,-21.51,30803.6875304
108,-21.75,33461.7731343
109,-21.75,37246.6217747
110,-21.82,43708.4417091
111,-22.13,
