,Date,start,end,INP,T,,,,,,,,,,,,,,
88,1.61101E+13,1110,1410,0.964797098,-24,,,,,,,,,,,,,,
89,1.61102E+13,1029,1529,6.60333823,-24,,,,,,,,,,,,,,
90,1.60926E+13,1200,1500,7.172920087,-23,,,,,,,,,,,,,,
91,1.60926E+13,1211,1512,5.683645353,-23,,,,,,,,,,,,,,
92,1.60926E+13,1152,1452,,-23,,,,,,,,,,,,,,
93,1.60927E+13,1057,1426,,-23,,,,,,,,,,,,,,
94,1.60928E+13,1235,1535,4.754510271,-23,,,,,,,,,,,,,,
95,1.60928E+13,1334,1540,,-23,,,,,,,,,,,,,,
96,1.6093E+13,1421,1621,,-23,,,,,,,,,,,,,,
97,1.6093E+13,1120,1355,,-23,,,,,,,,,,,,,,
98,1.61003E+13,1335,1636,,-23,,,,,,,,,,,,,,
99,1.61003E+13,1026,1327,1.023921302,-23,,,,,,,,,,,,,,
100,1.61003E+13,1347,1623,,-23,,,,,,,,,,,,,,
101,1.61003E+13,1032,1335,3.093952017,-23,,,,,,,,,,,,,,
102,1.61004E+13,1033,1320,7.376016933,-23,,,,,,,,,,,,,,
103,1.61005E+13,1116,1559,,-23,,,,,,,,,,,,,,
104,1.61005E+13,1339,1439,,-23,,,,,,,,,,,,,,
105,1.61006E+13,1424,1654,7.46750086,-23,,,,,,,,,,,,,,
106,1.61006E+13,1140,1410,1.185580113,-23,,,,,,,,,,,,,,
107,1.61006E+13,1424,1654,,-23,,,,,,,,,,,,,,
108,1.61006E+13,1139,1413,,-23,,,,,,,,,,,,,,
109,1.61006E+13,1420,1658,,-23,,,,,,,,,,,,,,
110,1.61007E+13,1302,1502,4.063354753,-23,,,,,,,,,,,,,,
111,1.61007E+13,1121,1306,,-23,,,,,,,,,,,,,,
112,1.61007E+13,1041,1241,20.47315828,-23,,,,,,,,,,,,,,
113,1.6101E+13,1239,1339,15.2715122,-23,,,,,,,,,,,,,,
114,1.6101E+13,1350,1636,8.736287413,-23,,,,,,,,,,,,,,
115,1.6101E+13,1129,1636,4.067981904,-23,,,,,,,,,,,,,,
116,1.61011E+13,1040,1403,5.48654406,-23,,,,,,,,,,,,,,
117,1.61011E+13,1040,1403,1.297923337,-23,,,,,,,,,,,,,,
118,1.61011E+13,1410,1624,,-23,,,,,,,,,,,,,,
119,1.61011E+13,1410,1624,4.286715154,-23,,,,,,,,,,,,,,
120,1.61013E+13,1039,1442,13.07876307,-23,,,,,,,,,,,,,,
121,1.61013E+13,1041,1442,,-23,,,,,,,,,,,,,,
122,1.61017E+13,1146,1449,4.823007576,-23,,,,,,,,,,,,,,
123,1.61018E+13,1415,1610,6.216686182,-23,,,,,,,,,,,,,,
124,1.61018E+13,1045,1352,4.248062008,-23,,,,,,,,,,,,,,
125,1.61018E+13,1400,1615,5.922332191,-23,,,,,,,,,,,,,,
126,1.6102E+13,1145,1335,1.60086078,-23,,,,,,,,,,,,,,
127,1.6102E+13,1345,1600,1.638253549,-23,,,,,,,,,,,,,,
128,1.61021E+13,1442,1636,20.52203427,-23,,,,,,,,,,,,,,
129,1.61021E+13,1142,1636,,-23,,,,,,,,,,,,,,
130,1.61024E+13,1205,1537,11.40769937,-23,,,,,,,,,,,,,,
131,1.61027E+13,1149,1558,14.04473941,-23,,,,,,,,,,,,,,
132,1.61031E+13,1017,1730,5.858873452,-23,,,,,,,,,,,,,,
133,1.61101E+13,1110,1410,0.378739085,-23,,,,,,,,,,,,,,
134,1.61102E+13,1029,1529,3.060724648,-23,,,,,,,,,,,,,,
135,1.60926E+13,1200,1500,4.516671265,-22,,,,,,,,,,,,,,
136,1.60926E+13,1211,1512,2.845778738,-22,,,,,,,,,,,,,,
137,1.60926E+13,1152,1452,3.114980699,-22,,,,,,,,,,,,,,
138,1.60927E+13,1057,1426,1.28688843,-22,,,,,,,,,,,,,,
139,1.60928E+13,1235,1535,1.709262119,-22,,,,,,,,,,,,,,
140,1.60928E+13,1334,1540,,-22,,,,,,,,,,,,,,
141,1.6093E+13,1421,1621,5.84,-22,,,,,,,,,,,,,,
142,1.6093E+13,1120,1355,3.812789978,-22,,,,,,,,,,,,,,
143,1.61003E+13,1335,1636,,-22,,,,,,,,,,,,,,
144,1.61003E+13,1026,1327,0.333783268,-22,,,,,,,,,,,,,,
145,1.61003E+13,1347,1623,,-22,,,,,,,,,,,,,,
146,1.61003E+13,1032,1335,1.554112601,-22,,,,,,,,,,,,,,
147,1.61004E+13,1033,1320,4.929237327,-22,,,,,,,,,,,,,,
148,1.61005E+13,1116,1559,,-22,,,,,,,,,,,,,,
149,1.61005E+13,1339,1439,45.87422014,-22,,,,,,,,,,,,,,
150,1.61006E+13,1424,1654,3.186536433,-22,,,,,,,,,,,,,,
151,1.61006E+13,1140,1410,0.644694486,-22,,,,,,,,,,,,,,
152,1.61006E+13,1424,1654,,-22,,,,,,,,,,,,,,
153,1.61006E+13,1139,1413,,-22,,,,,,,,,,,,,,
154,1.61006E+13,1420,1658,,-22,,,,,,,,,,,,,,
155,1.61007E+13,1302,1502,3.087697155,-22,,,,,,,,,,,,,,
156,1.61007E+13,1121,1306,,-22,,,,,,,,,,,,,,
157,1.61007E+13,1041,1241,12.90903654,-22,,,,,,,,,,,,,,
158,1.6101E+13,1239,1339,7.075549641,-22,,,,,,,,,,,,,,
159,1.6101E+13,1350,1636,4.431968644,-22,,,,,,,,,,,,,,
160,1.6101E+13,1129,1636,2.402602421,-22,,,,,,,,,,,,,,
161,1.61011E+13,1040,1403,3.327262774,-22,,,,,,,,,,,,,,
162,1.61011E+13,1040,1403,1.019611399,-22,,,,,,,,,,,,,,
163,1.61011E+13,1410,1624,26.08729357,-22,,,,,,,,,,,,,,
164,1.61011E+13,1410,1624,1.967198315,-22,,,,,,,,,,,,,,
