x,Curve1
-18.8473,22.8837
-18.7872,6.61071
-16.1276,4.34304
-12.3793,1.2438
-11.5023,0.175461
-11.4506,0.297089
-8.73316,0.091955
-7.97188,0.0606819
-7.42791,0.0431962
-6.88305,0.025476
-5.89968,0.00564328
