x,Curve1
-36.915,159.46
-34.051,72.33
-31.8719,36.72
-30.2086,17.814
-28.6288,10.124
-26.7086,4.694
-25.3461,2.2255
-24.3265,1.079
-23.4377,0.4566
-22.1629,0.18895
-21.4006,0.09369
-20.2912,0.05961
-19.1859,0.0289
-18.0375,0.014013
-16.9325,0.006642
-15.4418,0.00301
-13.8693,0.0010394
-12.8533,0.0003928
-12.0074,0.00016621
-11.6772,6.719e-05
-11.0049,2.482e-05
-10.4175,9.81e-06
-9.8298,3.967e-06
-9.3266,1.7558e-06
-8.905,1.0433e-06
