Site,Minutes of Data Used (Max 1440),Last Minute of Data Series, , , , , , , , , , , , , , , ,
Bramham,1440,06-Sep-2016 08:50:00, , , , , , , , , , , , , , , ,
Daily Summary Data, , , , , , , , , , , , , , , , , ,
Date,Time,Dry Bulb Max 09-21,Dry Bulb Min 09-21,Rainfall Total 09-21,Dry Bulb Max 21-09,Dry Bulb Min 21-09,Rainfall Total 21-09,Dry Bulb Max 09-09,Dry Bulb Min 09-09,Rainfall Total 09-09,Grass Min 18-09,Concrete Min 18-09,10cm Soil,30cm Soil,100cm Soil,Radiation Total Previous Day 00-24,Sunshine Total Previous Day 00-24,
6/9/2016,900,21.58,16.54,0.00,21.87,15.57,0.0,21.87,15.57,0.0,13.47,14.71,18.04, , ,10948.8, ,
Hourly Summary Data, , , , , , , , , , , , , , , , , ,
Date,Time,Battery Voltage,Logger Temperature,Dry Bulb Temperature,Dew Point Temperature,Grass Temperature,Concrete Temperature,10cm Soil Temperature,30cm Soil Temperature,100cm Soil Temperature,Rainfall Total since 0900,Radiation Total since 0900,Sunshine total since 0900,Humidity, , , ,
5/9/2016,1000, , ,16.98,13.96,19.89,21.38,16.36, , ,0.0,1035.3, ,82, , , ,
5/9/2016,1100, , ,18.10,14.84,23.95,25.35,16.90, , ,0.0,2144.9, ,81.3, , , ,
5/9/2016,1200, , ,18.64,15.18,25.82,28.16,17.75, , ,0.0,3730.2, ,80.3, , , ,
5/9/2016,1300, , ,19.00,15.23,24.30,27.14,18.51, , ,0.0,5101.3, ,78.8, , , ,
5/9/2016,1400, , ,19.61,16.27,23.00,25.94,19.00, , ,0.0,6284.9, ,81.0, , , ,
5/9/2016,1500, , ,20.53,16.93,22.99,26.26,19.50, , ,0.0,7572.2, ,79.8, , , ,
5/9/2016,1600, , ,20.57,17.04,22.65,24.78,19.41, , ,0.0,8015.1, ,80.2, , , ,
5/9/2016,1700, , ,21.39,17.18,28.09,26.99,19.64, , ,0.0,8958.5, ,76.9, , , ,
5/9/2016,1800, , ,20.97,17.05,20.60,22.99,19.75, , ,0.0,9516.3, ,78.3, , , ,
5/9/2016,1900, , ,18.52,16.47,14.82,19.14,19.21, , ,0.0,9572.7, ,87.8, , , ,
5/9/2016,2000, , ,17.81,16.77,16.31,18.03,18.52, , ,0.0,9567.3, ,93.6, , , ,
5/9/2016,2100, , ,17.98,17.12,16.31,17.44,18.02, , ,0.0,9562.1, ,94.7, , , ,
5/9/2016,2200, , ,18.18,17.31,16.52,16.90,17.61, , ,0.0,9556.7, ,94.7, , , ,
5/9/2016,2300, , ,17.08,16.46,15.59,16.19,17.32, , ,0.0,9551.1, ,96.1, , , ,
6/9/2016,0000, , ,16.89,16.40,14.72,15.58,17.01, , ,0.0,9545.7, ,97.0, , , ,
6/9/2016,0100, , ,16.82,16.39,14.99,15.37,16.74, , ,0.0,9540.8, ,97.3, , , ,
6/9/2016,0200, , ,15.95,15.60,13.69,14.76,16.49, , ,0.0,9535.8, ,97.8, , , ,
6/9/2016,0300, , ,16.73,16.54,16.37,16.27,16.33, , ,0.0,9534.1, ,98.8, , , ,
6/9/2016,0400, , ,16.82,16.56,16.57,16.75,16.44, , ,0.0,9533.1, ,98.4, , , ,
6/9/2016,0500, , ,16.89,16.67,16.64,16.90,16.53, , ,0.0,9531.7, ,98.6, , , ,
6/9/2016,0600, , ,18.52,18.04,18.02,17.76,16.66, , ,0.0,9546.3, ,97.0, , , ,
6/9/2016,0700, , ,19.76,18.21,18.98,18.96,16.88, , ,0.0,9669.4, ,90.8, , , ,
6/9/2016,0800, , ,21.20,18.14,22.65,23.12,17.30, , ,0.0,10272.5, ,82.7, , , ,
6/9/2016,0900, , ,21.87,18.27,26.18,26.53,18.04, , ,0.0,11143.5, ,80.0, , , ,
