Site,Minutes of Data Used (Max 1440),Last Minute of Data Series, , , , , , , , , , , , , , , ,
Bramham,1440,06-Oct-2016 08:50:00, , , , , , , , , , , , , , , ,
Daily Summary Data, , , , , , , , , , , , , , , , , ,
Date,Time,Dry Bulb Max 09-21,Dry Bulb Min 09-21,Rainfall Total 09-21,Dry Bulb Max 21-09,Dry Bulb Min 21-09,Rainfall Total 21-09,Dry Bulb Max 09-09,Dry Bulb Min 09-09,Rainfall Total 09-09,Grass Min 18-09,Concrete Min 18-09,10cm Soil,30cm Soil,100cm Soil,Radiation Total Previous Day 00-24,Sunshine Total Previous Day 00-24,
6/10/2016,900,15.41,7.63,0.00,11.60,6.72,0.0,15.41,6.72,0.0,3.70,6.03,9.95, , ,8407.5, ,
Hourly Summary Data, , , , , , , , , , , , , , , , , ,
Date,Time,Battery Voltage,Logger Temperature,Dry Bulb Temperature,Dew Point Temperature,Grass Temperature,Concrete Temperature,10cm Soil Temperature,30cm Soil Temperature,100cm Soil Temperature,Rainfall Total since 0900,Radiation Total since 0900,Sunshine total since 0900,Humidity, , , ,
5/10/2016,1000, , ,14.40,9.64,16.23,16.51,12.58, , ,0.0,995.9, ,73, , , ,
5/10/2016,1100, , ,14.53,8.43,16.90,18.44,13.03, , ,0.0,2007.9, ,66.8, , , ,
5/10/2016,1200, , ,14.78,6.70,18.67,21.82,13.56, , ,0.0,3464.8, ,58.4, , , ,
5/10/2016,1300, , ,14.10,6.10,17.46,20.13,13.98, , ,0.0,4582.7, ,58.5, , , ,
5/10/2016,1400, , ,13.61,6.20,15.81,18.62,14.38, , ,0.0,5843.8, ,60.8, , , ,
5/10/2016,1500, , ,13.12,5.80,15.23,17.45,14.41, , ,0.0,6820.4, ,61.1, , , ,
5/10/2016,1600, , ,12.68,5.87,14.03,15.09,14.24, , ,0.0,7527.3, ,63.2, , , ,
5/10/2016,1700, , ,12.07,5.65,11.77,13.42,13.74, , ,0.0,7802.0, ,64.8, , , ,
5/10/2016,1800, , ,11.36,6.25,9.97,11.60,13.24, , ,0.0,7835.9, ,70.8, , , ,
5/10/2016,1900, , ,9.21,6.24,6.33,9.69,12.69, , ,0.0,7828.1, ,81.6, , , ,
5/10/2016,2000, , ,8.09,6.26,6.02,8.58,12.18, , ,0.0,7819.7, ,88.2, , , ,
5/10/2016,2100, , ,8.12,6.91,6.30,8.12,11.69, , ,0.0,7812.0, ,92.1, , , ,
5/10/2016,2200, , ,8.64,6.83,5.94,7.50,11.28, , ,0.0,7804.1, ,88.3, , , ,
5/10/2016,2300, , ,8.95,7.22,7.90,8.99,10.99, , ,0.0,7799.0, ,88.9, , , ,
6/10/2016,0000, , ,9.45,7.11,8.19,8.96,10.90, , ,0.0,7794.0, ,85.3, , , ,
6/10/2016,0100, , ,6.72,5.31,4.22,6.72,10.68, , ,0.0,7786.4, ,90.7, , , ,
6/10/2016,0200, , ,7.58,6.36,5.85,7.39,10.46, , ,0.0,7782.1, ,91.9, , , ,
6/10/2016,0300, , ,7.84,6.15,5.31,6.77,10.35, , ,0.0,7777.5, ,89.0, , , ,
6/10/2016,0400, , ,7.76,6.26,6.33,7.13,10.09, , ,0.0,7770.9, ,90.2, , , ,
6/10/2016,0500, , ,8.47,6.74,6.48,7.32,9.99, , ,0.0,7767.1, ,88.8, , , ,
6/10/2016,0600, , ,7.70,6.41,5.34,6.12,9.80, , ,0.0,7759.1, ,91.5, , , ,
6/10/2016,0700, , ,7.72,6.83,6.80,6.27,9.59, , ,0.0,7792.4, ,94.1, , , ,
6/10/2016,0800, , ,9.64,8.13,11.79,10.97,9.50, , ,0.0,8089.0, ,90.3, , , ,
6/10/2016,0900, , ,11.60,9.06,16.87,13.65,9.95, , ,0.0,8885.7, ,84.4, , , ,
