Site,Minutes of Data Used (Max 1440),Last Minute of Data Series, , , , , , , , , , , , , , , ,
Bramham,1440,07-Sep-2016 08:50:00, , , , , , , , , , , , , , , ,
Daily Summary Data, , , , , , , , , , , , , , , , , ,
Date,Time,Dry Bulb Max 09-21,Dry Bulb Min 09-21,Rainfall Total 09-21,Dry Bulb Max 21-09,Dry Bulb Min 21-09,Rainfall Total 21-09,Dry Bulb Max 09-09,Dry Bulb Min 09-09,Rainfall Total 09-09,Grass Min 18-09,Concrete Min 18-09,10cm Soil,30cm Soil,100cm Soil,Radiation Total Previous Day 00-24,Sunshine Total Previous Day 00-24,
7/9/2016,900,25.53,19.86,0.00,20.31,18.08,0.0,25.53,18.08,0.0,17.34,18.04,18.59, , ,10307.1, ,
Hourly Summary Data, , , , , , , , , , , , , , , , , ,
Date,Time,Battery Voltage,Logger Temperature,Dry Bulb Temperature,Dew Point Temperature,Grass Temperature,Concrete Temperature,10cm Soil Temperature,30cm Soil Temperature,100cm Soil Temperature,Rainfall Total since 0900,Radiation Total since 0900,Sunshine total since 0900,Humidity, , , ,
6/9/2016,1000, , ,23.11,17.47,26.42,27.16,18.94, , ,0.0,1742.6, ,71, , , ,
6/9/2016,1100, , ,23.39,16.84,25.80,27.01,19.56, , ,0.0,2890.2, ,66.7, , , ,
6/9/2016,1200, , ,24.11,17.43,28.49,30.29,20.31, , ,0.0,4457.3, ,66.2, , , ,
6/9/2016,1300, , ,24.22,16.85,28.85,31.50,20.82, , ,0.0,5832.4, ,63.5, , , ,
6/9/2016,1400, , ,24.10,17.38,26.81,29.19,21.24, , ,0.0,6755.7, ,66.1, , , ,
6/9/2016,1500, , ,23.84,17.03,25.56,28.65,21.60, , ,0.0,7899.7, ,65.7, , , ,
6/9/2016,1600, , ,23.18,17.02,23.98,26.41,21.45, , ,0.0,8315.2, ,68.3, , , ,
6/9/2016,1700, , ,22.74,17.24,23.59,25.27,21.14, , ,0.0,8550.9, ,71.1, , , ,
6/9/2016,1800, , ,22.28,17.68,21.57,23.52,20.90, , ,0.0,8702.5, ,75.2, , , ,
6/9/2016,1900, , ,21.30,17.21,19.96,22.08,20.56, , ,0.0,8719.2, ,77.5, , , ,
6/9/2016,2000, , ,20.62,17.48,19.90,21.26,20.20, , ,0.0,8717.1, ,82.2, , , ,
6/9/2016,2100, , ,19.86,17.94,18.91,20.54,19.87, , ,0.0,8714.4, ,88.7, , , ,
6/9/2016,2200, , ,19.70,17.91,18.86,20.10,19.59, , ,0.0,8712.6, ,89.4, , , ,
6/9/2016,2300, , ,19.79,17.74,19.00,19.80,19.36, , ,0.0,8711.3, ,88.0, , , ,
7/9/2016,0000, , ,19.35,17.69,18.47,19.48,19.18, , ,0.0,8709.4, ,90.2, , , ,
7/9/2016,0100, , ,19.49,17.48,18.63,19.27,19.00, , ,0.0,8708.2, ,88.2, , , ,
7/9/2016,0200, , ,19.52,17.16,18.71,19.09,18.84, , ,0.0,8706.7, ,86.2, , , ,
7/9/2016,0300, , ,19.19,16.95,18.38,18.82,18.68, , ,0.0,8704.9, ,86.9, , , ,
7/9/2016,0400, , ,18.81,16.20,17.74,18.50,18.55, , ,0.0,8702.9, ,84.8, , , ,
7/9/2016,0500, , ,18.14,15.96,17.34,18.20,18.41, , ,0.0,8700.9, ,87.1, , , ,
7/9/2016,0600, , ,18.09,15.69,17.46,18.04,18.26, , ,0.0,8703.3, ,85.8, , , ,
7/9/2016,0700, , ,18.46,15.74,18.85,18.90,18.13, , ,0.0,8782.0, ,84.2, , , ,
7/9/2016,0800, , ,19.50,15.87,20.86,20.51,18.26, , ,0.0,9071.9, ,79.5, , , ,
7/9/2016,0900, , ,20.31,15.53,23.49,23.09,18.59, , ,0.0,9619.0, ,74.0, , , ,
