Site,Minutes of Data Used (Max 1440),Last Minute of Data Series, , , , , , , , , , , , , , , ,
Bramham,1440,21-Sep-2016 08:50:00, , , , , , , , , , , , , , , ,
Daily Summary Data, , , , , , , , , , , , , , , , , ,
Date,Time,Dry Bulb Max 09-21,Dry Bulb Min 09-21,Rainfall Total 09-21,Dry Bulb Max 21-09,Dry Bulb Min 21-09,Rainfall Total 21-09,Dry Bulb Max 09-09,Dry Bulb Min 09-09,Rainfall Total 09-09,Grass Min 18-09,Concrete Min 18-09,10cm Soil,30cm Soil,100cm Soil,Radiation Total Previous Day 00-24,Sunshine Total Previous Day 00-24,
21/9/2016,900,16.02,12.60,0.00,12.64,9.33,0.0,16.02,9.33,0.0,6.58,9.70,13.47, , ,6042.4, ,
Hourly Summary Data, , , , , , , , , , , , , , , , , ,
Date,Time,Battery Voltage,Logger Temperature,Dry Bulb Temperature,Dew Point Temperature,Grass Temperature,Concrete Temperature,10cm Soil Temperature,30cm Soil Temperature,100cm Soil Temperature,Rainfall Total since 0900,Radiation Total since 0900,Sunshine total since 0900,Humidity, , , ,
20/9/2016,1000, , ,14.90,11.73,20.11,20.51,14.86, , ,0.0,959.6, ,81, , , ,
20/9/2016,1100, , ,15.39,11.16,20.55,22.13,15.70, , ,0.0,2100.6, ,75.8, , , ,
20/9/2016,1200, , ,15.31,11.71,18.88,21.07,16.31, , ,0.0,2979.9, ,79.1, , , ,
20/9/2016,1300, , ,15.28,11.53,18.61,20.79,16.53, , ,0.0,3611.3, ,78.3, , , ,
20/9/2016,1400, , ,15.97,11.78,19.04,21.04,16.81, , ,0.0,4254.9, ,76.2, , , ,
20/9/2016,1500, , ,15.22,11.88,15.97,18.47,16.81, , ,0.0,4528.7, ,80.4, , , ,
20/9/2016,1600, , ,14.85,12.36,15.92,18.32,16.70, , ,0.0,4860.1, ,85.0, , , ,
20/9/2016,1700, , ,14.62,12.28,15.76,17.86,16.59, , ,0.0,5091.4, ,85.9, , , ,
20/9/2016,1800, , ,14.14,12.35,14.01,16.27,16.40, , ,0.0,5172.8, ,89.0, , , ,
20/9/2016,1900, , ,13.25,11.76,12.23,14.65,16.07, , ,0.0,5172.9, ,90.7, , , ,
20/9/2016,2000, , ,12.75,11.71,11.72,14.28,15.69, , ,0.0,5168.4, ,93.4, , , ,
20/9/2016,2100, , ,12.60,12.04,12.01,14.15,15.43, , ,0.0,5165.5, ,96.4, , , ,
20/9/2016,2200, , ,12.09,11.57,11.46,13.61,15.18, , ,0.0,5161.6, ,96.6, , , ,
20/9/2016,2300, , ,12.09,11.68,9.98,12.73,14.98, , ,0.0,5158.2, ,97.3, , , ,
21/9/2016,0000, , ,10.75,10.32,7.15,10.66,14.61, , ,0.0,5151.1, ,97.2, , , ,
21/9/2016,0100, , ,10.08,9.85,7.01,10.14,14.08, , ,0.0,5144.0, ,98.5, , , ,
21/9/2016,0200, , ,10.36,10.28,10.06,10.99,13.67, , ,0.0,5138.3, ,99.4, , , ,
21/9/2016,0300, , ,9.94,9.89,9.89,11.05,13.56, , ,0.0,5136.7, ,99.7, , , ,
21/9/2016,0400, , ,9.72,9.71,9.75,11.04,13.46, , ,0.0,5134.8, ,99.9, , , ,
21/9/2016,0500, , ,9.81,9.79,9.80,10.96,13.38, , ,0.0,5133.7, ,99.9, , , ,
21/9/2016,0600, , ,9.83,9.81,9.92,11.15,13.29, , ,0.0,5134.0, ,99.9, , , ,
21/9/2016,0700, , ,10.35,10.34,10.68,11.86,13.23, , ,0.0,5169.6, ,99.9, , , ,
21/9/2016,0800, , ,10.94,10.92,11.36,12.51,13.29, , ,0.0,5292.0, ,99.9, , , ,
21/9/2016,0900, , ,11.84,11.83,13.37,14.81,13.47, , ,0.0,5590.5, ,99.9, , , ,
