Site,Minutes of Data Used (Max 1440),Last Minute of Data Series, , , , , , , , , , , , , , , ,
Bramham,1440,15-Sep-2016 08:50:00, , , , , , , , , , , , , , , ,
Daily Summary Data, , , , , , , , , , , , , , , , , ,
Date,Time,Dry Bulb Max 09-21,Dry Bulb Min 09-21,Rainfall Total 09-21,Dry Bulb Max 21-09,Dry Bulb Min 21-09,Rainfall Total 21-09,Dry Bulb Max 09-09,Dry Bulb Min 09-09,Rainfall Total 09-09,Grass Min 18-09,Concrete Min 18-09,10cm Soil,30cm Soil,100cm Soil,Radiation Total Previous Day 00-24,Sunshine Total Previous Day 00-24,
15/9/2016,900,19.98,14.69,0.00,14.82,13.30,0.0,19.98,13.30,0.0,13.74,15.10,17.03, , ,12994.1, ,
Hourly Summary Data, , , , , , , , , , , , , , , , , ,
Date,Time,Battery Voltage,Logger Temperature,Dry Bulb Temperature,Dew Point Temperature,Grass Temperature,Concrete Temperature,10cm Soil Temperature,30cm Soil Temperature,100cm Soil Temperature,Rainfall Total since 0900,Radiation Total since 0900,Sunshine total since 0900,Humidity, , , ,
14/9/2016,1000, , ,17.18,15.57,23.04,23.35,17.74, , ,0.0,855.3, ,90, , , ,
14/9/2016,1100, , ,18.62,15.38,26.54,27.83,18.64, , ,0.0,2656.8, ,81.5, , , ,
14/9/2016,1200, , ,19.08,15.40,27.21,30.36,19.98, , ,0.0,4856.4, ,79.2, , , ,
14/9/2016,1300, , ,19.54,15.43,27.59,30.98,21.13, , ,0.0,7014.5, ,77.1, , , ,
14/9/2016,1400, , ,19.47,15.61,24.79,27.57,21.52, , ,0.0,8307.8, ,78.4, , , ,
14/9/2016,1500, , ,19.20,15.25,25.63,27.70,21.96, , ,0.0,10054.6, ,77.8, , , ,
14/9/2016,1600, , ,18.62,15.09,23.22,25.24,22.06, , ,0.0,11326.8, ,79.9, , , ,
14/9/2016,1700, , ,17.17,14.74,18.54,21.84,21.63, , ,0.0,12040.4, ,85.6, , , ,
14/9/2016,1800, , ,15.66,14.45,15.48,18.40,20.75, , ,0.0,12239.3, ,92.5, , , ,
14/9/2016,1900, , ,14.94,14.27,14.29,16.92,19.84, , ,0.0,12255.6, ,95.7, , , ,
14/9/2016,2000, , ,14.73,14.26,14.55,16.43,19.12, , ,0.0,12252.7, ,97.0, , , ,
14/9/2016,2100, , ,14.77,14.41,14.70,16.37,18.62, , ,0.0,12251.2, ,97.7, , , ,
14/9/2016,2200, , ,14.80,14.48,14.87,16.27,18.29, , ,0.0,12251.1, ,98.0, , , ,
14/9/2016,2300, , ,14.71,14.48,14.79,16.15,18.02, , ,0.0,12251.1, ,98.5, , , ,
15/9/2016,0000, , ,14.57,14.41,14.75,16.11,17.81, , ,0.0,12251.1, ,99.0, , , ,
15/9/2016,0100, , ,14.44,14.31,14.62,15.93,17.63, , ,0.0,12251.1, ,99.2, , , ,
15/9/2016,0200, , ,14.30,14.23,14.49,15.89,17.45, , ,0.0,12251.1, ,99.6, , , ,
15/9/2016,0300, , ,14.13,14.09,14.27,15.76,17.31, , ,0.0,12251.1, ,99.7, , , ,
15/9/2016,0400, , ,13.89,13.88,14.07,15.48,17.17, , ,0.0,12251.1, ,99.9, , , ,
15/9/2016,0500, , ,13.81,13.79,13.95,15.24,17.03, , ,0.0,12251.1, ,99.9, , , ,
15/9/2016,0600, , ,13.67,13.65,13.92,15.15,16.89, , ,0.0,12253.0, ,99.9, , , ,
15/9/2016,0700, , ,13.53,13.51,14.23,15.54,16.79, , ,0.0,12308.1, ,99.9, , , ,
15/9/2016,0800, , ,13.81,13.79,15.01,16.65,16.82, , ,0.0,12515.0, ,99.9, , , ,
15/9/2016,0900, , ,13.92,13.90,17.62,18.50,17.03, , ,0.0,12882.1, ,99.9, , , ,
