Site,Minutes of Data Used (Max 1440),Last Minute of Data Series, , , , , , , , , , , , , , , ,
Bramham,1440,29-Sep-2016 08:50:00, , , , , , , , , , , , , , , ,
Daily Summary Data, , , , , , , , , , , , , , , , , ,
Date,Time,Dry Bulb Max 09-21,Dry Bulb Min 09-21,Rainfall Total 09-21,Dry Bulb Max 21-09,Dry Bulb Min 21-09,Rainfall Total 21-09,Dry Bulb Max 09-09,Dry Bulb Min 09-09,Rainfall Total 09-09,Grass Min 18-09,Concrete Min 18-09,10cm Soil,30cm Soil,100cm Soil,Radiation Total Previous Day 00-24,Sunshine Total Previous Day 00-24,
29/9/2016,900,23.82,15.63,0.00,19.37,13.37,0.4,23.82,13.37,0.4,10.93,11.23,13.65, , ,7760.0, ,
Hourly Summary Data, , , , , , , , , , , , , , , , , ,
Date,Time,Battery Voltage,Logger Temperature,Dry Bulb Temperature,Dew Point Temperature,Grass Temperature,Concrete Temperature,10cm Soil Temperature,30cm Soil Temperature,100cm Soil Temperature,Rainfall Total since 0900,Radiation Total since 0900,Sunshine total since 0900,Humidity, , , ,
28/9/2016,1000, , ,17.40,12.95,23.95,24.75,13.83, , ,0.0,1235.8, ,75, , , ,
28/9/2016,1100, , ,17.38,13.44,20.98,21.97,14.61, , ,0.0,2360.8, ,77.7, , , ,
28/9/2016,1200, , ,17.90,14.52,19.88,20.56,15.14, , ,0.0,3068.7, ,80.6, , , ,
28/9/2016,1300, , ,19.38,15.49,20.15,20.46,15.46, , ,0.0,3609.5, ,78.2, , , ,
28/9/2016,1400, , ,21.54,16.74,23.53,23.31,15.76, , ,0.0,4274.8, ,74.1, , , ,
28/9/2016,1500, , ,22.73,17.27,24.97,25.97,16.84, , ,0.0,5770.9, ,71.3, , , ,
28/9/2016,1600, , ,22.35,17.45,24.21,23.65,17.26, , ,0.0,6396.5, ,73.8, , , ,
28/9/2016,1700, , ,21.14,17.08,20.38,20.87,17.29, , ,0.0,6838.0, ,77.6, , , ,
28/9/2016,1800, , ,20.54,16.93,19.07,19.14,17.05, , ,0.0,6919.9, ,79.8, , , ,
28/9/2016,1900, , ,20.05,16.75,18.62,18.19,16.73, , ,0.0,6916.5, ,81.3, , , ,
28/9/2016,2000, , ,19.40,15.98,17.87,17.35,16.49, , ,0.0,6912.3, ,80.6, , , ,
28/9/2016,2100, , ,19.28,15.12,17.80,17.08,16.24, , ,0.0,6908.0, ,76.9, , , ,
28/9/2016,2200, , ,18.58,14.59,16.89,16.27,16.01, , ,0.0,6903.6, ,77.6, , , ,
28/9/2016,2300, , ,18.24,14.47,17.03,16.38,15.79, , ,0.0,6899.4, ,78.7, , , ,
29/9/2016,0000, , ,18.33,14.27,17.66,16.88,15.64, , ,0.0,6895.9, ,77.2, , , ,
29/9/2016,0100, , ,17.02,14.87,16.07,15.97,15.60, , ,0.0,6893.0, ,87.2, , , ,
29/9/2016,0200, , ,16.51,14.80,15.20,15.21,15.56, , ,0.0,6888.6, ,89.6, , , ,
29/9/2016,0300, , ,16.61,14.30,14.90,15.01,15.45, , ,0.2,6883.5, ,86.3, , , ,
29/9/2016,0400, , ,15.75,13.01,13.79,14.10,15.30, , ,0.4,6877.6, ,83.7, , , ,
29/9/2016,0500, , ,14.67,10.39,12.14,12.39,14.90, , ,0.4,6871.3, ,75.5, , , ,
29/9/2016,0600, , ,13.48,8.89,11.22,11.28,14.31, , ,0.4,6865.5, ,73.7, , , ,
29/9/2016,0700, , ,13.68,9.15,12.13,11.58,13.86, , ,0.4,6936.4, ,74.0, , , ,
29/9/2016,0800, , ,13.61,9.56,12.61,12.30,13.67, , ,0.4,7178.5, ,76.5, , , ,
29/9/2016,0900, , ,14.70,9.90,17.40,16.24,13.65, , ,0.4,7798.0, ,72.9, , , ,
