Site,Minutes of Data Used (Max 1440),Last Minute of Data Series, , , , , , , , , , , , , , , ,
Bramham,1440,15-Oct-2016 08:50:00, , , , , , , , , , , , , , , ,
Daily Summary Data, , , , , , , , , , , , , , , , , ,
Date,Time,Dry Bulb Max 09-21,Dry Bulb Min 09-21,Rainfall Total 09-21,Dry Bulb Max 21-09,Dry Bulb Min 21-09,Rainfall Total 21-09,Dry Bulb Max 09-09,Dry Bulb Min 09-09,Rainfall Total 09-09,Grass Min 18-09,Concrete Min 18-09,10cm Soil,30cm Soil,100cm Soil,Radiation Total Previous Day 00-24,Sunshine Total Previous Day 00-24,
15/10/2016,900,12.77,9.59,0.00,9.82,7.92,0.0,12.77,7.92,0.0,5.71,7.54,10.16, , ,4350.6, ,
Hourly Summary Data, , , , , , , , , , , , , , , , , ,
Date,Time,Battery Voltage,Logger Temperature,Dry Bulb Temperature,Dew Point Temperature,Grass Temperature,Concrete Temperature,10cm Soil Temperature,30cm Soil Temperature,100cm Soil Temperature,Rainfall Total since 0900,Radiation Total since 0900,Sunshine total since 0900,Humidity, , , ,
14/10/2016,1000, , ,10.53,9.86,11.64,12.02,10.37, , ,0.0,293.1, ,96, , , ,
14/10/2016,1100, , ,12.58,11.43,16.97,18.17,10.76, , ,0.0,1026.9, ,92.7, , , ,
14/10/2016,1200, , ,11.13,10.13,12.42,13.52,11.40, , ,0.0,1545.0, ,93.6, , , ,
14/10/2016,1300, , ,11.70,9.91,12.63,13.72,11.65, , ,0.0,2031.1, ,88.8, , , ,
14/10/2016,1400, , ,12.34,10.16,14.59,15.32,11.93, , ,0.0,2662.4, ,86.5, , , ,
14/10/2016,1500, , ,12.23,8.67,14.84,15.53,12.27, , ,0.0,3533.7, ,78.9, , , ,
14/10/2016,1600, , ,11.44,8.83,11.69,12.44,12.26, , ,0.0,3783.0, ,84.0, , , ,
14/10/2016,1700, , ,10.64,8.69,10.20,10.92,11.98, , ,0.0,3850.2, ,87.7, , , ,
14/10/2016,1800, , ,10.18,8.72,9.73,10.34,11.62, , ,0.0,3851.8, ,90.6, , , ,
14/10/2016,1900, , ,9.97,8.85,9.55,10.13,11.35, , ,0.0,3849.8, ,92.7, , , ,
14/10/2016,2000, , ,9.68,8.48,8.73,9.49,11.14, , ,0.0,3846.3, ,92.2, , , ,
14/10/2016,2100, , ,9.63,8.64,9.01,9.63,10.94, , ,0.0,3844.3, ,93.5, , , ,
14/10/2016,2200, , ,9.51,8.49,8.95,9.57,10.82, , ,0.0,3842.7, ,93.3, , , ,
14/10/2016,2300, , ,9.20,8.34,8.51,9.30,10.72, , ,0.0,3841.0, ,94.3, , , ,
15/10/2016,0000, , ,9.19,8.39,8.54,9.22,10.58, , ,0.0,3838.4, ,94.7, , , ,
15/10/2016,0100, , ,9.34,8.50,8.89,9.39,10.49, , ,0.0,3837.0, ,94.5, , , ,
15/10/2016,0200, , ,9.39,8.63,9.02,9.50,10.45, , ,0.0,3835.5, ,95.0, , , ,
15/10/2016,0300, , ,9.35,8.73,8.97,9.45,10.42, , ,0.0,3834.1, ,95.9, , , ,
15/10/2016,0400, , ,9.31,8.88,8.85,9.35,10.39, , ,0.0,3832.3, ,97.1, , , ,
15/10/2016,0500, , ,8.68,8.14,7.11,8.44,10.34, , ,0.0,3829.2, ,96.4, , , ,
15/10/2016,0600, , ,8.22,7.97,6.58,7.87,10.11, , ,0.0,3824.0, ,98.4, , , ,
15/10/2016,0700, , ,8.38,8.25,8.30,8.63,9.95, , ,0.0,3824.9, ,99.1, , , ,
15/10/2016,0800, , ,9.03,8.95,9.34,9.64,9.99, , ,0.0,3935.9, ,99.4, , , ,
15/10/2016,0900, , ,9.81,9.61,10.84,11.02,10.16, , ,0.0,4274.1, ,98.7, , , ,
