,T,INPs_perL,F,K,INPs_perdrop,INPerr_pos,INPerr_neg,delta_INP_pos,delta_INP_neg,run_date,sample_date
0,-14.95,0.175675715805,0.02,20.2027073175,0.0202027073175,0.685294431894,0.000109173627752,0.50961871609,0.175566542177,2016-10-19,2016-10-18
1,-15.74,0.354973865394,0.04,40.8219945203,0.0408219945203,1.00899028371,0.0350096209942,0.654016418312,0.319964244399,2016-10-19,2016-10-18
2,-16.49,0.538046988853,0.06,61.8754037181,0.0618754037181,1.30463252456,0.105513627058,0.766585535708,0.432533361795,2016-10-19,2016-10-18
3,-16.78,0.725057469035,0.08,83.3816089391,0.0833816089391,1.58808215332,0.196084958661,0.863024684287,0.528972510374,2016-10-19,2016-10-18
4,-16.98,0.916178397025,0.1,105.360515658,0.105360515658,1.86557445429,0.300834513675,0.949396057262,0.615343883349,2016-10-19,2016-10-18
5,-17.2,1.11159453487,0.12,127.83337151,0.12783337151,2.14039851767,0.416842725981,1.0288039828,0.694751808888,2016-10-19,2016-10-18
6,-17.27,1.311503389,0.14,150.822889735,0.150822889735,2.41459630924,0.542462642667,1.10309292024,0.769040746329,2016-10-19,2016-10-18
7,-18.33,1.51611640995,0.16,174.353387145,0.174353387145,2.68958373479,0.676701259033,1.17346732483,0.839415150921,2016-10-19,2016-10-18
8,-18.42,1.72566033673,0.18,198.450938724,0.198450938724,2.96642809366,0.818944753711,1.24076775693,0.906715583018,2016-10-19,2016-10-18
9,-18.88,1.94037870708,0.2,223.143551314,0.223143551314,3.24598963964,0.968819948437,1.30561093256,0.971558758643,2016-10-19,2016-10-18
10,-18.98,2.16053355912,0.22,248.461359298,0.248461359298,3.52900122371,1.12611806844,1.36846766459,1.03441549068,2016-10-19,2016-10-18
11,-19.6,2.38640735393,0.24,274.436845702,0.274436845702,3.81611674593,1.29075013584,1.429709392,1.09565721809,2016-10-19,2016-10-18
12,-19.77,2.61830515464,0.26,301.105092784,0.301105092784,4.10794269541,1.46271978779,1.48963754077,1.15558536685,2016-10-19,2016-10-18
13,-21.01,2.8565571041,0.28,328.504066972,0.328504066972,4.40506001717,1.64210636496,1.54850291306,1.21445073915,2016-10-19,2016-10-18
14,-21.21,3.35358678967,0.32,385.662480812,0.385662480812,5.01745819762,2.02376755563,1.66387140795,1.32981923404,2016-10-19,2016-10-18
15,-21.36,3.61317777358,0.34,415.515443962,0.415515443962,5.33390260225,2.22650511882,1.72072482867,1.38667265476,2016-10-19,2016-10-18
16,-21.65,3.88075741416,0.36,446.287102628,0.446287102628,5.65798563168,2.43758137056,1.77722821752,1.4431760436,2016-10-19,2016-10-18
17,-21.91,4.15683305168,0.38,478.035800943,0.478035800943,5.9903519334,2.65736634387,1.83351888172,1.49946670781,2016-10-19,2016-10-18
18,-22.15,4.44196194579,0.4,510.825623766,0.510825623766,6.33168768413,2.88628838137,1.88972573834,1.55567356442,2016-10-19,2016-10-18
19,-22.38,4.73675804732,0.42,544.727175442,0.544727175442,6.68273007106,3.12483819749,1.94597202374,1.61191984983,2016-10-19,2016-10-18
20,-22.47,5.04189995872,0.44,579.818495253,0.579818495253,7.04427758795,3.3735745034,2.00237762923,1.66832545532,2016-10-19,2016-10-18
21,-22.71,5.35814034282,0.46,616.186139424,0.616186139424,7.41720154025,3.63313131929,2.05906119744,1.72500902353,2016-10-19,2016-10-18
22,-22.78,5.68631710788,0.48,653.926467407,0.653926467407,7.80245919521,3.90422719447,2.11614208733,1.78208991341,2016-10-19,2016-10-18
23,-22.92,6.02736678748,0.5,693.14718056,0.69314718056,8.20110908672,4.18767666215,2.17374229924,1.83969012533,2016-10-19,2016-10-18
24,-23.07,6.38234065287,0.52,733.96917508,0.73396917508,8.61432909771,4.48440438194,2.23198844484,1.89793627093,2016-10-19,2016-10-18
25,-23.14,6.75242425651,0.54,776.528789499,0.776528789499,9.04343810335,4.79546258358,2.29101384684,1.95696167293,2016-10-19,2016-10-18
26,-23.28,7.13896132235,0.56,820.98055207,0.82098055207,9.48992218361,5.122052635,2.35096086126,2.01690868735,2016-10-19,2016-10-18
27,-23.37,7.54348319743,0.58,867.500567705,0.867500567705,9.95546672763,5.46555184115,2.4119835302,2.07793135628,2016-10-19,2016-10-18
28,-23.43,8.41377414141,0.62,967.584026262,0.967584026262,10.9517239061,6.20987655066,2.53794976466,2.20389759075,2016-10-19,2016-10-18
29,-23.48,8.88392389158,0.64,1021.65124753,1.02165124753,11.4872151894,6.61468476766,2.60329129783,2.26923912392,2016-10-19,2016-10-18
30,-23.62,9.38095357715,0.66,1078.80966137,1.07880966137,12.0514684042,7.04449092404,2.67051482702,2.33646265311,2016-10-19,2016-10-18
