OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C) or Pressure(Pa),PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
42648.67067,7.054,1.008,4.031,3.023,1.008,1.008,0,0,0,0,0,0,0,0,0,0,6.33,7,9,0,17.13,0.992,3.37,x,1.34,4.12,4.58,0.99,3.51,34.18
42648.67069,6.047,3.024,2.016,3.024,1.008,0,0,0,0,0,0,0,0,0,0,1.008,6.67,8.33,0,0,16.126,0.992,3.39,x,1.11,2.67,86.63,1,3.46,36.94
42648.6707,5.039,5.039,6.046,0,0,0,2.015,1.008,0,0,0,0,0,0,0,0,6.67,0,0,9,19.147,0.992,3.42,x,1.18,7.37,19.16,1.01,3.66,36.06
42648.67071,8.062,1.008,1.008,1.008,1.008,0,1.008,0,0,1.008,0,0,0,0,0,0,6.33,7.67,0,0,14.108,0.992,3.43,x,0.67,4.25,43.16,0.99,3.68,36.39
42648.67072,4.031,2.015,4.031,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10.077,0.992,3.39,x,0.67,1,1.01,0.98,3.56,34.79
42648.67073,2.014,3.022,4.029,1.007,3.022,1.007,1.007,1.007,0,0,0,0,0,0,0,0,8,8.33,8.33,10.33,16.116,0.993,3.38,x,1.38,8.65,19.15,1,3.78,34.11
42648.67074,5.036,5.036,4.029,1.007,0,0,0,2.014,0,0,0,0,0,0,0,0,6.33,7,0,15.33,17.122,0.993,3.41,x,1.03,5.66,21.35,1,3.86,33.57
42648.67076,6.046,3.023,2.015,1.008,1.008,0,1.008,0,0,0,0,0,0,0,0,0,5.33,6.33,0,0,14.108,0.992,3.46,x,0.85,3.67,5.72,0.99,3.85,32.46
42648.67077,3.023,2.015,3.023,1.008,0,0,0,0,1.008,0,0,0,0,0,0,0,6,7,0,0,10.077,0.992,3.48,x,0.66,2.65,20.81,0.98,3.81,32.01
42648.67078,7.057,2.016,4.033,0,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,6.33,0,7,0,16.13,0.992,3.49,x,0.99,4.7,7.03,0.98,3.84,31.09
42648.67079,7.054,2.015,3.023,6.046,0,2.015,0,0,0,0,0,0,0,0,0,0,6,6.67,10,0,20.154,0.992,3.51,x,1.61,5.48,6.2,1,3.9,30.2
42648.6708,6.047,1.008,5.039,0,1.008,2.016,1.008,0,0,0,0,0,0,0,0,0,5,0,8,0,16.124,0.992,3.52,x,1.1,5.86,8.49,1,3.97,29.45
42648.67082,7.054,5.038,1.008,1.008,0,0,1.008,0,1.008,0,0,0,0,0,0,0,7.67,9,0,0,16.123,0.992,3.5,x,0.75,4.4,24.39,1,3.98,29.28
42648.67083,5.038,4.03,3.023,0,2.015,0,1.008,0,0,0,0,0,0,0,0,0,6.33,0,0,0,15.113,0.993,3.52,x,0.98,4.12,6.18,1,3.99,28.54
42648.67084,8.062,4.031,2.015,1.008,0,1.008,0,0,1.008,0,0,0,0,0,0,0,6.67,6.33,8.33,0,17.131,0.992,3.53,x,0.87,3.8,22,0.99,3.98,28.33
42648.67085,7.053,1.008,4.03,1.008,0,0,1.008,0,0,0,0,0,0,0,0,0,5,8.33,0,0,14.105,0.993,3.55,x,0.82,3.16,5.08,0.99,3.96,27.63
42648.67086,8.059,1.007,4.029,0,1.007,0,0,0,0,0,0,0,0,0,0,0,6.33,0,0,0,14.103,0.993,3.55,x,0.8,1.65,1.73,0.98,3.89,26.87
42648.67087,7.054,2.015,6.046,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,15.116,0.992,3.58,x,0.91,1.38,1.39,0.98,3.82,26.14
42648.67089,6.047,1.008,4.031,2.016,1.008,0,0,0,0,0,0,0,0,0,0,0,3,8.67,0,0,14.11,0.992,3.58,x,1.01,2.37,2.47,0.98,3.78,25.48
42648.6709,5.038,4.031,5.038,0,1.008,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15.115,0.992,3.64,x,0.99,1.92,2,0.98,3.73,24.85
42648.67091,7.054,2.016,1.008,1.008,2.016,2.016,0,1.008,0,0,0,0,0,0,0,0,6,8.33,9,9.67,16.124,0.992,3.65,x,0.95,6.19,14.27,0.98,3.79,24.57
42648.67092,6.039,3.02,4.026,2.013,1.007,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,16.104,0.994,3.65,x,1.1,2.45,2.55,0.98,3.76,24
42648.67093,4.031,9.069,1.008,3.023,1.008,0,0,0,0,0,0,1.008,0,0,0,0,6,7.33,0,0,19.146,0.992,3.7,x,1.2,2.73,84.46,0.99,3.73,25.51
42648.67094,7.056,4.032,3.024,1.008,1.008,2.016,2.016,0,0,0,0,0,0,0,0,0,6.67,7,10.33,0,20.159,0.992,3.7,x,1.2,7.55,11.9,0.99,3.82,25.18
42648.67096,9.069,4.031,4.031,2.015,0,0,0,0,0,1.008,0,0,0,0,0,0,6.33,6.67,0,0,20.153,0.992,3.71,x,1.09,2.67,36.72,1,3.8,25.46
42648.67097,13.101,5.039,5.039,4.031,0,1.008,1.008,0,2.015,0,0,0,0,0,0,0,7,8.67,13,0,31.24,0.992,3.7,x,1.73,8.58,44.88,1.01,3.91,25.91
42648.67098,7.054,0,2.015,3.023,2.015,0,0,0,0,0,0,0,1.008,0,0,0,0,8.33,0,0,15.115,0.992,3.7,x,0.99,2.95,99.82,1.01,3.89,27.59
42648.67099,8.062,5.038,1.008,0,0,1.008,1.008,1.008,0,0,0,0,0,0,0,0,6.33,0,9,13.67,17.131,0.992,3.71,x,0.7,5.32,14.65,1,3.92,27.3
