OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C) or Pressure(Pa),PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
42648.67185,10.079,5.039,2.016,2.016,0,0,0,0,0,0,0,0,0,0,0,0,6.33,8.67,0,0,19.15,0.992,3.88,x,0.92,1.58,1.61,0.98,3.98,28.43
42648.67186,9.069,1.008,2.015,2.015,1.008,1.008,0,0,0,0,0,0,0,0,0,0,5,7.67,8.33,0,16.123,0.992,3.89,x,0.89,2.92,3.3,0.98,3.97,28.22
42648.67187,12.093,3.023,5.039,3.023,4.031,2.015,1.008,0,0,0,0,0,0,0,0,0,6.33,7.67,8,0,30.232,0.992,3.89,x,1.94,8.45,11.06,0.99,4,28.08
42648.67188,6.044,5.037,5.037,3.022,0,1.007,0,0,1.007,0,0,0,0,0,0,0,6.67,7.33,10.33,0,21.154,0.993,3.88,x,1.34,4.69,21.28,0.99,4.01,28.02
42648.67189,9.069,4.031,4.031,2.015,0,2.015,1.008,0,0,0,0,0,0,0,0,0,6.67,8.67,9.33,0,22.168,0.992,3.87,x,1.26,5.53,7.88,0.99,4.02,27.85
42648.67191,7.053,2.015,3.023,2.015,1.008,2.015,0,2.015,0,0,0,0,0,0,0,0,7.33,8.33,8.33,10.67,19.145,0.992,3.85,x,1.11,7.74,22.31,0.99,4.05,27.81
42648.67192,6.044,1.007,2.015,0,0,2.015,0,0,0,0,0,0,0,0,0,0,6.33,0,9,0,11.081,0.993,3.85,x,0.56,2.58,3.16,0.99,4.04,27.61
42648.67193,10.078,7.054,2.016,1.008,0,0,1.008,1.008,0,0,0,0,0,0,0,0,6.67,7.67,0,13.67,22.171,0.992,3.83,x,0.96,4.83,13.59,0.99,4.05,27.5
42648.67194,10.077,3.023,5.039,2.015,0,2.015,0,0,0,0,0,0,0,0,0,0,6,9.67,8.67,0,22.17,0.992,3.85,x,1.29,4.02,4.63,0.99,4.05,27.32
42648.67195,12.09,7.053,2.015,1.008,0,1.008,0,0,0,0,0,0,0,0,0,0,6.67,7.67,9,0,23.173,0.993,3.83,x,1.05,2.44,2.74,0.99,4.03,27.12
42648.67197,7.052,4.03,7.052,3.022,2.015,0,0,0,0,0,0,0,0,0,0,0,6,8.67,0,0,23.171,0.993,3.85,x,1.66,3.9,4.07,1,4.03,26.94
42648.67198,2.015,4.031,5.038,1.008,1.008,0,0,0,0,0,0,0,0,0,0,0,7.67,7.67,0,0,13.1,0.992,3.8,x,1.01,2.14,2.22,1,4.02,26.75
42648.67199,4.03,4.03,1.008,1.008,0,2.015,0,0,0,0,0,0,0,0,0,0,7,11.67,10.33,0,12.091,0.992,3.78,x,0.71,2.97,3.57,1,4.01,26.57
42648.672,10.075,6.045,2.015,2.015,0,1.007,0,1.007,0,0,0,0,0,0,0,0,6,7.33,8.33,11,22.164,0.993,3.81,x,1.09,4.51,11.85,1,4.01,26.46
42648.67201,10.078,5.039,2.016,2.016,0,1.008,0,1.008,0,0,0,0,0,0,0,0,6,8,10.33,11.67,21.163,0.992,3.83,x,1.03,4.42,11.73,1,4.02,26.35
42648.67202,13.1,4.031,1.008,0,0,1.008,0,0,0,0,0,0,0,0,0,0,6,0,9,0,19.146,0.992,3.85,x,0.68,1.73,2.02,0.99,4,26.17
42648.67204,6.044,6.044,1.007,1.007,0,0,1.007,0,0,1.007,0,0,0,0,0,0,6.33,7.67,0,0,16.119,0.993,3.85,x,0.71,3.44,38,0.99,4,26.25
42648.67205,7.054,2.015,1.008,2.015,2.015,1.008,0,0,0,0,0,0,0,0,0,0,6.33,8.33,9,0,15.115,0.992,3.85,x,0.93,3.42,3.87,0.99,3.99,26.09
42648.67206,3.023,4.031,4.031,1.008,2.015,0,0,0,0,0,0,0,0,0,0,0,7.33,8.33,0,0,14.108,0.992,3.82,x,1.04,2.61,2.75,0.99,3.98,25.92
42648.67207,12.091,5.038,5.038,1.008,1.008,2.015,0,0,0,0,0,0,0,0,0,0,5.67,7.67,8,0,26.198,0.992,3.85,x,1.44,4.44,5.1,1,3.99,25.76
42648.67208,5.039,4.031,1.008,2.016,0,1.008,0,0,1.008,0,0,0,0,0,0,0,7.33,7.33,11,0,14.11,0.992,3.82,x,0.76,3.64,20.48,0.99,3.98,25.73
42648.67209,13.101,5.039,4.031,5.039,0,0,1.008,0,0,0,0,0,0,0,0,0,5.67,8,0,0,28.217,0.992,3.86,x,1.59,4.73,6.55,1,3.99,25.59
42648.67211,9.068,4.03,3.023,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,0,5.67,7,8.33,0,19.145,0.992,3.88,x,1.02,2.93,3.29,1,3.98,25.43
42648.67212,10.078,7.054,2.016,0,1.008,0,0,1.008,0,0,0,0,0,0,0,0,7,0,0,12.33,21.163,0.992,3.84,x,0.92,3.41,10.44,1,3.98,25.32
42648.67213,9.069,5.038,3.023,2.015,4.031,3.023,1.008,0,0,0,0,0,0,0,0,0,7,8,8,0,27.208,0.992,3.82,x,1.8,9.02,11.96,1,4.01,25.23
42648.67214,10.077,5.039,7.054,1.008,0,0,1.008,0,0,0,0,0,0,0,0,0,7.33,7,0,0,24.185,0.992,3.78,x,1.36,3.81,5.62,1.01,4.01,25.09
42648.67215,9.069,2.015,1.008,3.023,0,2.015,0,0,0,0,0,0,0,0,1.008,0,6.33,7.33,8,0,18.138,0.992,3.78,x,0.96,3.69,91.02,1.01,4.01,25.55
42648.67216,9.068,3.023,3.023,3.023,0,0,0,1.008,0,0,0,0,0,0,0,0,7.33,7.33,0,11,19.144,0.992,3.76,x,1.05,3.84,11,1.01,4.01,25.45
42648.67218,12.092,4.031,6.046,1.008,0,1.008,0,0,0,0,0,0,0,0,0,0,5.67,8.33,9,0,24.183,0.992,3.79,x,1.3,2.95,3.26,1.01,4,25.3
42648.67219,8.061,1.008,3.023,0,1.008,1.008,3.023,0,0,0,0,0,0,0,0,0,7,0,12.33,0,17.129,0.992,3.79,x,0.85,7.5,13.22,1.01,4.02,25.22
42648.6722,7.054,4.031,3.023,1.008,0,0,0,0,0,0,0,0,0,0,0,0,6.67,7.67,0,0,15.115,0.992,3.78,x,0.8,1.29,1.31,1.01,4.01,25.05
42648.67221,11.086,6.047,5.039,3.023,0,1.008,1.008,2.016,0,0,0,0,0,0,0,0,7,8,8.33,10,29.226,0.992,3.76,x,1.6,9.02,25.41,1.01,4.04,25.06
42648.67222,10.077,2.015,7.054,2.015,4.031,0,0,0,0,0,0,0,0,0,0,0,4.67,7,0,0,25.193,0.992,3.79,x,1.76,4.78,5.07,1.01,4.04,24.92
42648.67224,10.075,3.022,3.022,3.022,2.015,2.015,1.007,1.007,0,0,0,0,0,0,0,0,6.67,7.33,8.33,9.67,25.187,0.993,3.79,x,1.52,8.86,18.48,1.02,4.08,24.88
42648.67225,14.106,4.03,4.03,2.015,1.008,3.023,0,0,0,0,0,0,0,0,0,0,6.67,8.67,8.67,0,28.212,0.992,3.78,x,1.57,5.74,6.72,1.02,4.09,24.76
42648.67226,9.069,0,4.031,1.008,2.015,1.008,0,1.008,0,0,0,0,0,0,0,0,0,13,9,11,18.139,0.992,3.78,x,1.06,5.36,12.88,1.02,4.09,24.68
42648.67227,11.085,4.031,6.046,2.015,0,1.008,0,0,0,0,0,0,0,0,0,0,7.33,7.33,8.33,0,24.185,0.992,3.75,x,1.41,3.33,3.66,1.02,4.09,24.55
42648.67228,8.059,7.052,8.059,3.022,0,0,0,0,0,0,0,0,0,0,0,0,7,8.33,0,0,26.193,0.993,3.73,x,1.76,3.14,3.19,1.03,4.08,24.41
42648.67229,9.069,2.015,3.023,2.015,0,0,1.008,0,1.008,0,0,1.008,0,0,0,0,5,7.33,0,0,19.146,0.992,3.76,x,0.9,4.77,103.84,1.03,4.09,24.92
42648.67231,7.054,1.008,3.023,4.031,1.008,0,0,0,0,0,0,0,0,0,0,0,5.67,6.33,0,0,16.123,0.992,3.76,x,1.13,2.84,2.96,1.03,4.08,24.78
42648.67232,7.053,5.038,4.03,1.008,0,1.008,0,1.008,0,0,0,0,0,0,0,0,6.33,7.67,7,9.67,19.144,0.992,3.77,x,1.06,4.39,11.8,1.03,4.08,24.7
42648.67233,12.093,4.031,0,0,0,2.015,0,0,0,0,0,0,0,0,0,0,7.33,0,9,0,18.139,0.992,3.75,x,0.67,2.63,3.23,1.03,4.07,24.56
42648.67234,6.047,3.023,2.016,2.016,0,0,4.031,1.008,0,0,0,0,0,0,0,0,5,7,0,9.67,18.14,0.992,3.79,x,0.9,9.98,24.21,1.03,4.11,24.56
42648.67235,11.082,4.03,4.03,1.007,1.007,2.015,1.007,1.007,0,0,0,0,0,0,0,0,8.33,9,10,11,25.186,0.993,3.72,x,1.35,7.89,17.58,1.03,4.13,24.52
42648.67236,12.091,10.076,4.03,3.023,2.015,0,0,0,0,0,0,0,0,0,0,0,7.67,7.33,0,0,31.236,0.992,3.64,x,1.9,4.1,4.28,1.03,4.13,24.39
42648.67238,13.1,5.038,4.031,0,0,0,2.015,1.008,0,0,0,0,0,0,0,0,5.67,0,0,9,25.192,0.992,3.69,x,1.07,6.66,17.59,1.03,4.15,24.35
42648.67239,10.076,3.023,5.038,2.015,0,0,0,2.015,0,1.008,0,0,0,0,0,0,5.67,9,0,10.33,23.175,0.992,3.72,x,1.17,6.49,54.93,1.03,4.16,24.54
42648.6724,16.123,6.046,4.031,0,3.023,1.008,0,1.008,1.008,0,0,0,0,0,0,0,6.33,0,7.67,11,32.246,0.992,3.73,x,1.56,7.63,32.21,1.04,4.18,24.58
42648.67241,3.021,5.035,5.035,1.007,1.007,1.007,0,0,0,0,0,1.007,0,0,0,0,7,8.33,7.67,0,17.118,0.993,3.71,x,1.2,3.44,85.13,1.04,4.18,24.95
42648.67242,9.069,4.031,5.038,0,1.008,1.008,1.008,1.008,0,0,0,0,0,1.008,0,0,6.33,0,10.33,11,23.176,0.992,3.73,x,1.19,6.6,112.85,1.04,4.19,25.47
42648.67243,10.077,3.023,2.015,3.023,2.015,0,0,1.008,0,0,0,1.008,0,0,0,0,5.33,8.67,0,11.67,22.168,0.992,3.76,x,1.21,5.06,92.72,1.04,4.2,25.87
42648.67245,8.062,1.008,4.031,0,3.023,0,1.008,1.008,0,0,0,0,0,0,0,0,9,0,0,10.33,18.14,0.992,3.74,x,1.05,6.4,15.57,1.04,4.21,25.81
42648.67246,10.077,7.054,4.031,3.023,0,0,0,0,1.008,0,0,0,0,0,0,0,6.33,7,0,0,25.193,0.992,3.75,x,1.39,3.85,20.7,1.04,4.21,25.78
42648.67247,4.031,5.039,3.023,3.023,1.008,0,0,1.008,0,0,0,0,0,0,0,0,6,7.33,0,11,17.132,0.992,3.78,x,1.17,4.47,11.66,1.04,4.21,25.7
42648.67248,4.031,2.016,0,2.016,2.016,1.008,1.008,2.016,0,0,0,0,1.008,0,0,0,5.33,7,7.67,9.33,15.117,0.992,3.8,x,0.83,8.57,118.99,1.04,4.24,26.24
42648.67249,13.099,3.023,6.046,0,0,2.015,0,1.008,0,0,0,0,0,0,0,0,5.67,0,9.33,12.33,25.19,0.992,3.82,x,1.23,5.35,12.93,1.04,4.24,26.17
42648.67251,13.098,5.038,3.023,3.023,0,0,0,1.008,0,0,0,0,0,0,0,0,6,7.33,0,11.67,25.188,0.993,3.84,x,1.22,3.97,10.97,1.04,4.24,26.08
42648.67252,4.031,2.015,5.039,1.008,0,2.015,0,0,0,0,0,0,0,0,0,0,7,7.67,12,0,14.108,0.992,3.83,x,0.99,3.47,4.08,1.04,4.24,25.95
42648.67253,9.069,3.023,3.023,2.015,1.008,0,0,0,0,0,0,0,0,0,0,0,5.33,7.33,0,0,18.139,0.992,3.86,x,1.01,2.22,2.31,1.04,4.23,25.82
42648.67254,11.083,4.03,1.008,1.008,0,0,1.008,0,0,0,0,0,0,0,0,0,6,7,0,0,18.136,0.992,3.88,x,0.7,2.67,4.42,1.04,4.22,25.7
42648.67255,9.069,3.023,5.038,1.008,2.015,0,0,0,0,0,0,0,0,0,0,0,6.67,7,0,0,20.153,0.992,3.87,x,1.2,2.8,2.95,1.04,4.21,25.57
42648.67256,8.062,4.031,4.031,0,0,0,1.008,0,0,0,0,0,0,0,0,0,6,0,0,0,17.132,0.992,3.88,x,0.81,2.74,4.49,1.04,4.2,25.45
42648.67258,15.117,4.031,5.039,0,0,1.008,0,0,0,0,0,0,0,0,0,0,6.67,0,9,0,25.195,0.992,3.87,x,1.11,2.43,2.72,1.04,4.19,25.32
42648.67259,9.067,2.015,3.022,2.015,1.007,2.015,0,1.007,0,0,0,0,0,0,0,0,6.33,8,9,9.67,20.15,0.993,3.87,x,1.14,5.96,13.53,1.04,4.2,25.26
42648.6726,11.088,2.016,4.032,0,0,0,2.016,0,0,0,0,0,0,0,0,0,7,0,0,0,19.152,0.992,3.86,x,0.81,4.36,7.87,1.04,4.2,25.16
42648.67261,5.038,8.061,4.031,0,1.008,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,18.138,0.992,3.82,x,1.06,1.92,1.99,1.04,4.19,25.04
42648.67262,9.069,5.038,2.015,1.008,0,0,1.008,0,0,0,0,0,0,0,0,0,7.33,7,0,0,18.138,0.992,3.78,x,0.83,2.93,4.73,1.04,4.18,24.93
42648.67263,8.062,4.031,3.023,0,1.008,0,1.008,0,0,0,0,0,0,0,0,0,6,0,0,0,17.132,0.992,3.8,x,0.85,3.26,5.11,1.04,4.18,24.82
42648.67265,9.068,5.038,7.053,1.008,1.008,0,0,0,0,0,0,0,1.008,0,0,0,6,7.67,0,0,24.181,0.993,3.82,x,1.4,2.71,96.4,1.04,4.17,25.2
42648.67266,7.059,3.025,4.033,3.025,1.008,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,18.151,0.992,3.83,x,1.2,2.72,2.83,1.04,4.16,25.09
42648.67267,8.059,6.044,3.022,1.007,2.015,1.007,0,0,0,0,0,0,0,0,0,0,5.67,7.67,9.67,0,21.155,0.993,3.88,x,1.23,3.65,4.08,1.04,4.16,24.97
42648.67268,10.076,6.046,6.046,2.015,0,1.008,1.008,1.008,1.008,0,0,0,0,0,0,0,7,7.33,7.67,9,28.214,0.992,3.84,x,1.52,8.15,33.63,1.05,4.18,25.02
42648.67269,6.046,4.031,5.039,5.039,1.008,0,0,1.008,0,0,0,0,1.008,0,0,0,6,7.67,0,11,23.178,0.992,3.86,x,1.58,5.45,105.26,1.05,4.19,25.44
42648.6727,13.101,9.07,5.039,1.008,1.008,0,0,0,0,0,0,0,0,0,0,0,7.33,6.33,0,0,29.224,0.992,3.78,x,1.52,2.72,2.8,1.05,4.18,25.32
42648.67272,15.115,2.015,5.038,0,1.008,1.008,2.015,0,0,0,0,0,0,0,0,0,6,0,9,0,26.199,0.992,3.79,x,1.22,6.35,10.29,1.05,4.19,25.24
42648.67273,8.062,5.039,3.023,2.015,0,1.008,1.008,0,0,1.008,0,0,0,0,0,0,5.67,8.67,9,0,21.163,0.992,3.83,x,1.11,5.16,40.23,1.05,4.2,25.32
42648.67274,8.062,7.054,1.008,0,1.008,0,0,0,0,0,0,0,0,0,0,0,7.67,0,0,0,17.131,0.992,3.76,x,0.78,1.44,1.51,1.05,4.18,25.2
42648.67275,10.076,3.023,3.023,1.008,4.031,1.008,0,0,0,0,0,0,0,0,0,0,6.33,7.67,9,0,22.168,0.992,3.76,x,1.39,4.87,5.45,1.05,4.19,25.1
42648.67276,10.082,6.049,2.016,1.008,1.008,1.008,0,1.008,0,0,0,0,0,0,0,0,6,9,7.67,9.67,22.179,0.992,3.79,x,1.09,4.79,12.23,1.05,4.19,25.03
42648.67278,10.077,5.039,0,2.015,2.015,1.008,0,0,0,0,0,0,0,0,0,0,6.67,7.33,7.67,0,20.155,0.992,3.78,x,1.07,3.57,4.03,1.05,4.19,24.93
42648.67279,16.124,5.039,1.008,4.031,1.008,0,0,0,0,0,0,0,0,0,0,0,6.67,7.33,0,0,27.21,0.992,3.78,x,1.34,2.94,3.06,1.05,4.18,24.82
42648.6728,10.077,6.046,5.039,1.008,1.008,0,0,0,0,0,0,0,0,0,0,0,6.67,7,0,0,23.178,0.992,3.77,x,1.3,2.46,2.55,1.05,4.17,24.7
42648.67281,4.031,3.023,2.016,1.008,2.016,0,1.008,0,0,0,0,0,0,0,0,0,6.67,7.67,0,0,13.102,0.992,3.77,x,0.86,3.96,5.9,1.05,4.17,24.61
42648.67282,8.061,1.008,4.031,0,0,1.008,0,0,0,0,0,0,0,0,0,0,5.67,0,7.67,0,14.107,0.992,3.78,x,0.72,1.97,2.27,1.05,4.16,24.5
42648.67283,6.047,4.031,1.008,3.023,0,1.008,2.016,0,0,0,0,0,0,0,0,0,7,7.67,9,0,17.133,0.992,3.76,x,1,6.13,10.07,1.05,4.17,24.43
42648.67285,4.03,4.03,1.008,4.03,3.023,0,0,0,0,0,0,0,0,0,0,0,6,8.33,0,0,16.121,0.992,3.78,x,1.27,3.87,4.12,1.05,4.17,24.33
42648.67286,9.069,6.046,0,1.008,2.015,0,1.008,0,0,0,0,0,0,0,0,0,6.33,7.67,0,0,19.145,0.992,3.79,x,0.92,3.9,5.83,1.05,4.17,24.24
42648.67287,8.061,4.03,2.015,1.008,0,1.008,0,0,0,0,0,0,1.008,0,0,0,6.67,7,8.33,0,17.129,0.992,3.78,x,0.81,2.22,97.03,1.05,4.16,24.59
42648.67288,18.138,3.023,1.008,2.015,2.015,0,0,1.008,0,0,0,0,0,0,0,0,5.67,7,0,9,27.207,0.992,3.81,x,1.14,4.54,11.72,1.05,4.16,24.53
42648.67289,10.078,2.016,4.031,3.023,0,1.008,0,0,0,0,0,0,0,0,0,0,6,6.67,9,0,20.157,0.992,3.82,x,1.18,3.15,3.48,1.05,4.15,24.43
42648.6729,10.077,3.023,1.008,2.015,0,0,1.008,0,0,0,0,1.008,0,0,0,0,6.67,7,0,0,18.139,0.992,3.81,x,0.76,3.1,84.2,1.05,4.15,24.71
42648.67292,6.046,4.031,5.038,2.015,2.015,1.008,0,0,0,0,0,0,0,0,0,0,6.67,6.67,9.67,0,20.154,0.992,3.8,x,1.43,4.25,4.71,1.05,4.15,24.62
42648.67293,11.087,3.024,4.032,2.016,1.008,0,0,0,0,0,0,0,0,0,0,0,6,7.67,0,0,21.166,0.992,3.82,x,1.16,2.46,2.55,1.05,4.14,24.51
42648.67294,9.069,8.061,4.031,2.015,1.008,0,1.008,0,0,1.008,0,0,0,0,0,0,5.67,7.33,0,0,26.2,0.992,3.87,x,1.41,5.08,39.54,1.05,4.14,24.59
42648.67295,11.086,2.016,7.055,3.023,0,2.016,0,0,0,0,0,0,0,0,0,0,5.33,8.33,10,0,25.195,0.992,3.89,x,1.56,4.61,5.23,1.06,4.15,24.49
42648.67296,7.054,5.039,6.046,3.023,2.015,0,2.015,0,0,0,0,0,0,0,0,0,6.33,7.33,0,0,25.193,0.992,3.89,x,1.67,7.04,10.69,1.06,4.16,24.43
42648.67297,10.073,3.022,1.007,1.007,0,1.007,0,0,0,0,0,0,0,0,0,0,6,9.67,8.33,0,16.117,0.993,3.9,x,0.67,1.93,2.23,1.06,4.15,24.33
42648.67299,10.075,3.023,1.008,1.008,2.015,1.008,0,0,0,0,0,0,0,0,0,0,5.33,7,8.33,0,18.136,0.993,3.93,x,0.9,3.13,3.55,1.06,4.15,24.23
42648.673,7.054,1.008,1.008,2.015,2.015,0,1.008,0,0,0,0,0,0,0,0,0,7,7,0,0,14.108,0.992,3.93,x,0.8,3.93,5.8,1.06,4.14,24.14
42648.67301,7.051,4.029,4.029,1.007,0,0,0,0,0,0,0,0,0,0,0,0,6.33,6.33,0,0,16.116,0.993,3.92,x,0.87,1.41,1.43,1.06,4.13,24.04
42648.67302,11.085,5.039,5.039,5.039,0,0,1.008,0,0,0,0,1.008,0,0,0,0,6.33,7.33,0,0,28.217,0.992,3.92,x,1.62,4.87,83.74,1.06,4.13,24.31
42648.67303,7.053,7.053,4.031,1.008,0,0,0,0,0,0,0,0,0,0,0,0,6.33,9,0,0,19.145,0.992,3.92,x,1.03,1.6,1.62,1.06,4.12,24.21
42648.67305,12.092,2.015,2.015,2.015,0,1.008,1.008,0,0,0,0,0,0,0,0,0,5,7.33,8.33,0,20.153,0.992,3.94,x,0.91,4.03,6.06,1.06,4.12,24.13
42648.67306,7.053,6.046,4.03,1.008,0,1.008,2.015,0,0,0,0,0,0,0,0,0,6.67,7,8.33,0,21.159,0.992,3.92,x,1.13,5.81,9.56,1.06,4.13,24.06
42648.67307,9.07,2.016,6.047,3.023,1.008,0,1.008,1.008,0,0,0,0,0,0,0,0,5,7.67,0,9.67,23.179,0.992,3.95,x,1.39,6.31,14.91,1.06,4.14,24.02
42648.67308,11.084,5.038,2.015,1.008,2.015,0,1.008,0,0,0,0,0,0,0,0,0,7,7,0,0,22.168,0.992,3.91,x,1.08,4.09,5.96,1.06,4.14,23.94
42648.67309,13.098,2.015,5.038,1.008,0,1.008,0,0,0,0,0,0,0,0,0,0,6.67,7,11.67,0,22.166,0.992,3.9,x,1.07,2.59,2.9,1.06,4.13,23.84
42648.6731,4.03,4.03,3.023,3.023,0,1.008,0,0,0,0,1.008,0,0,0,0,0,6.33,8.33,9,0,16.122,0.992,3.9,x,1.04,3.21,58.26,1.06,4.13,24
42648.67312,9.069,2.015,3.023,1.008,0,0,1.008,0,0,0,0,0,0,0,0,0,7.33,6.33,0,0,16.123,0.992,3.88,x,0.75,2.83,4.58,1.06,4.12,23.91
42648.67313,10.076,3.023,7.053,0,2.015,0,0,0,0,0,0,0,0,0,0,0,5.67,0,0,0,22.168,0.992,3.9,x,1.28,2.78,2.91,1.06,4.12,23.82
42648.67314,11.085,3.023,4.031,0,1.008,0,0,1.008,0,0,0,0,0,0,0,0,5.33,0,0,10.33,20.154,0.992,3.93,x,0.9,3.43,10.3,1.06,4.11,23.76
42648.67315,5.039,4.031,4.031,3.024,0,0,0,1.008,0,0,0,0,0,0,0,0,6.67,9,0,9,17.133,0.992,3.92,x,1.08,3.83,10.71,1.06,4.11,23.7
42648.67316,4.031,2.016,5.039,1.008,0,0,0,0,0,0,0,0,0,0,0,0,7,6.33,0,0,12.093,0.992,3.9,x,0.8,1.39,1.41,1.06,4.1,23.61
42648.67317,7.054,6.047,2.016,0,0,0,1.008,0,0,0,0,0,0,0,0,0,6.67,0,0,0,16.125,0.992,3.88,x,0.7,2.51,4.26,1.06,4.09,23.52
42648.67319,6.046,0,3.023,1.008,1.008,2.015,2.015,0,0,0,0,0,0,0,0,0,0,7,8,0,15.116,0.992,3.88,x,0.91,6.93,11.07,1.05,4.11,23.47
42648.6732,14.107,2.015,5.038,0,0,0,0,0,1.008,0,0,0,0,0,0,0,7,0,0,0,22.168,0.992,3.87,x,0.9,2.59,18.89,1.05,4.1,23.45
42648.67321,9.069,4.031,2.015,0,1.008,1.008,0,1.008,0,0,0,0,0,0,0,0,6,0,7.67,9,18.139,0.992,3.89,x,0.81,4.17,11.41,1.05,4.1,23.4
42648.67322,8.061,6.045,3.023,0,0,0,1.008,0,0,0,0,0,0,0,0,0,5.67,0,0,0,18.136,0.992,3.92,x,0.81,2.67,4.4,1.05,4.09,23.32
42648.67323,7.054,8.062,2.015,1.008,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,18.139,0.992,3.94,x,0.88,1.32,1.34,1.05,4.08,23.22
42648.67324,7.053,1.008,3.023,3.023,0,0,0,0,0,0,0,0,0,0,0,0,9,7.33,0,0,14.105,0.993,3.92,x,0.85,1.77,1.81,1.05,4.07,23.13
42648.67326,8.067,3.025,2.017,1.008,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,6,7.67,10.33,0,17.143,0.992,3.93,x,0.88,4.28,6.37,1.05,4.07,23.06
42648.67327,7.051,2.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9.066,0.993,3.93,x,0.25,0.27,0.27,1.05,4.06,22.97
42648.67328,7.054,6.046,2.015,1.008,0,0,0,0,0,0,0,0,0,0,0,0,6.67,8.33,0,0,16.123,0.992,3.91,x,0.78,1.21,1.23,1.05,4.05,22.88
42648.67329,7.053,3.023,3.023,0,1.008,0,1.008,0,0,0,0,0,0,0,0,0,6,0,0,0,15.113,0.993,3.92,x,0.75,3.07,4.87,1.04,4.04,22.8
42648.6733,7.054,2.015,7.054,1.008,0,0,0,0,0,0,1.008,0,0,0,0,0,5.33,7.67,0,0,18.139,0.992,3.94,x,1.05,2.07,56.35,1.04,4.03,22.94
42648.67331,8.062,4.031,4.031,2.016,1.008,0,0,1.008,0,0,0,0,0,0,0,0,6.67,7.33,0,10.33,20.155,0.992,3.92,x,1.13,4.14,11.06,1.04,4.03,22.89
42648.67333,3.023,3.023,6.046,1.008,0,0,0,0,0,0,0,0,0,0,0,0,7.33,7.67,0,0,13.1,0.992,3.89,x,0.93,1.6,1.62,1.04,4.02,22.8
42648.67334,12.087,2.015,2.015,2.015,0,0,2.015,0,0,0,0,0,0,0,0,0,6.67,6.33,0,0,20.146,0.993,3.88,x,0.87,4.73,8.24,1.04,4.03,22.74
42648.67335,7.053,4.031,4.031,1.008,0,0,0,0,0,0,0,0,0,0,0,0,5.67,7,0,0,16.122,0.992,3.91,x,0.87,1.41,1.43,1.04,4.02,22.66
42648.67336,7.054,3.023,2.015,0,0,2.015,0,0,0,0,0,0,0,0,0,0,5.33,0,8.67,0,14.107,0.992,3.94,x,0.67,2.66,3.23,1.04,4.01,22.58
42648.67337,1.007,4.029,3.022,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,8.059,0.993,3.92,x,0.52,0.76,0.77,1.04,4,22.49
42648.67339,9.068,7.053,2.015,1.008,0,0,0,0,0,0,0,0,0,0,0,0,7.33,7,0,0,19.144,0.992,3.86,x,0.89,1.33,1.35,1.04,3.99,22.41
42648.6734,9.069,5.039,5.039,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33,0,0,0,19.147,0.992,3.86,x,0.95,1.35,1.35,1.04,3.98,22.32
42648.67341,8.062,2.015,4.031,0,1.008,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,15.116,0.992,3.87,x,0.79,1.58,1.65,1.04,3.97,22.24
42648.67342,8.061,2.015,0,1.008,2.015,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,13.1,0.992,3.87,x,0.63,1.88,2.02,1.04,3.96,22.16
42648.67343,8.058,3.022,5.037,0,0,1.007,0,0,0,0,0,0,1.007,0,0,0,6,0,8.33,0,18.132,0.993,3.89,x,0.91,2.24,94.54,1.04,3.95,22.45
42648.67344,7.055,0,2.016,0,1.008,1.008,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11.087,0.992,3.89,x,0.55,2.11,2.46,1.03,3.94,22.37
42648.67346,9.069,3.023,5.038,1.008,0,0,0,0,0,0,0,0,0,0,0,0,5.67,7,0,0,18.139,0.992,3.91,x,0.96,1.56,1.58,1.03,3.94,22.29
42648.67347,4.031,3.024,3.024,0,0,1.008,0,0,0,0,0,0,0,0,0,0,6.33,0,11,0,11.086,0.992,3.9,x,0.62,1.78,2.07,1.03,3.93,22.21
42648.67348,7.053,5.038,3.023,0,0,1.008,0,0,0,1.008,0,0,0,0,0,0,6.33,0,7.67,0,17.13,0.992,3.9,x,0.79,2.69,35.35,1.03,3.92,22.26
42648.67349,13.103,1.008,2.016,3.024,1.008,0,1.008,0,0,0,0,0,0,0,0,0,7,7.33,0,0,21.166,0.992,3.9,x,1.04,3.99,5.83,1.03,3.92,22.19
