OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C) or Pressure(Pa),PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
42643.51009,12.094,8.062,8.062,2.016,0,0,0,0,0,0,0,0,0,0,0,0,5.67,7,0,0,30.234,0.992,4.51,x,1.47,2.41,2.44,1.12,4.22,8.75
42643.5101,11.086,3.023,3.023,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,0,6.67,7.67,12.33,0,20.156,0.992,4.47,x,0.88,2.53,2.85,1.11,4.13,8.44
42643.51011,8.062,1.008,2.016,3.023,1.008,0,0,0,0,0,0,0,0,0,0,0,6.33,9,0,0,15.116,0.992,4.45,x,0.78,1.96,2.05,1.09,4.02,8.12
42643.51012,9.067,5.037,6.045,0,2.015,1.007,0,2.015,0,0,0,0,0,0,0,0,6.33,0,7.67,11.33,25.186,0.993,4.41,x,1.22,6.42,18.93,1.1,4.14,8.64
42643.51014,7.052,3.022,2.015,5.037,1.007,2.015,0,0,0,0,0,0,0,0,0,0,5.33,8.33,8.33,0,20.15,0.993,4.42,x,1.24,4.48,5.1,1.1,4.15,8.48
42643.51015,10.078,1.008,4.031,0,1.008,1.008,1.008,0,0,1.008,0,0,0,0,0,0,8.33,0,8.33,0,19.149,0.992,4.38,x,0.8,4.39,35.1,1.09,4.16,9.63
42643.51016,11.086,2.016,2.016,2.016,0,1.008,0,0,0,0,0,0,0,0,0,0,6.33,6.67,8.33,0,18.14,0.992,4.36,x,0.77,2.16,2.44,1.08,4.08,9.33
42643.51017,6.046,7.054,4.031,0,2.015,3.023,1.008,0,0,0,0,0,0,0,0,0,6,0,11,0,23.177,0.992,4.34,x,1.28,6.41,8.86,1.09,4.17,9.31
42643.51018,7.053,2.015,3.023,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67,0,0,0,12.091,0.992,4.34,x,0.49,0.69,0.7,1.06,4.04,8.98
42643.51019,5.038,5.038,2.015,2.015,2.015,2.015,0,1.008,0,0,0,0,0,0,0,0,7.67,8,9,11,19.146,0.992,4.22,x,1.13,5.97,12.98,1.07,4.11,9.13
42643.51021,10.079,7.055,3.024,1.008,0,2.016,0,0,0,0,0,0,0,0,0,0,6.67,7.67,8.33,0,23.181,0.992,4.16,x,1.1,3.31,3.86,1.07,4.08,8.94
42643.51022,9.069,6.046,6.046,4.031,0,0,0,0,0,0,0,0,0,0,0,0,4.67,7,0,0,25.193,0.992,4.24,x,1.45,2.74,2.79,1.08,4.03,8.73
42643.51023,4.031,7.053,6.046,1.008,1.008,0,1.008,0,0,0,0,0,0,0,0,0,5,5.67,0,0,20.153,0.992,4.31,x,1.19,3.74,5.38,1.08,4.02,8.62
42643.51024,6.045,2.015,5.037,3.022,2.015,0,0,2.015,0,0,0,0,0,0,0,0,9,8.67,0,11.33,20.149,0.993,4.23,x,1.23,6.35,19.16,1.09,4.1,8.96
42643.51025,5.039,7.055,7.055,1.008,1.008,3.023,0,1.008,0,0,0,0,0,0,0,0,4.67,5,6.33,9.67,25.195,0.992,4.32,x,1.51,6.74,13.79,1.1,4.18,9.11
42643.51026,11.085,6.046,3.023,5.039,0,1.008,0,0,0,0,0,0,0,0,0,0,4.67,5.33,7.67,0,26.201,0.992,4.39,x,1.37,3.46,3.77,1.11,4.16,8.95
42643.51028,4.031,6.047,3.023,2.016,0,1.008,0,0,0,0,0,0,0,0,0,0,7,8,11.67,0,16.125,0.992,4.3,x,0.93,2.43,2.72,1.1,4.11,8.77
