OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C) or Pressure(Pa),PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
42643.51541,2.015,7.053,3.023,3.023,0,2.015,2.015,0,0,0,0,0,0,0,0,0,6.33,5.33,6.33,0,19.144,0.992,4.83,x,1.07,5.93,9.23,1.11,4.26,9.59
42643.51542,7.054,12.093,6.047,2.016,1.008,1.008,0,0,0,0,0,0,0,0,0,0,4.67,6,5.67,0,29.226,0.992,4.9,x,1.45,3.36,3.67,1.11,4.27,9.6
42643.51543,6.046,1.008,9.069,1.008,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,5,5.67,7.67,0,20.154,0.992,4.9,x,1.13,4.22,5.89,1.11,4.27,9.61
42643.51544,4.03,7.053,2.015,3.023,2.015,1.008,0,0,0,0,0,0,0,0,0,0,5.33,7.33,7,0,19.143,0.993,4.87,x,1.07,3.32,3.69,1.11,4.27,9.51
42643.51545,9.069,5.039,5.039,3.023,1.008,1.008,2.015,0,0,0,0,0,0,0,0,0,4,6,11,0,26.201,0.992,4.95,x,1.25,5.76,8.8,1.11,4.27,9.47
42643.51547,9.068,7.053,5.038,3.023,2.015,1.008,0,1.008,0,0,0,0,0,0,0,0,4.67,5.33,5,7.67,28.211,0.993,4.98,x,1.36,5.1,10.82,1.12,4.27,9.5
42643.51548,8.063,6.047,8.063,1.008,2.016,1.008,0,0,0,0,0,0,0,0,0,0,4,6.33,5.67,0,26.203,0.992,5.07,x,1.32,3.43,3.76,1.12,4.27,9.49
42643.51549,12.094,6.047,10.078,2.016,1.008,0,1.008,1.008,0,1.008,0,0,0,0,0,0,4.67,5,0,8.33,34.265,0.992,5.09,x,1.5,5.93,37.41,1.12,4.28,9.6
42643.5155,11.085,3.023,9.07,4.031,1.008,2.015,1.008,1.008,0,0,0,0,0,0,0,0,7.67,9.33,7.67,9,32.248,0.992,4.95,x,1.65,7.38,14.69,1.12,4.29,9.6
42643.51551,5.038,8.061,6.046,4.031,0,1.008,0,0,0,0,0,0,0,0,0,0,6.33,7.67,8.33,0,24.184,0.992,4.8,x,1.37,3.28,3.56,1.12,4.28,9.6
42643.51552,11.089,7.057,4.033,1.008,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,4.67,6.33,7,0,26.211,0.992,4.85,x,1.09,3.99,5.68,1.12,4.29,9.6
42643.51554,7.054,4.031,5.039,1.008,0,0,0,0,0,0,0,0,0,0,0,0,4.33,4.33,0,0,17.131,0.992,4.89,x,0.77,1.26,1.28,1.12,4.27,9.56
42643.51555,5.038,7.053,4.03,5.038,4.03,1.008,0,0,0,0,0,0,0,0,0,0,4,5.33,5,0,26.196,0.993,5,x,1.58,5.02,5.49,1.12,4.27,9.52
42643.51556,9.071,11.087,9.071,6.047,1.008,2.016,0,0,1.008,0,0,0,0,0,0,0,4.33,5.67,5.67,0,39.308,0.992,5.1,x,2.05,6.47,19.4,1.12,4.27,9.5
42643.51557,4.031,8.061,5.038,2.015,2.015,1.008,0,0,0,0,0,0,0,0,0,0,4.67,6.33,8.33,0,22.168,0.992,5.12,x,1.19,3.32,3.66,1.12,4.26,9.5
42643.51558,6.047,6.047,1.008,3.023,0,2.016,1.008,0,0,0,0,0,0,0,0,0,6,10,8,0,19.149,0.992,5.01,x,0.87,4.21,6.04,1.12,4.27,9.51
42643.51559,9.07,12.093,5.039,2.015,1.008,0,0,0,1.008,0,0,0,0,0,0,0,4.33,5.33,0,0,30.232,0.992,5.11,x,1.28,3.37,15.79,1.12,4.26,9.54
42643.51561,7.051,8.058,9.066,2.015,3.022,0,1.007,1.007,0,0,0,0,0,0,0,0,4,4.33,0,7,31.226,0.993,5.21,x,1.56,6.04,12.64,1.12,4.27,9.52
42643.51562,10.072,6.043,4.029,3.022,1.007,1.007,3.022,0,0,0,0,0,0,0,0,0,3.67,5.33,5.67,0,28.203,0.993,5.32,x,1.17,6.5,10.59,1.12,4.27,9.51
42643.51563,10.078,9.071,3.024,4.031,3.024,2.016,1.008,0,0,0,0,0,0,0,0,0,4.67,5.67,5.33,0,32.251,0.992,5.32,x,1.49,6.01,7.88,1.13,4.28,9.51
42643.51564,11.085,4.031,5.039,4.031,2.016,0,0,0,0,0,0,0,0,0,0,0,6,6.33,0,0,26.202,0.992,5.22,x,1.23,2.95,3.09,1.12,4.27,9.5
42643.51565,6.046,3.023,3.023,3.023,1.008,1.008,0,2.015,0,0,0,0,0,0,0,0,4.67,5.33,5.67,9,19.147,0.992,5.23,x,0.87,5.24,15.78,1.13,4.27,9.54
42643.51567,3.023,8.061,6.046,6.046,2.015,0,0,0,0,0,0,0,0,0,0,0,5.33,7.33,0,0,25.191,0.992,5.15,x,1.54,3.72,3.88,1.13,4.28,9.54
42643.51568,7.053,6.046,2.015,1.008,3.023,2.015,1.008,0,0,0,0,0,0,0,0,0,5.33,6.33,7,0,22.167,0.992,5.09,x,1.03,5.13,7.06,1.13,4.29,9.56
42643.51569,12.092,4.031,9.069,0,0,3.023,2.015,0,0,0,0,0,0,0,0,0,4,0,7.67,0,30.229,0.992,5.15,x,1.27,6.3,9.58,1.13,4.3,9.58
42643.5157,7.054,7.054,6.046,1.008,2.015,1.008,0,0,0,0,0,0,0,0,0,0,4.67,5,6.33,0,24.186,0.992,5.16,x,1.17,3.15,3.47,1.13,4.3,9.59
42643.51571,7.054,6.047,8.062,2.016,0,2.016,3.023,0,0,0,0,0,0,0,0,0,4.67,5.33,6,0,28.218,0.992,5.18,x,1.34,7.17,11.55,1.13,4.32,9.59
42643.51572,5.039,4.031,1.008,1.008,1.008,3.023,2.015,1.008,0,0,0,0,0,0,0,0,4.67,7,7.67,7.67,18.139,0.992,5.18,x,0.75,7.2,15.68,1.13,4.33,9.63
42643.51574,8.062,4.031,5.039,3.023,5.039,0,1.008,0,0,0,0,0,0,0,0,0,3.67,6.67,0,0,26.202,0.992,5.26,x,1.37,5.2,6.75,1.13,4.35,9.65
42643.51575,7.055,3.024,3.024,2.016,2.016,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,17.134,0.992,5.24,x,0.8,2.06,2.17,1.13,4.34,9.59
42643.51576,2.015,4.031,5.039,1.008,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,5.67,5.67,6.33,0,15.116,0.992,5.17,x,0.83,3.57,5.16,1.13,4.33,9.58
42643.51577,9.071,5.039,2.016,0,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,6.33,0,7.67,0,19.149,0.992,5.05,x,0.69,3.17,4.78,1.13,4.33,9.59
42643.51578,4.031,5.039,4.031,1.008,2.015,2.015,0,0,1.008,0,0,0,0,0,0,0,5,7.67,7,0,19.147,0.992,5.04,x,0.99,4.63,17.7,1.13,4.33,9.62
42643.51579,10.078,5.039,1.008,1.008,2.016,1.008,2.016,0,0,0,0,0,0,0,0,0,4.33,5,7,0,22.171,0.992,5.08,x,0.84,5.04,8.03,1.13,4.32,9.62
42643.51581,6.045,6.045,3.023,0,2.015,1.008,1.008,0,0,0,0,0,0,0,0,0,3.67,0,5.67,0,19.144,0.992,5.2,x,0.82,3.66,5.27,1.13,4.31,9.52
42643.51582,4.031,9.07,7.054,1.008,3.023,5.039,2.016,0,0,0,0,0,0,0,0,0,4.67,5,6.33,0,31.241,0.992,5.21,x,1.67,9.23,13.06,1.13,4.34,9.55
42643.51583,11.085,7.054,4.031,3.023,2.015,3.023,0,0,1.008,0,0,0,0,0,0,0,4.33,6.67,7,0,31.239,0.992,5.26,x,1.38,5.92,18.68,1.13,4.35,9.61
42643.51584,3.025,4.033,7.057,1.008,0,1.008,2.016,0,0,0,0,0,0,0,0,0,7,7,9,0,18.147,0.992,5.1,x,0.95,4.69,7.58,1.13,4.36,9.63
42643.51585,8.063,6.047,7.055,2.016,0,0,1.008,0,0,1.008,0,0,0,0,0,0,5,7.67,0,0,25.197,0.992,5.08,x,1.11,3.67,29.88,1.13,4.35,9.7
42643.51586,10.081,4.032,3.024,5.041,1.008,0,2.016,0,0,0,0,0,0,0,0,0,4.67,5,0,0,25.203,0.992,5.1,x,1.16,5.08,7.83,1.13,4.35,9.58
42643.51588,7.054,9.069,9.069,5.038,1.008,3.023,0,1.008,0,0,0,0,0,0,0,0,5.33,5.33,5.33,7,35.269,0.992,5.03,x,1.94,7.28,13.37,1.13,4.35,9.59
42643.51589,5.039,7.054,5.039,1.008,2.015,1.008,1.008,0,0,0,0,0,0,0,0,0,4.33,6.33,6.33,0,22.17,0.992,5.09,x,1.11,4.29,5.95,1.13,4.36,9.59
42643.5159,6.044,7.051,7.051,3.022,3.022,0,0,0,0,0,0,0,0,0,0,0,5.33,5.33,0,0,26.191,0.993,5.04,x,1.47,3.57,3.76,1.13,4.37,9.6
42643.51591,12.089,5.037,7.052,4.03,2.015,2.015,0,0,0,1.007,0,0,0,0,0,0,4.33,5.33,7,0,33.245,0.993,5.08,x,1.61,5.46,30.89,1.13,4.37,9.69
42643.51592,7.053,6.046,7.053,2.015,2.015,3.023,0,2.015,0,0,0,0,0,0,0,0,4.33,5.67,6,8.33,29.22,0.992,5.13,x,1.45,7.72,18.92,1.14,4.39,9.72
42643.51594,12.093,7.054,4.031,2.015,1.008,2.015,1.008,1.008,0,0,0,0,0,0,0,0,4,4,5.67,7.67,30.232,0.992,5.22,x,1.19,6.05,12.96,1.14,4.4,9.76
42643.51595,13.106,6.049,7.057,5.041,2.016,0,0,0,0,0,0,0,0,0,0,0,5.33,6.67,0,0,33.268,0.992,5.16,x,1.6,3.63,3.78,1.14,4.39,9.74
42643.51596,6.046,4.031,9.069,2.015,0,3.023,2.015,0,0,0,0,0,0,0,0,0,4.33,5.67,7.33,0,26.2,0.992,5.19,x,1.35,6.68,9.96,1.14,4.38,9.73
42643.51597,9.067,5.037,3.022,0,1.007,0,1.007,0,0,0,0,0,0,0,0,0,5,0,0,0,19.14,0.993,5.17,x,0.68,2.45,3.81,1.13,4.36,9.68
42643.51598,7.055,6.047,4.031,4.031,4.031,3.023,0,0,0,0,0,0,0,0,0,0,6.67,6.33,7.33,0,28.219,0.992,4.99,x,1.62,6.31,7.22,1.14,4.37,9.68
42643.51599,9.069,4.031,4.031,3.023,2.015,2.015,0,0,0,0,0,0,0,0,0,0,4.33,6.33,6.67,0,24.185,0.992,5.03,x,1.21,4.19,4.77,1.14,4.38,9.69
42643.51601,8.063,5.04,4.032,3.024,4.032,2.016,0,1.008,0,0,0,0,0,0,0,0,5,6.67,7.33,9,27.214,0.992,5.02,x,1.43,6.55,12.55,1.14,4.38,9.72
42643.51602,10.077,7.054,6.046,4.031,0,3.023,0,1.008,0,0,0,0,0,0,0,0,4.67,6.67,6.67,11.67,31.24,0.992,5.05,x,1.49,6.07,12.08,1.14,4.39,9.74
42643.51603,9.07,8.062,4.031,4.031,0,2.015,1.008,0,1.008,0,0,0,0,0,0,0,5.67,6.33,6.33,0,29.224,0.992,4.96,x,1.34,6.11,20.7,1.14,4.39,9.78
42643.51604,7.053,2.015,2.015,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,0,4.67,6.33,8.33,0,14.107,0.992,4.97,x,0.61,2.03,2.31,1.14,4.38,9.77
42643.51605,4.031,2.015,7.054,5.038,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,4.33,5.33,5.67,0,21.162,0.992,4.99,x,1.35,5.01,6.7,1.14,4.38,9.77
42643.51606,9.069,3.023,5.038,3.023,2.015,0,0,0,0,0,0,0,0,0,0,0,4.67,5.67,0,0,22.168,0.992,5,x,1.12,2.72,2.86,1.14,4.38,9.77
42643.51608,9.072,10.08,8.064,2.016,0,0,2.016,0,0,0,0,0,0,0,0,0,4.33,5.67,0,0,31.247,0.992,5.09,x,1.39,4.71,7.4,1.14,4.38,9.73
42643.51609,8.061,8.061,4.03,3.023,1.008,1.008,1.008,1.008,1.008,0,0,0,0,0,0,0,4.33,6,7.67,9.67,28.213,0.992,5.15,x,1.21,6.62,25.66,1.14,4.39,9.79
42643.5161,10.078,7.054,4.031,2.016,2.016,1.008,0,0,0,0,0,0,0,0,0,0,5,6.33,5.67,0,26.202,0.992,5.13,x,1.17,3.24,3.57,1.14,4.4,9.8
42643.51611,5.039,5.039,5.039,1.008,1.008,0,0,0,0,0,0,0,0,0,0,0,5.33,5,0,0,17.131,0.992,5.09,x,0.84,1.7,1.76,1.14,4.39,9.79
42643.51612,8.062,7.054,3.023,2.016,2.016,3.023,0,0,1.008,0,0,0,0,0,0,0,4.67,6,6,0,26.202,0.992,5.11,x,1.2,5.64,18.77,1.14,4.38,9.81
42643.51613,5.038,5.038,4.03,5.038,1.008,0,0,0,0,0,0,0,0,0,0,0,6.67,7.33,0,0,20.152,0.992,4.96,x,1.17,2.73,2.83,1.14,4.38,9.81
42643.51615,13.099,3.023,6.046,2.015,3.023,0,1.008,0,0,0,0,0,0,0,0,0,4.67,7.67,0,0,28.213,0.992,4.98,x,1.29,4.42,5.95,1.14,4.38,9.81
42643.51616,11.085,4.031,4.031,3.023,1.008,4.031,3.023,0,0,0,0,0,0,0,0,0,4,6,6,0,30.232,0.992,5.04,x,1.38,9.13,14.13,1.14,4.4,9.84
42643.51617,12.093,8.062,4.031,1.008,1.008,2.015,0,0,0,0,0,0,0,0,0,0,4,6.33,6.67,0,28.216,0.992,5.15,x,1.12,3.34,3.83,1.14,4.4,9.83
42643.51618,7.052,4.03,4.03,5.037,1.007,2.015,0,0,0,0,0,0,0,0,0,0,5.33,6,6.33,0,23.171,0.993,5.11,x,1.26,4.17,4.71,1.14,4.4,9.84
42643.51619,8.059,4.03,5.037,1.007,0,4.03,0,0,0,0,0,0,0,0,0,0,4.67,5.67,7,0,22.163,0.993,5.12,x,1.02,4.3,5.18,1.14,4.41,9.85
42643.51621,8.069,8.069,1.009,4.035,1.009,0,0,0,0,0,0,0,0,0,0,0,4.33,6.67,0,0,22.19,0.991,5.18,x,0.97,2.16,2.25,1.14,4.39,9.82
42643.51622,8.058,5.036,4.029,4.029,4.029,0,1.007,0,0,0,0,0,0,0,0,0,5.67,8.67,0,0,26.189,0.993,5.11,x,1.38,5.07,6.63,1.14,4.39,9.8
42643.51623,6.047,8.063,6.047,2.016,2.016,1.008,0,0,0,0,0,0,0,0,0,0,5.33,5.67,9,0,25.196,0.992,5.05,x,1.32,3.53,3.87,1.14,4.4,9.8
42643.51624,6.047,5.039,3.023,1.008,3.023,1.008,0,0,0,0,0,0,0,0,0,0,5.33,7,6.33,0,19.148,0.992,5.01,x,0.97,3.22,3.6,1.14,4.4,9.81
42643.51625,4.031,4.031,3.023,2.015,1.008,4.031,0,0,0,0,0,0,0,0,0,0,4.33,6,6.33,0,18.139,0.992,5.05,x,1.01,4.79,5.74,1.14,4.41,9.82
42643.51626,11.085,2.015,5.039,1.008,1.008,2.015,0,0,0,0,0,0,0,0,0,0,4.67,7,9,0,22.17,0.992,5.06,x,0.96,3.22,3.72,1.14,4.4,9.81
42643.51628,6.046,7.053,4.03,3.023,1.008,1.008,0,1.008,0,0,0,0,0,0,0,0,5.33,6.67,7,10.33,23.175,0.992,5.01,x,1.14,4.42,10.07,1.14,4.4,9.82
42643.51629,9.071,3.024,5.039,2.016,1.008,0,1.008,1.008,0,0,0,0,0,0,0,0,5.67,6,0,10.33,22.173,0.992,4.97,x,0.97,4.65,11.47,1.14,4.4,9.83
42643.5163,4.031,3.023,4.031,5.039,2.015,0,0,0,1.008,0,0,0,0,0,0,0,6,6.33,0,0,19.147,0.992,4.92,x,1.17,4.16,17.13,1.14,4.39,9.8
42643.51631,8.062,11.085,8.062,1.008,0,0,1.008,0,0,0,0,0,0,0,0,0,4.33,4.33,0,0,29.224,0.992,5.03,x,1.31,3.25,4.61,1.14,4.38,9.8
42643.51632,12.092,5.038,3.023,2.015,0,1.008,1.008,0,0,0,0,0,0,0,0,0,5,9.33,8.33,0,24.185,0.992,5.02,x,0.91,3.44,5.04,1.14,4.38,9.75
42643.51633,11.085,7.054,3.023,2.015,0,1.008,0,0,0,0,0,0,0,0,0,0,4,5.33,7.67,0,24.185,0.992,5.12,x,0.93,2.2,2.44,1.14,4.36,9.64
42643.51635,6.047,8.062,7.054,4.031,1.008,1.008,0,0,0,0,0,0,0,0,0,0,3.67,5,7.67,0,27.21,0.992,5.27,x,1.43,3.58,3.88,1.14,4.35,9.58
42643.51636,8.062,15.117,4.031,2.016,3.023,1.008,0,0,0,0,0,0,0,0,0,0,3.67,5.67,5.67,0,33.258,0.992,5.51,x,1.44,3.77,4.13,1.14,4.35,9.56
42643.51637,9.07,10.077,6.046,3.023,0,5.039,1.008,2.015,0,0,0,0,0,0,0,0,4,4.67,6.33,7,36.279,0.992,5.59,x,1.51,9.14,20.94,1.14,4.36,9.61
42643.51638,4.031,7.054,5.039,1.008,0,4.031,1.008,1.008,0,0,0,0,0,0,0,0,3.67,5,5.67,7.67,23.178,0.992,5.69,x,1,6.27,12.96,1.14,4.37,9.64
42643.51639,6.046,0,4.031,2.015,0,2.015,2.015,1.008,0,0,0,0,0,0,0,0,0,5.33,8,11.67,17.131,0.992,5.69,x,0.7,5.87,13.36,1.14,4.36,9.63
42643.5164,4.031,5.039,1.008,4.031,1.008,0,1.008,0,0,0,0,0,0,0,0,0,5.33,6,0,0,16.126,0.992,5.59,x,0.76,2.96,4.25,1.14,4.35,9.61
42643.51642,5.038,4.031,3.023,1.008,3.023,1.008,1.008,0,0,0,0,0,0,0,0,0,4.67,6.33,19,0,18.138,0.992,5.57,x,0.84,3.98,5.54,1.14,4.35,9.61
42643.51643,8.061,4.031,8.061,3.023,0,0,0,0,0,0,0,0,0,0,0,0,5,5.33,0,0,23.176,0.992,5.53,x,1.08,1.98,2.02,1.13,4.34,9.6
42643.51644,12.094,5.039,5.039,2.016,1.008,0,0,1.008,0,0,0,0,0,0,0,0,4.67,5,0,8.33,26.203,0.992,5.51,x,0.97,3.17,8.1,1.14,4.35,9.62
42643.51645,11.084,4.031,4.031,2.015,2.015,1.008,0,0,0,0,0,0,0,0,0,0,5.67,7.33,13.67,0,24.184,0.992,5.42,x,1.01,2.94,3.26,1.14,4.34,9.61
42643.51646,8.06,6.045,4.03,5.038,0,0,1.008,0,0,0,0,0,0,0,0,0,4,4.33,0,0,24.18,0.993,5.48,x,1.08,3.29,4.58,1.13,4.34,9.61
42643.51648,7.053,7.053,7.053,2.015,0,2.015,0,0,0,0,0,0,0,0,0,0,5,6.33,7.33,0,25.189,0.992,5.42,x,1.17,3.22,3.66,1.14,4.35,9.62
42643.51649,6.046,2.015,1.008,3.023,2.015,0,0,0,0,0,0,0,0,0,0,0,6.33,7,0,0,14.107,0.992,5.35,x,0.68,1.97,2.09,1.14,4.34,9.62
42643.5165,3.023,3.023,2.015,1.008,3.023,1.008,0,0,0,0,0,0,0,0,0,0,8,7.67,10.33,0,13.1,0.992,5.17,x,0.74,2.85,3.22,1.14,4.34,9.61
42643.51651,6.045,9.068,2.015,1.008,1.008,0,0,0,0,0,1.008,0,0,0,0,0,5.33,6.33,0,0,20.15,0.993,5.09,x,0.8,1.76,43.78,1.14,4.34,9.75
42643.51652,8.064,1.008,4.032,1.008,3.024,1.008,0,0,0,0,0,0,0,0,0,0,5,5.67,7,0,18.145,0.992,5.09,x,0.9,3.14,3.51,1.14,4.34,9.75
42643.51653,6.05,2.017,5.042,4.034,0,0,1.008,0,0,0,0,0,0,0,0,0,5,7,0,0,18.151,0.992,5.08,x,0.95,3.18,4.56,1.14,4.34,9.75
42643.51655,9.066,2.015,3.022,1.007,3.022,0,0,0,0,0,0,0,0,0,0,0,6.33,6.33,0,0,18.132,0.993,5.03,x,0.82,2.32,2.48,1.14,4.34,9.75
42643.51656,6.047,5.039,5.039,3.023,1.008,0,0,1.008,1.008,0,0,0,0,0,0,0,4.33,6.67,0,9.67,22.171,0.992,5.08,x,1.05,4.63,22.4,1.14,4.35,9.82
42643.51657,9.07,7.054,3.023,4.031,4.031,0,0,0,0,0,0,0,0,0,0,0,4.33,5,0,0,27.209,0.992,5.14,x,1.37,3.79,4.02,1.14,4.35,9.81
42643.51658,4.031,7.054,4.031,2.015,1.008,1.008,0,0,0,0,0,0,0,0,0,0,4,5.67,5.67,0,19.147,0.992,5.23,x,0.97,2.62,2.91,1.14,4.35,9.82
42643.51659,6.046,6.046,8.062,3.023,3.023,2.015,1.008,0,0,0,0,0,0,0,0,0,5,5.33,6.67,0,29.223,0.992,5.2,x,1.62,6.29,8.2,1.14,4.36,9.81
42643.5166,5.038,6.046,7.053,2.015,1.008,1.008,0,0,0,0,0,0,0,0,0,0,5.67,8.33,6.33,0,22.167,0.992,5.11,x,1.19,3.03,3.32,1.14,4.36,9.81
42643.51662,5.039,2.016,3.023,1.008,1.008,0,1.008,0,0,0,0,0,0,0,0,0,8.33,13.67,0,0,13.101,0.992,4.99,x,0.61,2.61,4.02,1.14,4.36,9.81
42643.51663,10.076,3.023,11.083,2.015,2.015,0,2.015,1.008,0,0,0,0,0,0,0,0,5.33,6.67,0,8.33,31.235,0.992,4.97,x,1.57,7.21,15.44,1.14,4.37,9.85
42643.51664,8.064,3.024,2.016,5.04,3.024,1.008,0,0,0,0,0,0,0,0,0,0,6,6.33,6.33,0,22.175,0.992,4.92,x,1.24,4.2,4.63,1.14,4.38,9.75
42643.51665,9.069,6.046,2.015,4.031,0,2.015,0,1.008,0,0,0,0,0,0,0,0,4,6.33,6.67,9.67,24.185,0.992,5.02,x,1.07,4.75,10.57,1.14,4.36,9.64
42643.51666,10.077,5.039,1.008,0,4.031,4.031,0,0,0,0,0,0,0,0,0,0,5.67,0,7.67,0,24.186,0.992,4.96,x,1.09,5.64,6.74,1.14,4.35,9.63
42643.51667,10.077,3.023,5.038,1.008,0,3.023,0,0,0,0,0,0,0,0,0,0,6,8.33,8.33,0,22.169,0.992,4.91,x,0.99,3.67,4.36,1.14,4.35,9.61
42643.51669,5.038,5.038,3.023,0,1.008,1.008,0,0,0,0,0,0,0,0,0,0,7,0,8.33,0,15.115,0.992,4.77,x,0.71,2.08,2.37,1.14,4.34,9.6
42643.5167,11.082,3.022,0,2.015,0,1.007,1.007,0,0,0,0,0,0,0,0,0,7,8.67,8.33,0,18.135,0.993,4.69,x,0.63,3.15,4.85,1.14,4.33,9.55
42643.51671,6.046,7.054,4.031,1.008,0,1.008,0,0,0,0,0,0,0,0,0,0,5.67,8.33,7.67,0,19.145,0.992,4.65,x,0.92,2.18,2.43,1.14,4.33,9.55
42643.51672,9.07,8.062,4.031,1.008,0,0,0,0,0,0,0,0,0,0,0,0,6.67,7.67,0,0,22.17,0.992,4.51,x,0.97,1.48,1.49,1.13,4.32,9.53
42643.51673,6.047,0,5.039,4.031,1.008,1.008,0,0,0,0,0,0,0,0,0,0,0,8,7.67,0,17.133,0.992,4.51,x,1.13,3.45,3.8,1.13,4.32,9.53
42643.51674,8.06,2.015,2.015,4.03,1.008,0,0,0,0,0,0,0,0,0,0,0,7.33,8.67,0,0,17.128,0.993,4.46,x,0.94,2.32,2.42,1.13,4.3,9.5
42643.51676,12.09,4.03,3.022,3.022,1.007,0,1.007,0,0,0,0,0,0,0,0,0,6,7,0,0,24.18,0.993,4.44,x,1.12,3.8,5.41,1.13,4.28,9.45
42643.51677,16.109,8.054,5.034,3.02,1.007,1.007,1.007,0,0,0,0,0,0,0,0,0,6.33,7.67,8.33,0,35.238,0.993,4.37,x,1.65,5.35,7.25,1.13,4.27,9.33
42643.51678,4.03,1.008,3.023,2.015,0,0,0,0,0,0,0,0,0,0,0,0,5,7.33,0,0,10.075,0.993,4.38,x,0.6,1.21,1.23,1.13,4.26,9.29
42643.51679,5.038,6.046,8.061,2.015,1.008,4.03,0,0,0,0,0,0,0,0,0,0,5.67,8.33,8.67,0,26.197,0.992,4.37,x,1.71,6.39,7.5,1.13,4.26,9.27
42643.5168,8.062,4.031,5.039,1.008,0,2.015,0,0,0,0,0,0,0,0,0,0,7,7,7.67,0,20.155,0.992,4.31,x,1.06,3.28,3.82,1.13,4.25,9.26
42643.51682,8.061,4.031,3.023,1.008,1.008,4.031,0,0,0,0,0,0,0,0,0,0,6,7,8,0,21.161,0.992,4.3,x,1.15,5.38,6.49,1.13,4.24,9.2
42643.51683,6.047,5.039,3.024,3.024,1.008,1.008,0,0,0,0,0,0,0,0,0,0,5.67,7.33,7.67,0,19.15,0.992,4.3,x,1.14,3.29,3.64,1.13,4.25,8.98
42643.51684,6.009,3.434,1.717,1.717,0.858,1.717,0,0,0,0,0,0,0,0,0,0,5.33,7,6.67,0,15.451,1.165,4.32,x,0.84,3.13,3.64,1.13,4.25,8.97
42643.51685,8.059,6.045,5.037,4.03,1.007,2.015,0,0,0,0,0,0,0,0,0,0,5.33,7.33,7.67,0,26.193,0.993,4.35,x,1.57,4.87,5.49,1.13,4.25,8.97
42643.51686,9.066,2.015,4.029,2.015,0,0,0,0,0,0,0,0,0,0,0,0,6,10.67,0,0,17.125,0.993,4.34,x,0.83,1.52,1.55,1.13,4.24,8.96
42643.51688,12.101,6.05,3.025,2.017,0,0,0,0,0,0,0,0,0,0,0,0,5.67,5.33,0,0,23.193,0.992,4.34,x,0.99,1.66,1.68,1.13,4.24,8.96
42643.51689,8.058,4.029,4.029,3.022,1.007,1.007,1.007,0,0,0,0,0,0,0,0,0,6.33,8,7.67,0,22.16,0.993,4.31,x,1.25,4.9,6.82,1.13,4.24,8.94
42643.5169,12.092,3.023,6.046,0,2.015,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,23.176,0.992,4.37,x,1.1,2.37,2.49,1.13,4.24,8.94
42643.51691,10.079,2.016,4.032,1.008,3.024,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,20.158,0.992,4.39,x,1.05,2.83,3.01,1.13,4.23,8.92
42643.51692,6.046,7.054,2.015,1.008,1.008,0,1.008,0,0,0,0,0,0,0,0,0,5,7.67,0,0,18.139,0.992,4.44,x,0.85,3.08,4.68,1.13,4.23,8.9
42643.51693,9.068,7.053,3.023,3.023,1.008,1.008,1.008,1.008,0,0,0,0,0,0,0,0,7,6.33,5,7,26.196,0.993,4.32,x,1.32,6.51,14.62,1.13,4.24,8.94
42643.51695,5.039,5.039,5.039,3.023,0,2.015,0,0,0,0,0,0,0,0,0,0,4.67,6,5.33,0,20.154,0.992,4.38,x,1.25,3.86,4.41,1.13,4.24,8.93
42643.51696,11.084,8.061,4.031,4.031,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,5.33,7,5,0,30.23,0.992,4.41,x,1.57,5.38,7.27,1.13,4.23,8.9
42643.51697,9.07,4.031,7.054,2.015,1.008,2.015,0,0,0,0,0,0,0,0,0,0,5.67,6,6.33,0,25.193,0.992,4.41,x,1.43,4.37,4.97,1.13,4.22,8.89
42643.51698,8.061,5.038,7.054,3.023,2.015,0,2.015,1.008,0,0,0,0,0,0,0,0,5,8.67,0,19,28.214,0.992,4.44,x,1.58,7.88,17.1,1.13,4.25,8.94
42643.51699,11.082,4.03,9.067,5.037,0,2.015,0,0,1.007,0,0,0,0,0,0,0,5.33,6.33,7.33,0,32.238,0.993,4.45,x,1.84,6.21,20.94,1.14,4.26,9
42643.51701,7.051,9.065,3.022,4.029,1.007,1.007,0,0,0,0,0,0,0,0,0,0,6,6.67,11,0,25.182,0.993,4.41,x,1.42,3.76,4.12,1.14,4.25,8.99
