,INP,MEAN_WIND_SPEED,MAX_GUST_DIR,MAX_GUST_SPEED,MAX_GUST_CTIME,Dry Bulb Temperature,Dew Point Temperature,Grass Temperature,Concrete Temperature,10cm Soil Temperature,Rainfall Total since 0900,Radiation Total since 0900,Humidity,rain_past_hour,APS Total,SMPS Total,3,demott,meyers,Temp
0,1.32527186755,13.0,236.666666667,25.3333333333,1306.66666667,21.2166666667,16.5,22.8833333333,23.2466666667,16.02,0.0,4551.73333333,74.5333333333,0.0,3504.7371799,49772.971,,6.16874243884,18.9841020232,-25
1,0.896231080481,4.33333333333,103.333333333,8.66666666667,1132.66666667,13.2733333333,9.12,19.2633333333,23.1933333333,12.2866666667,0.0,4393.23333333,76.2666666667,0.0,17548.9074084,59193.172,,17.9571641904,18.9841020232,-25
2,0.855055549598,4.33333333333,103.333333333,8.66666666667,1132.66666667,13.2733333333,9.12,19.2633333333,23.1933333333,12.2866666667,0.0,4393.23333333,76.2666666667,0.0,15361.3778254,61291.805,,16.4393940799,18.9841020232,-25
3,1.08984587624,12.6666666667,116.666666667,21.6666666667,1131.33333333,16.8266666667,11.8166666667,20.21,21.9066666667,13.6733333333,0.0,3481.2,72.3666666667,0.0,4178.71870064,70236.605,,6.93209628645,18.9841020232,-25
4,0.530015247219,13.3333333333,56.6666666667,21.3333333333,1214.66666667,13.7433333333,7.11333333333,16.6066666667,19.9433333333,13.47,0.0,5510.73333333,64.2333333333,0.0,2830.05337518,55167.885,,5.35305924031,18.9841020232,-25
5,1.19476642073,7.5,70.0,12.5,1303.5,13.74,11.06,14.13,15.675,14.235,0.8,3258.4,83.85,0.0,2543.70328628,39930.413,,4.9873812801,18.9841020232,-25
6,1.04634168127,7.6,212.0,14.8,1294.8,10.8,8.44,12.514,14.774,11.882,0.92,4482.82,85.4,0.28,9665.1098154,141986.401,,12.089667023,18.9841020232,-25
7,1.76939773782,9.0,350.0,18.0,1211.0,10.89,9.03,13.56,15.24,11.74,0.8,3798.2,88.3,0.8,2022.1699112,30025.526,,4.28327064818,18.9841020232,-25
8,0.998972077691,9.0,40.0,15.5,1174.0,12.2175,10.73,12.875,13.7975,11.1925,0.3,1777.5,90.65,0.15,5443.97337182,57032.551,,8.26151606159,18.9841020232,-25
9,1.21226958033,9.5,55.0,16.5,1465.5,12.105,10.285,12.085,12.95,11.96,0.6,2998.6,88.65,0.0,4372.64075378,41939.034,,7.1438451988,18.9841020232,-25
10,1.26746670657,11.5,270.0,26.0,1448.0,8.795,6.895,8.24,9.955,10.8,0.2,4864.4,88.0,0.0,1929.40256934,31378.144,,4.15190733369,18.9841020232,-25
