,Log10 INPs,Wind speed,Max gust direction,Max gust speed, Max Gust Ctime,Dry Bulb T,Dew Point T,Grass T,Concrete T,Soil T,Rainfall Total,Radiation Total,Humidity,rain_past_hour,smps_total_over500,smps_total_sub500,aps_1um,aps_sub_1um
Wind speed,-0.0243865862348,1.0,-0.0421365001951,0.924060859934,0.0144136373865,0.43429684091,0.0249334094777,0.372533423727,0.356703455795,0.430794621255,-0.472768120208,0.194281988497,-0.520785472703,-0.324776007671,-0.25989814245,-0.267242969346,0.289904747124,-0.280369713268
Max gust direction,0.299308713461,-0.0421365001951,1.0,0.104915619589,0.210864210886,-0.0524064857515,0.053993008258,-0.178746511954,-0.22262773707,-0.176765121952,-0.159638214696,-0.0384136668901,0.122152532858,-0.227449798662,0.0338053377271,0.0515306740622,-0.0861901906462,0.337694419222
Max gust speed,-0.0187105614065,0.924060859934,0.104915619589,1.0,0.106111196592,0.337183796321,-0.0205466613486,0.264308325246,0.233360886832,0.301543650594,-0.425790537259,0.196746379005,-0.461689188858,-0.361425191372,-0.232949915325,-0.324217571475,0.137858133914,-0.362112059018
 Max Gust Ctime,0.302017998542,0.0144136373865,0.210864210886,0.106111196592,1.0,-0.105081403891,-0.231975626503,-0.210947381086,-0.223682611065,0.101678452533,-0.0459759644696,0.598594178689,-0.162708336224,-0.305513574511,0.0740899915592,0.0343319057239,-0.0724796085812,-0.0218513746603
Unnamed: 0,0.268838059572,-0.265805206694,0.307288113541,-0.0965910804661,0.126733773422,-0.640476653151,-0.49310773182,-0.670237456976,-0.687987664689,-0.843758311103,-0.0868875506477,-0.293072521992,0.169404107639,-0.00676971287227,0.367263768403,0.155423718507,-0.206182485758,0.181664143381
Dry Bulb T,0.0547192491518,0.43429684091,-0.0524064857515,0.337183796321,-0.105081403891,1.0,0.701664494387,0.914358346131,0.818359339494,0.83016955428,-0.328324216176,0.193724478995,-0.384579564828,-0.37350788837,-0.205531507875,-0.168914974997,0.0873594594307,-0.200604679213
Dew Point T,0.0459921149549,0.0249334094777,0.053993008258,-0.0205466613486,-0.231975626503,0.701664494387,1.0,0.468032440772,0.311349629982,0.435447595215,0.0238390465733,-0.373612047943,0.387134425095,-0.0098704242201,-0.0510534300797,0.0888800977475,0.0492850568483,0.00281176655458
Grass T,-0.0667532023783,0.372533423727,-0.178746511954,0.264308325246,-0.210947381086,0.914358346131,0.468032440772,1.0,0.970892168619,0.82924734303,-0.34851309228,0.357827828529,-0.574248138351,-0.386180606123,-0.195850732889,-0.197801519122,0.0971773559485,-0.215595923235
Concrete T,-0.131658006603,0.356703455795,-0.22262773707,0.233360886832,-0.223682611065,0.818359339494,0.311349629982,0.970892168619,1.0,0.811442609988,-0.337314230787,0.44572571709,-0.650731163813,-0.369344968278,-0.243244427398,-0.244510428193,0.0876687722997,-0.211837994561
Soil T,-0.0531681930067,0.430794621255,-0.176765121952,0.301543650594,0.101678452533,0.83016955428,0.435447595215,0.82924734303,0.811442609988,1.0,-0.113580460127,0.504936493107,-0.498415748169,-0.318141186809,-0.372629288169,-0.274313236464,0.0466452983816,-0.291319647612
