,Log10 INPs,Wind speed,Max gust direction,Max gust speed, Max Gust Ctime,Dry Bulb T,Dew Point T,Grass T,Concrete T,Soil T,Rainfall Total,Radiation Total,Humidity,rain_past_hour,APS Total,SMPS Total,3,demott,meyers
Log10 INPs,1.0,0.487914742328,0.0705298720776,0.450386709331,0.299299749095,-0.0837731858733,-0.268115215092,-0.322473794842,-0.360438430451,0.0743916603685,0.0115245879929,0.0689354479419,-0.401331836914,-0.041431755165,-0.524513937369,0.339000123986,,-0.527592826541,-1.02159650417e-16
Wind speed,0.487914742328,1.0,-0.00609638428217,0.939270117258,0.0338258997371,0.174618397874,-0.113715791299,-0.129408905697,-0.203789263502,0.117078421212,-0.362568192435,-0.0856763302528,-0.522223513294,0.207664735782,-0.671609789706,-0.00753090593292,,-0.664001010694,2.96355338244e-16
Max gust direction,0.0705298720776,-0.00609638428217,1.0,0.213441778112,-0.0734248038845,0.080169811169,0.184934619326,-0.0873875275261,-0.255865873145,-0.143193249343,0.25710938901,-0.21253705913,0.220537587178,0.296767945176,-0.146834778479,0.330147240136,,-0.131019061122,-4.14829519175e-16
Max gust speed,0.450386709331,0.939270117258,0.213441778112,1.0,0.0629466149993,0.215790590045,-0.0160980264843,-0.160570518105,-0.306726969542,0.0415462760699,-0.307955562829,-0.196586090954,-0.402052045962,0.127543718901,-0.625447142897,0.139850549798,,-0.603823427642,-4.59545239872e-16
 Max Gust Ctime,0.299299749095,0.0338258997371,-0.0734248038845,0.0629466149993,1.0,0.149858529795,-0.00987397256021,-0.112281586818,-0.237971336006,0.568446812876,0.497683272023,0.646787425393,-0.258661337595,-0.137453612405,-0.408225638366,0.150586340775,,-0.407527631613,6.24842449845e-16
Dry Bulb T,-0.0837731858733,0.174618397874,0.080169811169,0.215790590045,0.149858529795,1.0,0.867641404718,0.753109459367,0.506115609944,0.645199681164,-0.0720274368248,0.0436769597148,0.109499018116,-0.089143922593,-0.0992096789828,0.00382716113521,,-0.0547223830559,-7.81085502897e-16
Dew Point T,-0.268115215092,-0.113715791299,0.184934619326,-0.0160980264843,-0.00987397256021,0.867641404718,1.0,0.567548513184,0.309093270805,0.379942917408,0.0630843410421,-0.279708257647,0.588776623434,0.0159893533377,0.13750426484,0.0491925484235,,0.183845586537,-5.03631453975e-16
Grass T,-0.322473794842,-0.129408905697,-0.0873875275261,-0.160570518105,-0.112281586818,0.753109459367,0.567548513184,1.0,0.933128250861,0.575010467006,-0.188950070788,0.26791270096,-0.0801058986393,-0.236324269749,0.258964936266,-0.139128590839,,0.275602449119,5.8017997388e-16
Concrete T,-0.360438430451,-0.203789263502,-0.255865873145,-0.306726969542,-0.237971336006,0.506115609944,0.309093270805,0.933128250861,1.0,0.485577075198,-0.210841530086,0.336631969847,-0.190356443354,-0.302418559599,0.34045670023,-0.273927569554,,0.33020597341,4.09966300701e-16
Soil T,0.0743916603685,0.117078421212,-0.143193249343,0.0415462760699,0.568446812876,0.645199681164,0.379942917408,0.575010467006,0.485577075198,1.0,0.352707853252,0.647112530294,-0.272212242764,-0.294607874514,-0.427349093392,-0.20183510108,,-0.4356693088,-9.5744927385e-16
Rainfall Total,0.0115245879929,-0.362568192435,0.25710938901,-0.307955562829,0.497683272023,-0.0720274368248,0.0630843410421,-0.188950070788,-0.210841530086,0.352707853252,1.0,0.354919377476,0.243549711042,-0.0647075878493,-0.217430645776,0.0945952808659,,-0.246854099766,4.55226009682e-17
